,[1. 1. 1. 1.],[2. 1. 1. 0.],[2. 2. 0. 0.],[3. 1. 0. 0.],[4. 0. 0. 0.]
[3. 3. 2. 2.],1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 1.],1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 2.],1.0,1.0,1.0,1.0,1.0
[4. 3. 2. 1.],1.0,1.0,1.0,1.0,1.0
[4. 3. 3. 0.],1.0,1.0,1.0,1.0,1.0
[4. 4. 1. 1.],1.0,1.0,0.8333333333333334,1.0,1.0
[4. 4. 2. 0.],1.0,1.0,1.0,0.9166666666666666,1.0
[5. 2. 2. 1.],1.0,1.0,1.0,1.0,1.0
[5. 3. 1. 1.],1.0,1.0,0.8333333333333334,1.0,1.0
[5. 3. 2. 0.],1.0,1.0,1.0,0.9166666666666666,1.0
[5. 4. 1. 0.],1.0,0.8333333333333334,0.8333333333333334,0.9166666666666666,1.0
[5. 5. 0. 0.],-0.0,0.5,0.8333333333333334,0.8333333333333334,1.0
[6. 2. 1. 1.],1.0,1.0,0.8333333333333334,1.0,1.0
[6. 2. 2. 0.],1.0,1.0,1.0,0.8333333333333334,1.0
[6. 3. 1. 0.],1.0,0.8333333333333334,0.8333333333333334,0.9166666666666666,1.0
[6. 4. 0. 0.],-0.0,0.5,0.8333333333333334,0.8333333333333334,1.0
[7. 1. 1. 1.],1.0,0.75,0.5,1.0,1.0
[7. 2. 1. 0.],1.0,0.75,0.6666666666666666,0.75,1.0
[7. 3. 0. 0.],-0.0,0.5,0.8333333333333334,0.6666666666666666,0.75
[8. 1. 1. 0.],-0.0,0.25,0.3333333333333333,0.6666666666666666,1.0
[8. 2. 0. 0.],-0.0,0.25,0.5,0.4166666666666667,0.75
[9. 1. 0. 0.],-1.0,-0.4166666666666667,-0.0,0.25,0.75
[10.  0.  0.  0.],-1.0,-1.0,-0.5,-0.5,0.25
