,[2. 1. 1. 1. 1. 1.],[2. 2. 1. 1. 1. 0.],[2. 2. 2. 1. 0. 0.],[3. 1. 1. 1. 1. 0.],[3. 2. 1. 1. 0. 0.],[3. 2. 2. 0. 0. 0.],[3. 3. 1. 0. 0. 0.],[4. 1. 1. 1. 0. 0.],[4. 2. 1. 0. 0. 0.],[4. 3. 0. 0. 0. 0.],[5. 1. 1. 0. 0. 0.],[5. 2. 0. 0. 0. 0.],[6. 1. 0. 0. 0. 0.],[7. 0. 0. 0. 0. 0.]
[1. 1. 1. 1. 1. 1.],-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 1. 1. 1. 1. 0.],-0.8333333333333334,-0.7333333333333333,-0.7,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.43333333333333335,0.5666666666666667,0.5666666666666667,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 0. 0.],-0.6666666666666666,-0.5666666666666667,-0.5666666666666667,-0.26666666666666666,-0.26666666666666666,-0.3,-0.03333333333333333,0.23333333333333334,0.26666666666666666,0.6,0.7,0.8,1.0,1.0
[2. 2. 2. 0. 0. 0.],-0.5,-0.45,-0.5,-0.3,-0.35,-0.5,-0.35,0.0,0.0,0.0,0.35,0.5,0.7,1.0
[3. 1. 1. 1. 0. 0.],-1.0,-0.8166666666666667,-0.55,-0.7333333333333333,-0.4,-0.15,0.15,-0.16666666666666666,0.08333333333333333,0.7,0.5333333333333333,0.7,1.0,1.0
[3. 2. 1. 0. 0. 0.],-1.0,-0.75,-0.5166666666666667,-0.7,-0.5,-0.2833333333333333,-0.2833333333333333,-0.35,-0.14166666666666666,0.16666666666666666,0.11666666666666667,0.4,0.6333333333333333,1.0
[3. 3. 0. 0. 0. 0.],-1.0,-1.0,-0.6,-1.0,-0.8,-0.3333333333333333,-0.6666666666666666,-0.8,-0.4666666666666667,-0.3333333333333333,-0.4666666666666667,0.0,0.0,0.6666666666666666
[4. 1. 1. 0. 0. 0.],-1.0,-1.0,-0.8333333333333334,-1.0,-0.7,-0.35,-0.11666666666666667,-0.7,-0.2833333333333333,0.4,-0.16666666666666666,0.23333333333333334,0.5666666666666667,1.0
[4. 2. 0. 0. 0. 0.],-1.0,-1.0,-0.9,-1.0,-0.8,-0.5666666666666667,-0.4666666666666667,-0.8,-0.5666666666666667,-0.16666666666666666,-0.4666666666666667,-0.16666666666666666,0.0,0.6666666666666666
[5. 1. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-0.6333333333333333,-1.0,-0.6333333333333333,0.0,-0.7333333333333333,-0.16666666666666666,-0.16666666666666666,0.6666666666666666
[6. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6666666666666666,-1.0,-0.6666666666666666,-0.8333333333333334,-0.16666666666666666
