,[2. 2. 1. 1. 1.],[2. 2. 2. 1. 0.],[3. 1. 1. 1. 1.],[3. 2. 1. 1. 0.],[3. 2. 2. 0. 0.],[3. 3. 1. 0. 0.],[4. 1. 1. 1. 0.],[4. 2. 1. 0. 0.],[4. 3. 0. 0. 0.],[5. 1. 1. 0. 0.],[5. 2. 0. 0. 0.],[6. 1. 0. 0. 0.],[7. 0. 0. 0. 0.]
[2. 2. 1. 1. 1.],-0.0,-0.4,0.6,0.2,-0.2,0.4,0.9,0.7,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 0.],0.4,-0.0,0.4,0.15,-0.2,-0.0,0.7,0.5,0.4,0.9,0.85,1.0,1.0
[3. 1. 1. 1. 1.],-0.6,-0.4,-0.0,-0.0,-0.0,0.6,0.6,0.4,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 0.],-0.2,-0.15,-0.0,-0.0,-0.0,0.16666666666666666,0.3,0.2833333333333333,0.55,0.7333333333333333,0.7,1.0,1.0
[3. 2. 2. 0. 0.],0.2,0.2,-0.0,-0.0,-0.0,-0.13333333333333333,0.1,0.13333333333333333,-0.0,0.4,0.5,0.7,1.0
[3. 3. 1. 0. 0.],-0.4,-0.0,-0.6,-0.16666666666666666,0.13333333333333333,-0.0,-0.3,-0.0,0.2,0.13333333333333333,0.4,0.6,1.0
[4. 1. 1. 1. 0.],-0.9,-0.7,-0.6,-0.3,-0.1,0.3,-0.0,0.15,0.7,0.5,0.55,1.0,1.0
[4. 2. 1. 0. 0.],-0.7,-0.5,-0.4,-0.2833333333333333,-0.13333333333333333,-0.0,-0.15,-0.0,0.3,0.13333333333333333,0.3,0.6,1.0
[4. 3. 0. 0. 0.],-1.0,-0.4,-1.0,-0.55,-0.0,-0.2,-0.7,-0.3,-0.0,-0.4,-0.0,-0.0,0.6
[5. 1. 1. 0. 0.],-1.0,-0.9,-1.0,-0.7333333333333333,-0.4,-0.13333333333333333,-0.5,-0.13333333333333333,0.4,-0.0,0.3,0.5,1.0
[5. 2. 0. 0. 0.],-1.0,-0.85,-1.0,-0.7,-0.5,-0.4,-0.55,-0.3,-0.0,-0.3,-0.0,-0.0,0.6
[6. 1. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-0.7,-0.6,-1.0,-0.6,-0.0,-0.5,-0.0,-0.0,0.6
[7. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6,-1.0,-0.6,-0.6,-0.0
