,[2. 2. 1. 1. 1. 1.],[2. 2. 2. 1. 1. 0.],[2. 2. 2. 2. 0. 0.],[3. 1. 1. 1. 1. 1.],[3. 2. 1. 1. 1. 0.],[3. 2. 2. 1. 0. 0.],[3. 3. 1. 1. 0. 0.],[3. 3. 2. 0. 0. 0.],[4. 1. 1. 1. 1. 0.],[4. 2. 1. 1. 0. 0.],[4. 2. 2. 0. 0. 0.],[4. 3. 1. 0. 0. 0.],[4. 4. 0. 0. 0. 0.],[5. 1. 1. 1. 0. 0.],[5. 2. 1. 0. 0. 0.],[5. 3. 0. 0. 0. 0.],[6. 1. 1. 0. 0. 0.],[6. 2. 0. 0. 0. 0.],[7. 1. 0. 0. 0. 0.],[8. 0. 0. 0. 0. 0.]
[2. 1. 1. 1. 1. 1.],-1.0,-1.0,-1.0,-0.16666666666666666,-0.3333333333333333,-0.5,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 1. 0.],-0.6666666666666666,-0.7,-0.8,-0.16666666666666666,-0.2833333333333333,-0.4166666666666667,-0.03333333333333333,-0.16666666666666666,0.4,0.26666666666666666,0.15,0.5333333333333333,1.0,0.8166666666666667,0.75,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 0. 0.],-0.3333333333333333,-0.45,-0.6666666666666666,-0.16666666666666666,-0.25,-0.4,-0.23333333333333334,-0.45,0.2,0.11666666666666667,0.0,0.11666666666666667,0.6,0.55,0.5166666666666667,0.6,0.8333333333333334,0.9,1.0,1.0
[3. 1. 1. 1. 1. 0.],-0.9333333333333333,-0.8,-0.6,-0.8333333333333334,-0.5666666666666667,-0.36666666666666664,0.0,0.1,-0.16666666666666666,-0.03333333333333333,0.03333333333333333,0.5666666666666667,1.0,0.5666666666666667,0.5666666666666667,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 0. 0.],-0.8,-0.6166666666666667,-0.4666666666666667,-0.6666666666666666,-0.5,-0.37222222222222223,-0.26666666666666666,-0.15,-0.26666666666666666,-0.13333333333333333,-0.03333333333333333,0.11666666666666667,0.6,0.23333333333333334,0.35,0.7,0.7,0.8,1.0,1.0
[3. 2. 2. 0. 0. 0.],-0.6,-0.45,-0.3333333333333333,-0.5,-0.45,-0.4,-0.43333333333333335,-0.45,-0.3,-0.23333333333333334,-0.16666666666666666,-0.23333333333333334,0.0,0.0,0.11666666666666667,0.16666666666666666,0.35,0.5666666666666667,0.7,1.0
[3. 3. 1. 0. 0. 0.],-1.0,-0.6333333333333333,-0.26666666666666666,-1.0,-0.75,-0.38333333333333336,-0.5666666666666667,-0.16666666666666666,-0.7,-0.43333333333333335,-0.11666666666666667,-0.2833333333333333,0.0,-0.35,0.0,0.3333333333333333,0.11666666666666667,0.4666666666666667,0.6333333333333333,1.0
[4. 1. 1. 1. 0. 0.],-1.0,-0.95,-0.8,-1.0,-0.8166666666666667,-0.55,-0.23333333333333334,0.0,-0.7333333333333333,-0.4,-0.15,0.25,0.8,-0.16666666666666666,0.08333333333333333,0.7,0.5333333333333333,0.7,1.0,1.0
[4. 2. 1. 0. 0. 0.],-1.0,-0.8833333333333333,-0.7333333333333333,-1.0,-0.75,-0.5833333333333334,-0.43333333333333335,-0.23333333333333334,-0.7,-0.5,-0.2833333333333333,-0.14166666666666666,0.3333333333333333,-0.35,-0.14166666666666666,0.23333333333333334,0.11666666666666667,0.4,0.6333333333333333,1.0
[4. 3. 0. 0. 0. 0.],-1.0,-1.0,-0.6,-1.0,-1.0,-0.7,-0.8,-0.3333333333333333,-1.0,-0.8,-0.4,-0.5666666666666667,-0.3333333333333333,-0.8,-0.4666666666666667,-0.16666666666666666,-0.4666666666666667,0.0,0.0,0.6666666666666666
[5. 1. 1. 0. 0. 0.],-1.0,-1.0,-0.9333333333333333,-1.0,-1.0,-0.8333333333333334,-0.7,-0.35,-1.0,-0.7,-0.35,-0.11666666666666667,0.4666666666666667,-0.7,-0.2833333333333333,0.4,-0.16666666666666666,0.23333333333333334,0.5666666666666667,1.0
[5. 2. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-0.9,-0.8,-0.6333333333333333,-1.0,-0.8,-0.5666666666666667,-0.4666666666666667,0.0,-0.8,-0.5666666666666667,-0.16666666666666666,-0.4666666666666667,-0.16666666666666666,0.0,0.6666666666666666
[6. 1. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,-0.7,-0.6333333333333333,0.0,-1.0,-0.6333333333333333,0.0,-0.7333333333333333,-0.16666666666666666,-0.16666666666666666,0.6666666666666666
[7. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6666666666666666,-1.0,-1.0,-0.6666666666666666,-1.0,-0.6666666666666666,-0.8333333333333334,-0.16666666666666666
