,[2. 1. 1. 1. 1. 1. 1.],[2. 2. 1. 1. 1. 1. 0.],[2. 2. 2. 1. 1. 0. 0.],[2. 2. 2. 2. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 0.],[3. 2. 1. 1. 1. 0. 0.],[3. 2. 2. 1. 0. 0. 0.],[3. 3. 1. 1. 0. 0. 0.],[3. 3. 2. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 0. 0.],[4. 2. 1. 1. 0. 0. 0.],[4. 2. 2. 0. 0. 0. 0.],[4. 3. 1. 0. 0. 0. 0.],[4. 4. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 0. 0. 0.],[5. 2. 1. 0. 0. 0. 0.],[5. 3. 0. 0. 0. 0. 0.],[6. 1. 1. 0. 0. 0. 0.],[6. 2. 0. 0. 0. 0. 0.],[7. 1. 0. 0. 0. 0. 0.],[8. 0. 0. 0. 0. 0. 0.]
[1. 1. 1. 1. 1. 1. 1.],-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 1. 1. 1. 1. 1. 0.],-0.8571428571428571,-0.7619047619047619,-0.7142857142857143,-0.7142857142857143,-0.14285714285714285,-0.14285714285714285,-0.14285714285714285,0.47619047619047616,0.5238095238095238,0.6190476190476191,0.5952380952380952,0.6190476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 1. 0. 0.],-0.7142857142857143,-0.6,-0.5714285714285714,-0.6,-0.23809523809523808,-0.22857142857142856,-0.23809523809523808,0.0761904761904762,0.12380952380952381,0.3142857142857143,0.3238095238095238,0.37142857142857144,0.638095238095238,1.0,0.7714285714285715,0.8,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 0. 0. 0.],-0.5714285714285714,-0.4857142857142857,-0.4857142857142857,-0.5714285714285714,-0.2857142857142857,-0.3,-0.34285714285714286,-0.2,-0.2571428571428571,0.08571428571428572,0.1,0.14285714285714285,0.2,0.7142857142857143,0.4714285714285714,0.5428571428571428,0.7142857142857143,0.8,0.9285714285714286,1.0,1.0
[3. 1. 1. 1. 1. 0. 0.],-1.0,-0.8666666666666667,-0.6571428571428571,-0.42857142857142855,-0.7619047619047619,-0.45714285714285713,-0.21904761904761905,0.12380952380952381,0.3142857142857143,-0.14285714285714285,0.0761904761904762,0.23809523809523808,0.6761904761904762,1.0,0.5714285714285714,0.6761904761904762,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 0. 0. 0.],-1.0,-0.8,-0.6,-0.4,-0.7142857142857143,-0.5142857142857142,-0.319047619047619,-0.22857142857142856,-0.009523809523809525,-0.3142857142857143,-0.11428571428571428,0.0761904761904762,0.21428571428571427,0.7142857142857143,0.2,0.40476190476190477,0.7857142857142857,0.6952380952380952,0.8571428571428571,1.0,1.0
[3. 2. 2. 0. 0. 0. 0.],-1.0,-0.7714285714285715,-0.6,-0.42857142857142855,-0.7142857142857143,-0.5714285714285714,-0.45714285714285713,-0.4666666666666667,-0.3904761904761905,-0.42857142857142855,-0.29523809523809524,-0.14285714285714285,-0.20952380952380953,0.14285714285714285,-0.08571428571428572,0.10476190476190476,0.2857142857142857,0.3142857142857143,0.6190476190476191,0.7142857142857143,1.0
[3. 3. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.6952380952380952,-0.3142857142857143,-1.0,-0.8,-0.42857142857142855,-0.6,-0.14285714285714285,-0.7714285714285715,-0.4666666666666667,-0.10476190476190476,-0.24761904761904763,0.14285714285714285,-0.4,0.0,0.42857142857142855,0.10476190476190476,0.5238095238095238,0.6666666666666666,1.0
[4. 1. 1. 1. 0. 0. 0.],-1.0,-1.0,-0.9,-0.6857142857142857,-1.0,-0.7714285714285715,-0.4714285714285714,-0.2,0.08571428571428572,-0.7142857142857143,-0.34285714285714286,-0.02857142857142857,0.32857142857142857,0.8571428571428571,-0.14285714285714285,0.18571428571428572,0.7857142857142857,0.5714285714285714,0.7857142857142857,1.0,1.0
[4. 2. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.8952380952380953,-0.7142857142857143,-1.0,-0.8,-0.5952380952380952,-0.4666666666666667,-0.20952380952380953,-0.7714285714285715,-0.5333333333333333,-0.24761904761904763,-0.12380952380952381,0.42857142857142855,-0.4,-0.12380952380952381,0.3333333333333333,0.10476190476190476,0.47619047619047616,0.6666666666666666,1.0
[4. 3. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,-0.7857142857142857,-0.8571428571428571,-0.42857142857142855,-1.0,-0.8571428571428571,-0.47619047619047616,-0.6190476190476191,-0.2857142857142857,-0.8571428571428571,-0.5238095238095238,-0.14285714285714285,-0.5238095238095238,0.0,0.0,0.7142857142857143
[5. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.8857142857142857,-1.0,-1.0,-0.8,-0.6952380952380952,-0.3142857142857143,-1.0,-0.6952380952380952,-0.3142857142857143,-0.10476190476190476,0.5238095238095238,-0.7142857142857143,-0.24761904761904763,0.47619047619047616,-0.14285714285714285,0.3333333333333333,0.6190476190476191,1.0
[5. 2. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9285714285714286,-0.8571428571428571,-0.6666666666666666,-1.0,-0.8571428571428571,-0.6190476190476191,-0.5238095238095238,0.0,-0.8571428571428571,-0.6190476190476191,-0.14285714285714285,-0.5238095238095238,-0.14285714285714285,0.0,0.7142857142857143
[6. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,-0.7142857142857143,-0.6666666666666666,0.0,-1.0,-0.6666666666666666,0.0,-0.7619047619047619,-0.14285714285714285,-0.14285714285714285,0.7142857142857143
[7. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,-0.7142857142857143,-1.0,-0.7142857142857143,-0.8571428571428571,-0.14285714285714285
