,[2. 2. 2. 2. 1. 1.],[2. 2. 2. 2. 2. 0.],[3. 2. 2. 1. 1. 1.],[3. 2. 2. 2. 1. 0.],[3. 3. 1. 1. 1. 1.],[3. 3. 2. 1. 1. 0.],[3. 3. 2. 2. 0. 0.],[3. 3. 3. 1. 0. 0.],[4. 2. 1. 1. 1. 1.],[4. 2. 2. 1. 1. 0.],[4. 2. 2. 2. 0. 0.],[4. 3. 1. 1. 1. 0.],[4. 3. 2. 1. 0. 0.],[4. 3. 3. 0. 0. 0.],[4. 4. 1. 1. 0. 0.],[4. 4. 2. 0. 0. 0.],[5. 1. 1. 1. 1. 1.],[5. 2. 1. 1. 1. 0.],[5. 2. 2. 1. 0. 0.],[5. 3. 1. 1. 0. 0.],[5. 3. 2. 0. 0. 0.],[5. 4. 1. 0. 0. 0.],[5. 5. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 0.],[6. 2. 1. 1. 0. 0.],[6. 2. 2. 0. 0. 0.],[6. 3. 1. 0. 0. 0.],[6. 4. 0. 0. 0. 0.],[7. 1. 1. 1. 0. 0.],[7. 2. 1. 0. 0. 0.],[7. 3. 0. 0. 0. 0.],[8. 1. 1. 0. 0. 0.],[8. 2. 0. 0. 0. 0.],[9. 1. 0. 0. 0. 0.],[10.  0.  0.  0.  0.  0.]
[2. 2. 1. 1. 1. 1.],-1.0,-1.0,-1.0,-1.0,-0.6,-0.8,-0.9333333333333333,-0.6666666666666666,-0.3333333333333333,-0.6,-0.8,0.0,-0.3333333333333333,0.0,0.6,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6,0.3333333333333333,1.0,1.0,0.9333333333333333,0.8,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 1. 0.],-1.0,-1.0,-0.7,-0.8833333333333333,-0.4666666666666667,-0.6666666666666666,-0.9,-0.7,-0.16666666666666666,-0.4,-0.6833333333333333,-0.15,-0.4,-0.5,0.23333333333333334,0.0,0.5,0.25,0.0,0.23333333333333334,0.0,0.6333333333333333,1.0,0.8,0.6166666666666667,0.45,0.6333333333333333,1.0,0.95,0.8833333333333333,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 0. 0.],-0.6,-1.0,-0.4666666666666667,-0.7333333333333333,-0.3333333333333333,-0.6,-0.9333333333333333,-0.8,-0.06666666666666667,-0.26666666666666666,-0.6666666666666666,-0.2,-0.4666666666666667,-0.8,0.0,-0.3333333333333333,0.3333333333333333,0.2,0.0,0.0,-0.3333333333333333,0.26666666666666666,0.6,0.6,0.4666666666666667,0.3333333333333333,0.26666666666666666,0.6,0.8,0.7333333333333333,0.6,0.9333333333333333,1.0,1.0,1.0
[3. 1. 1. 1. 1. 1.],-1.0,-1.0,-1.0,-1.0,-1.0,-0.8333333333333334,-0.6666666666666666,-0.3333333333333333,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.5,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 0.],-1.0,-1.0,-0.8833333333333333,-0.825,-0.7333333333333333,-0.7,-0.6666666666666666,-0.55,-0.6,-0.55,-0.5,-0.39166666666666666,-0.375,-0.16666666666666666,-0.03333333333333333,-0.06666666666666667,-0.16666666666666666,-0.14166666666666666,-0.13333333333333333,0.11666666666666667,0.09166666666666666,0.5333333333333333,1.0,0.4,0.35,0.3,0.6416666666666667,1.0,0.8166666666666667,0.75,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 0. 0.],-0.8,-0.8333333333333334,-0.6666666666666666,-0.7,-0.6,-0.6277777777777778,-0.7111111111111111,-0.6666666666666666,-0.43333333333333335,-0.4444444444444444,-0.4666666666666667,-0.4166666666666667,-0.46111111111111114,-0.5666666666666667,-0.23333333333333334,-0.3,-0.16666666666666666,-0.13333333333333333,-0.13333333333333333,-0.11666666666666667,-0.15,0.11666666666666667,0.6,0.2,0.2222222222222222,0.23333333333333334,0.25,0.6,0.55,0.5833333333333334,0.7,0.8333333333333334,0.9,1.0,1.0
[3. 3. 1. 1. 0. 0.],-0.9333333333333333,-0.6666666666666666,-0.9,-0.6666666666666666,-0.9333333333333333,-0.7111111111111111,-0.4666666666666667,-0.5666666666666667,-0.8,-0.5777777777777777,-0.4,-0.6666666666666666,-0.4444444444444444,-0.3,-0.4666666666666667,-0.26666666666666666,-0.6666666666666666,-0.43333333333333335,-0.2111111111111111,-0.26666666666666666,-0.03333333333333333,-0.03333333333333333,0.6,-0.26666666666666666,0.0,0.2,0.26666666666666666,0.6,0.23333333333333334,0.43333333333333335,0.8,0.7,0.8,1.0,1.0
[3. 3. 2. 0. 0. 0.],-0.6666666666666666,-0.3333333333333333,-0.7,-0.55,-0.8,-0.6666666666666666,-0.5666666666666667,-0.7,-0.6,-0.5,-0.35,-0.65,-0.55,-0.7,-0.6,-0.5,-0.5,-0.4,-0.23333333333333334,-0.43333333333333335,-0.2833333333333333,-0.35,0.0,-0.3,-0.11666666666666667,0.11666666666666667,-0.11666666666666667,0.0,0.0,0.23333333333333334,0.3333333333333333,0.35,0.6333333333333333,0.7,1.0
[4. 1. 1. 1. 1. 0.],-1.0,-1.0,-1.0,-1.0,-0.9333333333333333,-0.8,-0.6,-0.2,-0.9666666666666667,-0.8666666666666667,-0.7,-0.5666666666666667,-0.36666666666666664,0.2,0.0,0.1,-0.8333333333333334,-0.6,-0.43333333333333335,-0.03333333333333333,0.03333333333333333,0.5666666666666667,1.0,-0.16666666666666666,-0.03333333333333333,0.03333333333333333,0.5666666666666667,1.0,0.5666666666666667,0.5666666666666667,1.0,1.0,1.0,1.0,1.0
[4. 2. 1. 1. 0. 0.],-1.0,-1.0,-0.95,-0.8833333333333333,-0.8,-0.7055555555555556,-0.6333333333333333,-0.43333333333333335,-0.8666666666666667,-0.7555555555555555,-0.6666666666666666,-0.55,-0.46111111111111114,-0.15,-0.26666666666666666,-0.15,-0.6666666666666666,-0.55,-0.4444444444444444,-0.23333333333333334,-0.15,0.11666666666666667,0.6,-0.26666666666666666,-0.13333333333333333,-0.03333333333333333,0.2,0.7,0.23333333333333334,0.35,0.7,0.7,0.8,1.0,1.0
