,[2. 2. 2.],[3. 2. 1.],[3. 3. 0.],[4. 1. 1.],[4. 2. 0.],[5. 1. 0.],[6. 0. 0.]
[3. 3. 2.],1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
[4. 2. 2.],1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
[4. 3. 1.],1.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,1.0
[4. 4. 0.],1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,-0.0,0.3333333333333333
[5. 2. 1.],-0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.8333333333333334,1.0
[5. 3. 0.],1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333
[6. 1. 1.],-1.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[6. 2. 0.],-0.0,-0.0,-0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666
[7. 1. 0.],-1.0,-0.6666666666666666,-0.0,-0.3333333333333333,-0.0,0.3333333333333333,0.6666666666666666
[8. 0. 0.],-1.0,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333
