,[2. 2. 1. 1. 1. 1. 1. 1.],[2. 2. 2. 1. 1. 1. 1. 0.],[2. 2. 2. 2. 1. 1. 0. 0.],[2. 2. 2. 2. 2. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1.],[3. 2. 1. 1. 1. 1. 1. 0.],[3. 2. 2. 1. 1. 1. 0. 0.],[3. 2. 2. 2. 1. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 0. 0.],[3. 3. 2. 1. 1. 0. 0. 0.],[3. 3. 2. 2. 0. 0. 0. 0.],[3. 3. 3. 1. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 0.],[4. 2. 1. 1. 1. 1. 0. 0.],[4. 2. 2. 1. 1. 0. 0. 0.],[4. 2. 2. 2. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 0. 0. 0.],[4. 3. 2. 1. 0. 0. 0. 0.],[4. 3. 3. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 0. 0. 0. 0.],[4. 4. 2. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 0. 0.],[5. 2. 1. 1. 1. 0. 0. 0.],[5. 2. 2. 1. 0. 0. 0. 0.],[5. 3. 1. 1. 0. 0. 0. 0.],[5. 3. 2. 0. 0. 0. 0. 0.],[5. 4. 1. 0. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 0. 0. 0.],[6. 2. 1. 1. 0. 0. 0. 0.],[6. 2. 2. 0. 0. 0. 0. 0.],[6. 3. 1. 0. 0. 0. 0. 0.],[6. 4. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 0. 0. 0. 0.],[7. 2. 1. 0. 0. 0. 0. 0.],[7. 3. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 0. 0. 0. 0. 0.],[8. 2. 0. 0. 0. 0. 0. 0.],[9. 1. 0. 0. 0. 0. 0. 0.],[10.  0.  0.  0.  0.  0.  0.  0.]
[2. 1. 1. 1. 1. 1. 1. 1.],-1.0,-1.0,-1.0,-1.0,-0.125,-0.25,-0.375,-0.5,0.5,0.375,0.25,1.0,0.75,0.625,0.5,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 1. 0.],-0.75,-0.7321428571428571,-0.7619047619047619,-0.8214285714285714,-0.125,-0.22023809523809523,-0.30952380952380953,-0.4107142857142857,0.17857142857142858,0.08333333333333333,-0.011904761904761904,0.5178571428571429,0.5357142857142857,0.40476190476190477,0.30357142857142855,0.21428571428571427,0.7142857142857143,0.6726190476190477,1.0,1.0,1.0,0.8988095238095238,0.8392857142857143,0.7976190476190477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 0. 0.],-0.5,-0.5178571428571429,-0.5857142857142857,-0.6964285714285714,-0.125,-0.19642857142857142,-0.2785714285714286,-0.38571428571428573,-0.02142857142857143,-0.10357142857142858,-0.21428571428571427,0.07142857142857142,0.35714285714285715,0.2642857142857143,0.18571428571428572,0.10714285714285714,0.40535714285714286,0.37142857142857144,0.6428571428571429,0.7785714285714286,0.8214285714285714,0.7321428571428571,0.6625,0.6321428571428571,0.7785714285714286,0.8214285714285714,1.0,1.0,0.9357142857142857,0.9142857142857143,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 1. 0. 0. 0.],-0.25,-0.32142857142857145,-0.42857142857142855,-0.625,-0.125,-0.17857142857142858,-0.2642857142857143,-0.39285714285714285,-0.15714285714285714,-0.25357142857142856,-0.42857142857142855,-0.26785714285714285,0.21428571428571427,0.15714285714285714,0.08928571428571429,0.0,0.15,0.08928571428571429,0.10714285714285714,0.4785714285714286,0.5357142857142857,0.5357142857142857,0.4928571428571429,0.48214285714285715,0.4785714285714286,0.5357142857142857,0.7857142857142857,1.0,0.7857142857142857,0.7785714285714286,0.8571428571428571,0.7857142857142857,1.0,0.9392857142857143,0.9642857142857143,1.0,1.0,1.0,1.0,1.0
[3. 1. 1. 1. 1. 1. 1. 0.],-0.9642857142857143,-0.8928571428571429,-0.7857142857142857,-0.6428571428571429,-0.875,-0.6607142857142857,-0.48214285714285715,-0.3392857142857143,0.0,0.08928571428571429,0.14285714285714285,0.7142857142857143,-0.125,-0.017857142857142856,0.05357142857142857,0.08928571428571429,0.625,0.625,1.0,1.0,1.0,0.6607142857142857,0.625,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 0. 0.],-0.8928571428571429,-0.7607142857142857,-0.6428571428571429,-0.5357142857142857,-0.75,-0.5654761904761905,-0.44166666666666665,-0.3392857142857143,-0.20238095238095238,-0.10238095238095238,-0.01904761904761905,0.29285714285714287,-0.21428571428571427,-0.10119047619047619,-0.014285714285714285,0.05,0.2642857142857143,0.3392857142857143,0.7619047619047619,0.6880952380952381,0.7619047619047619,0.38095238095238093,0.425,0.4714285714285714,0.7535714285714286,0.8095238095238095,1.0,1.0,0.8214285714285714,0.819047619047619,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 0. 0. 0.],-0.7857142857142857,-0.6321428571428571,-0.530952380952381,-0.44642857142857145,-0.625,-0.5119047619047619,-0.425,-0.3535714285714286,-0.32857142857142857,-0.2630952380952381,-0.19523809523809524,-0.10714285714285714,-0.26785714285714285,-0.175,-0.09285714285714286,-0.017857142857142856,-0.007142857142857143,0.07976190476190476,0.32142857142857145,0.32857142857142857,0.4642857142857143,0.16071428571428573,0.24642857142857144,0.3345238095238095,0.41904761904761906,0.5535714285714286,0.75,1.0,0.5678571428571428,0.638095238095238,0.7321428571428571,0.8035714285714286,1.0,0.8642857142857143,0.9107142857142857,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 0. 0. 0. 0.],-0.6428571428571429,-0.5071428571428571,-0.42857142857142855,-0.375,-0.5,-0.4642857142857143,-0.41785714285714287,-0.39285714285714285,-0.42857142857142855,-0.4035714285714286,-0.42857142857142855,-0.42142857142857143,-0.2857142857142857,-0.2357142857142857,-0.17857142857142858,-0.125,-0.225,-0.17857142857142858,-0.21428571428571427,0.0,0.08928571428571429,0.0,0.07857142857142857,0.17857142857142858,0.08928571428571429,0.21428571428571427,0.35714285714285715,0.7857142857142857,0.3142857142857143,0.42142857142857143,0.6071428571428571,0.44642857142857145,0.7857142857142857,0.6142857142857143,0.75,0.8392857142857143,0.8571428571428571,1.0,1.0,1.0
[3. 3. 1. 1. 1. 0. 0. 0.],-1.0,-0.85,-0.6071428571428571,-0.375,-1.0,-0.8392857142857143,-0.5767857142857142,-0.32142857142857145,-0.5857142857142857,-0.2785714285714286,-0.02142857142857143,0.10714285714285714,-0.7321428571428571,-0.4785714285714286,-0.23214285714285715,-0.007142857142857143,-0.19642857142857142,0.06785714285714285,0.5178571428571429,0.15714285714285714,0.39285714285714285,-0.2857142857142857,0.0,0.225,0.37142857142857144,0.5714285714285714,0.7142857142857143,1.0,0.26785714285714285,0.4785714285714286,0.625,0.8392857142857143,1.0,0.75,0.8392857142857143,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 1. 0. 0. 0. 0.],-1.0,-0.7857142857142857,-0.5404761904761904,-0.2857142857142857,-1.0,-0.7976190476190477,-0.5904761904761905,-0.3607142857142857,-0.6428571428571429,-0.44166666666666665,-0.20238095238095238,-0.30357142857142855,-0.7142857142857143,-0.5238095238095238,-0.319047619047619,-0.08928571428571429,-0.4035714285714286,-0.18214285714285713,0.011904761904761904,-0.17857142857142858,0.07142857142857142,-0.39285714285714285,-0.16428571428571428,0.08095238095238096,0.0,0.2857142857142857,0.26785714285714285,0.7857142857142857,0.0,0.2511904761904762,0.5,0.47023809523809523,0.7857142857142857,0.42142857142857143,0.6547619047619048,0.8928571428571429,0.7857142857142857,0.9464285714285714,1.0,1.0
