,[2. 1. 1. 1. 1. 1. 1. 1. 1.],[2. 2. 1. 1. 1. 1. 1. 1. 0.],[2. 2. 2. 1. 1. 1. 1. 0. 0.],[2. 2. 2. 2. 1. 1. 0. 0. 0.],[2. 2. 2. 2. 2. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 0.],[3. 2. 1. 1. 1. 1. 1. 0. 0.],[3. 2. 2. 1. 1. 1. 0. 0. 0.],[3. 2. 2. 2. 1. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 0. 0. 0.],[3. 3. 2. 1. 1. 0. 0. 0. 0.],[3. 3. 2. 2. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 0. 0.],[4. 2. 1. 1. 1. 1. 0. 0. 0.],[4. 2. 2. 1. 1. 0. 0. 0. 0.],[4. 2. 2. 2. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 0. 0. 0. 0.],[4. 3. 2. 1. 0. 0. 0. 0. 0.],[4. 3. 3. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 0. 0. 0. 0. 0.],[4. 4. 2. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 0. 0. 0.],[5. 2. 1. 1. 1. 0. 0. 0. 0.],[5. 2. 2. 1. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 0. 0. 0. 0. 0.],[5. 3. 2. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 0. 0. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 0. 0. 0. 0.],[6. 2. 1. 1. 0. 0. 0. 0. 0.],[6. 2. 2. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 0. 0. 0. 0. 0. 0.],[6. 4. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 0. 0. 0. 0. 0.],[7. 2. 1. 0. 0. 0. 0. 0. 0.],[7. 3. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 0. 0. 0. 0. 0. 0.],[8. 2. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 0. 0. 0. 0. 0. 0. 0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.]
[1. 1. 1. 1. 1. 1. 1. 1. 1.],-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 1. 1. 1. 1. 1. 1. 1. 0.],-0.8888888888888888,-0.8055555555555556,-0.75,-0.7222222222222222,-0.7222222222222222,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111,0.5555555555555556,0.5555555555555556,0.5833333333333334,1.0,0.6944444444444444,0.6527777777777778,0.6388888888888888,0.6527777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 1. 0. 0.],-0.7777777777777778,-0.6587301587301587,-0.6031746031746031,-0.5873015873015873,-0.6031746031746031,-0.19444444444444445,-0.18253968253968253,-0.17857142857142858,-0.18253968253968253,0.2222222222222222,0.23544973544973544,0.2724867724867725,0.6626984126984127,0.4365079365079365,0.4126984126984127,0.41534391534391535,0.4444444444444444,0.7341269841269841,0.7685185185185185,1.0,1.0,1.0,0.8571428571428571,0.8412698412698413,0.8544973544973545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 0. 0. 0.],-0.6666666666666666,-0.5476190476190477,-0.5071428571428571,-0.5071428571428571,-0.5476190476190477,-0.25,-0.23809523809523808,-0.24047619047619048,-0.2571428571428571,-0.016666666666666666,-0.014285714285714285,0.0,0.2261904761904762,0.2261904761904762,0.22738095238095238,0.24047619047619048,0.27976190476190477,0.42142857142857143,0.47619047619047616,0.7619047619047619,0.7976190476190477,0.8809523809523809,0.6428571428571429,0.6476190476190476,0.6904761904761905,0.7976190476190477,0.8809523809523809,1.0,1.0,0.9047619047619048,0.9166666666666666,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 1. 0. 0. 0. 0.],-0.5555555555555556,-0.4603174603174603,-0.4380952380952381,-0.4603174603174603,-0.5555555555555556,-0.2777777777777778,-0.2857142857142857,-0.30317460317460315,-0.3492063492063492,-0.20317460317460317,-0.2253968253968254,-0.2857142857142857,-0.16666666666666666,0.06349206349206349,0.06984126984126984,0.07936507936507936,0.1111111111111111,0.13333333333333333,0.15873015873015872,0.2857142857142857,0.49206349206349204,0.6349206349206349,0.4126984126984127,0.4396825396825397,0.5079365079365079,0.49206349206349204,0.6349206349206349,0.8174603174603174,1.0,0.7111111111111111,0.7619047619047619,0.8888888888888888,0.8174603174603174,1.0,0.9126984126984127,0.9682539682539683,1.0,1.0,1.0,1.0,1.0
[3. 1. 1. 1. 1. 1. 1. 0. 0.],-1.0,-0.9206349206349206,-0.7857142857142857,-0.6190476190476191,-0.4444444444444444,-0.8055555555555556,-0.5476190476190477,-0.3333333333333333,-0.1626984126984127,0.09523809523809523,0.24603174603174602,0.36507936507936506,0.8015873015873016,-0.1111111111111111,0.06746031746031746,0.1984126984126984,0.3055555555555556,0.6785714285714286,0.7420634920634921,1.0,1.0,1.0,0.6388888888888888,0.6785714285714286,0.7420634920634921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 0. 0. 0.],-1.0,-0.8690476190476191,-0.7126984126984127,-0.5619047619047619,-0.4126984126984127,-0.75,-0.5515873015873016,-0.38412698412698415,-0.23015873015873015,-0.1746031746031746,-0.010317460317460317,0.14285714285714285,0.42063492063492064,-0.2619047619047619,-0.0873015873015873,0.06111111111111111,0.19047619047619047,0.30753968253968256,0.4503968253968254,0.8412698412698413,0.7341269841269841,0.8412698412698413,0.3253968253968254,0.44642857142857145,0.5555555555555556,0.7876984126984127,0.873015873015873,1.0,1.0,0.7936507936507936,0.8412698412698413,0.9047619047619048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 0. 0. 0. 0.],-1.0,-0.8253968253968254,-0.6698412698412698,-0.5333333333333333,-0.3968253968253968,-0.7222222222222222,-0.5740740740740741,-0.44365079365079363,-0.31507936507936507,-0.35873015873015873,-0.2343915343915344,-0.08994708994708994,-0.011904761904761904,-0.36507936507936506,-0.22380952380952382,-0.08253968253968254,0.06349206349206349,-0.006349206349206349,0.15079365079365079,0.4603174603174603,0.36507936507936506,0.5714285714285714,0.07142857142857142,0.21984126984126984,0.37566137566137564,0.44576719576719576,0.6428571428571429,0.7936507936507936,1.0,0.5079365079365079,0.6402116402116402,0.7857142857142857,0.8373015873015873,1.0,0.8412698412698413,0.9246031746031746,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 0. 0. 0. 0. 0.],-1.0,-0.8015873015873016,-0.6587301587301587,-0.5476190476190477,-0.4444444444444444,-0.7222222222222222,-0.6031746031746031,-0.5119047619047619,-0.4365079365079365,-0.5,-0.43253968253968256,-0.38492063492063494,-0.38492063492063494,-0.4444444444444444,-0.3412698412698413,-0.23412698412698413,-0.1111111111111111,-0.26785714285714285,-0.1626984126984127,-0.0873015873015873,0.0,0.18253968253968253,-0.12698412698412698,0.001984126984126984,0.1626984126984127,0.08134920634920635,0.29365079365079366,0.3968253968253968,0.8333333333333334,0.2222222222222222,0.38492063492063494,0.6388888888888888,0.4781746031746032,0.8333333333333334,0.5634920634920635,0.751984126984127,0.875,0.8412698412698413,1.0,1.0,1.0
[3. 3. 1. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.8380952380952381,-0.5904761904761905,-0.3333333333333333,-1.0,-0.8412698412698413,-0.5722222222222222,-0.2865079365079365,-0.5873015873015873,-0.24761904761904763,0.05555555555555555,0.19047619047619047,-0.7619047619047619,-0.49206349206349204,-0.20793650793650795,0.05555555555555555,-0.1746031746031746,0.1388888888888889,0.6190476190476191,0.2222222222222222,0.5079365079365079,-0.3253968253968254,0.0,0.2698412698412698,0.4126984126984127,0.6547619047619048,0.7698412698412699,1.0,0.23809523809523808,0.5,0.6904761904761905,0.8690476190476191,1.0,0.7420634920634921,0.8690476190476191,1.0,1.0,1.0,1.0,1.0
