,[2. 1. 1.],[2. 2. 0.],[3. 1. 0.],[4. 0. 0.]
[3. 3. 3.],1.0,1.0,1.0,1.0
[4. 3. 2.],1.0,1.0,1.0,1.0
[4. 4. 1.],1.0,1.0,1.0,1.0
[5. 2. 2.],1.0,1.0,1.0,1.0
[5. 3. 1.],1.0,1.0,1.0,1.0
[5. 4. 0.],1.0,1.0,1.0,1.0
[6. 2. 1.],1.0,0.6666666666666666,0.8333333333333334,1.0
[6. 3. 0.],1.0,1.0,0.8333333333333334,0.6666666666666666
[7. 1. 1.],0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[7. 2. 0.],0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666
[8. 1. 0.],-0.3333333333333333,-0.0,0.3333333333333333,0.6666666666666666
[9. 0. 0.],-1.0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333
