,[1. 1. 1. 1. 1. 1. 1. 1.],[2. 1. 1. 1. 1. 1. 1. 0.],[2. 2. 1. 1. 1. 1. 0. 0.],[2. 2. 2. 1. 1. 0. 0. 0.],[2. 2. 2. 2. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 0. 0.],[3. 2. 1. 1. 1. 0. 0. 0.],[3. 2. 2. 1. 0. 0. 0. 0.],[3. 3. 1. 1. 0. 0. 0. 0.],[3. 3. 2. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 0. 0. 0.],[4. 2. 1. 1. 0. 0. 0. 0.],[4. 2. 2. 0. 0. 0. 0. 0.],[4. 3. 1. 0. 0. 0. 0. 0.],[4. 4. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 0. 0. 0. 0.],[5. 2. 1. 0. 0. 0. 0. 0.],[5. 3. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 0. 0. 0. 0. 0.],[6. 2. 0. 0. 0. 0. 0. 0.],[7. 1. 0. 0. 0. 0. 0. 0.],[8. 0. 0. 0. 0. 0. 0. 0.]
[2. 1. 1. 1. 1. 1. 1. 1.],1.0,0.875,0.75,0.625,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 1. 0.],1.0,0.7857142857142857,0.6309523809523809,0.5178571428571429,0.42857142857142855,0.8988095238095238,0.8392857142857143,0.7976190476190477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 0. 0.],1.0,0.7321428571428571,0.5857142857142857,0.4928571428571429,0.42857142857142855,0.7321428571428571,0.6625,0.6321428571428571,0.7785714285714286,0.8214285714285714,0.9357142857142857,0.9142857142857143,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 1. 0. 0. 0.],1.0,0.7142857142857143,0.5857142857142857,0.5178571428571429,0.5,0.5357142857142857,0.4928571428571429,0.48214285714285715,0.4785714285714286,0.5357142857142857,0.7857142857142857,0.7785714285714286,0.8571428571428571,0.7857142857142857,1.0,0.9392857142857143,0.9642857142857143,1.0,1.0,1.0,1.0,1.0
[3. 1. 1. 1. 1. 1. 1. 0.],-0.0,0.125,0.21428571428571427,0.26785714285714285,0.2857142857142857,0.7857142857142857,0.7321428571428571,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 0. 0.],-0.0,0.125,0.20238095238095238,0.2642857142857143,0.3142857142857143,0.5059523809523809,0.5321428571428571,0.569047619047619,0.819047619047619,0.8571428571428571,0.8214285714285714,0.819047619047619,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 0. 0. 0.],-0.0,0.125,0.20238095238095238,0.2785714285714286,0.35714285714285715,0.27976190476190477,0.3535714285714286,0.44166666666666665,0.5095238095238095,0.6428571428571429,0.5678571428571428,0.638095238095238,0.7321428571428571,0.8035714285714286,1.0,0.8642857142857143,0.9107142857142857,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 0. 0. 0. 0.],-0.0,0.125,0.21428571428571427,0.32142857142857145,0.5,0.10714285714285714,0.18571428571428572,0.30357142857142855,0.17857142857142858,0.3392857142857143,0.3142857142857143,0.42142857142857143,0.6071428571428571,0.44642857142857145,0.7857142857142857,0.6142857142857143,0.75,0.8392857142857143,0.8571428571428571,1.0,1.0,1.0
[3. 3. 1. 1. 1. 0. 0. 0.],-1.0,-0.5178571428571429,-0.15714285714285714,0.09642857142857143,0.3,-0.10714285714285714,0.19642857142857142,0.4035714285714286,0.5857142857142857,0.7321428571428571,0.26785714285714285,0.4785714285714286,0.625,0.8392857142857143,1.0,0.75,0.8392857142857143,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 1. 0. 0. 0. 0.],-1.0,-0.5357142857142857,-0.18333333333333332,0.10714285714285714,0.35714285714285715,-0.27380952380952384,0.010714285714285714,0.2833333333333333,0.20238095238095238,0.5059523809523809,-0.0,0.2511904761904762,0.5,0.47023809523809523,0.7857142857142857,0.42142857142857143,0.6547619047619048,0.8928571428571429,0.7857142857142857,0.9464285714285714,1.0,1.0
