,[3. 2. 2. 2.],[3. 3. 2. 1.],[3. 3. 3. 0.],[4. 2. 2. 1.],[4. 3. 1. 1.],[4. 3. 2. 0.],[4. 4. 1. 0.],[5. 2. 1. 1.],[5. 2. 2. 0.],[5. 3. 1. 0.],[5. 4. 0. 0.],[6. 1. 1. 1.],[6. 2. 1. 0.],[6. 3. 0. 0.],[7. 1. 1. 0.],[7. 2. 0. 0.],[8. 1. 0. 0.],[9. 0. 0. 0.]
[3. 2. 2. 2.],-0.0,-0.25,-1.0,0.5,0.25,-0.5,-0.0,1.0,0.5,0.25,-0.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0
[3. 3. 2. 1.],0.25,-0.0,-0.5,0.16666666666666666,-0.0,-0.16666666666666666,-0.25,0.5833333333333334,0.3333333333333333,0.25,-0.0,1.0,0.6666666666666666,0.5,1.0,0.75,1.0,1.0
[3. 3. 3. 0.],1.0,0.5,-0.0,0.25,-0.25,-0.0,-0.5,0.25,0.5,-0.0,-0.5,0.25,0.5,0.25,0.5,0.75,0.75,1.0
[4. 2. 2. 1.],-0.5,-0.16666666666666666,-0.25,-0.0,0.16666666666666666,-0.16666666666666666,0.25,0.4166666666666667,-0.0,0.08333333333333333,0.25,1.0,0.5833333333333334,0.25,1.0,0.75,1.0,1.0
[4. 3. 1. 1.],-0.25,-0.0,0.25,-0.16666666666666666,-0.0,-0.0,-0.0,-0.0,-0.0,0.16666666666666666,0.25,0.5,0.3333333333333333,0.5,0.8333333333333334,0.5,1.0,1.0
[4. 3. 2. 0.],0.5,0.16666666666666666,-0.0,0.16666666666666666,-0.0,-0.0,-0.16666666666666666,0.08333333333333333,0.16666666666666666,-0.0,-0.25,0.25,0.3333333333333333,0.16666666666666666,0.5,0.5833333333333334,0.75,1.0
[4. 4. 1. 0.],-0.0,0.25,0.5,-0.25,-0.0,0.16666666666666666,-0.0,-0.3333333333333333,-0.16666666666666666,-0.0,-0.0,-0.25,-0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5833333333333334,1.0
[5. 2. 1. 1.],-1.0,-0.5833333333333334,-0.25,-0.4166666666666667,-0.0,-0.08333333333333333,0.3333333333333333,-0.0,-0.16666666666666666,0.16666666666666666,0.5,0.5,0.16666666666666666,0.25,0.8333333333333334,0.5,1.0,1.0
[5. 2. 2. 0.],-0.5,-0.3333333333333333,-0.5,-0.0,-0.0,-0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.0,-0.0,0.16666666666666666,0.25,0.16666666666666666,-0.08333333333333333,0.5,0.4166666666666667,0.75,1.0
[5. 3. 1. 0.],-0.25,-0.25,-0.0,-0.08333333333333333,-0.16666666666666666,-0.0,-0.0,-0.16666666666666666,-0.0,-0.0,0.16666666666666666,-0.25,-0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5833333333333334,1.0
[5. 4. 0. 0.],-0.0,-0.0,0.5,-0.25,-0.25,0.25,-0.0,-0.5,-0.16666666666666666,-0.16666666666666666,-0.0,-0.5,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.0,0.5
[6. 1. 1. 1.],-1.0,-1.0,-0.25,-1.0,-0.5,-0.25,0.25,-0.5,-0.25,0.25,0.5,-0.0,-0.0,0.5,0.5,0.25,1.0,1.0
[6. 2. 1. 0.],-1.0,-0.6666666666666666,-0.5,-0.5833333333333334,-0.3333333333333333,-0.3333333333333333,-0.0,-0.16666666666666666,-0.16666666666666666,-0.0,0.3333333333333333,-0.0,-0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5833333333333334,1.0
[6. 3. 0. 0.],-0.25,-0.5,-0.25,-0.25,-0.5,-0.16666666666666666,-0.3333333333333333,-0.25,0.08333333333333333,-0.16666666666666666,-0.0,-0.5,-0.16666666666666666,-0.0,-0.3333333333333333,-0.0,-0.0,0.5
[7. 1. 1. 0.],-1.0,-1.0,-0.5,-1.0,-0.8333333333333334,-0.5,-0.16666666666666666,-0.8333333333333334,-0.5,-0.16666666666666666,0.3333333333333333,-0.5,-0.16666666666666666,0.3333333333333333,-0.0,0.16666666666666666,0.4166666666666667,1.0
[7. 2. 0. 0.],-1.0,-0.75,-0.75,-0.75,-0.5,-0.5833333333333334,-0.3333333333333333,-0.5,-0.4166666666666667,-0.3333333333333333,-0.0,-0.25,-0.16666666666666666,-0.0,-0.16666666666666666,-0.0,-0.0,0.5
[8. 1. 0. 0.],-1.0,-1.0,-0.75,-1.0,-1.0,-0.75,-0.5833333333333334,-1.0,-0.75,-0.5833333333333334,-0.0,-1.0,-0.5833333333333334,-0.0,-0.4166666666666667,-0.0,-0.0,0.5
[9. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-0.5,-0.5,-0.0
