,[1. 1. 1. 1. 1. 1. 1. 1. 1.],[2. 1. 1. 1. 1. 1. 1. 1. 0.],[2. 2. 1. 1. 1. 1. 1. 0. 0.],[2. 2. 2. 1. 1. 1. 0. 0. 0.],[2. 2. 2. 2. 1. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 0. 0.],[3. 2. 1. 1. 1. 1. 0. 0. 0.],[3. 2. 2. 1. 1. 0. 0. 0. 0.],[3. 2. 2. 2. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 0. 0. 0. 0.],[3. 3. 2. 1. 0. 0. 0. 0. 0.],[3. 3. 3. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 0. 0. 0.],[4. 2. 1. 1. 1. 0. 0. 0. 0.],[4. 2. 2. 1. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 0. 0. 0. 0. 0.],[4. 3. 2. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 0. 0. 0. 0.],[5. 2. 1. 1. 0. 0. 0. 0. 0.],[5. 2. 2. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 0. 0. 0. 0. 0. 0.],[5. 4. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 0. 0. 0. 0. 0.],[6. 2. 1. 0. 0. 0. 0. 0. 0.],[6. 3. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 0. 0. 0. 0. 0. 0.],[7. 2. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 0. 0. 0. 0. 0. 0. 0.],[9. 0. 0. 0. 0. 0. 0. 0. 0.]
[1. 1. 1. 1. 1. 1. 1. 1. 1.],-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 1. 1. 1. 1. 1. 1. 1. 0.],-0.0,-0.0,-0.0,-0.0,-0.0,0.6944444444444444,0.6527777777777778,0.6388888888888888,0.6527777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 1. 0. 0.],-0.0,-0.0,-0.0,-0.0,-0.0,0.4365079365079365,0.4126984126984127,0.41534391534391535,0.4444444444444444,0.7341269841269841,0.7685185185185185,1.0,0.8571428571428571,0.8412698412698413,0.8544973544973545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 0. 0. 0.],-0.0,-0.0,-0.0,-0.0,-0.0,0.2261904761904762,0.22738095238095238,0.24047619047619048,0.27976190476190477,0.42142857142857143,0.47619047619047616,0.7619047619047619,0.6428571428571429,0.6476190476190476,0.6904761904761905,0.7976190476190477,0.8809523809523809,1.0,0.9047619047619048,0.9166666666666666,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 1. 0. 0. 0. 0.],-0.0,-0.0,-0.0,-0.0,-0.0,0.06349206349206349,0.06984126984126984,0.07936507936507936,0.1111111111111111,0.13333333333333333,0.15873015873015872,0.2857142857142857,0.4126984126984127,0.4396825396825397,0.5079365079365079,0.49206349206349204,0.6349206349206349,0.8174603174603174,0.7111111111111111,0.7619047619047619,0.8888888888888888,0.8174603174603174,1.0,0.9126984126984127,0.9682539682539683,1.0,1.0,1.0,1.0,1.0
[3. 1. 1. 1. 1. 1. 1. 0. 0.],-1.0,-0.6944444444444444,-0.4365079365079365,-0.2261904761904762,-0.06349206349206349,-0.0,0.17857142857142858,0.3055555555555556,0.40476190476190477,0.7619047619047619,0.8015873015873016,1.0,0.6388888888888888,0.6785714285714286,0.7420634920634921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 0. 0. 0.],-1.0,-0.6527777777777778,-0.4126984126984127,-0.22738095238095238,-0.06984126984126984,-0.17857142857142858,-0.0,0.1523809523809524,0.2857142857142857,0.4007936507936508,0.5357142857142857,0.8809523809523809,0.3253968253968254,0.44642857142857145,0.5555555555555556,0.7876984126984127,0.873015873015873,1.0,0.7936507936507936,0.8412698412698413,0.9047619047619048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 0. 0. 0. 0.],-1.0,-0.6388888888888888,-0.41534391534391535,-0.24047619047619048,-0.07936507936507936,-0.3055555555555556,-0.1523809523809524,-0.0,0.1626984126984127,0.07301587301587302,0.24206349206349206,0.5476190476190477,0.07142857142857142,0.21984126984126984,0.37566137566137564,0.44576719576719576,0.6428571428571429,0.7936507936507936,0.5079365079365079,0.6402116402116402,0.7857142857142857,0.8373015873015873,1.0,0.8412698412698413,0.9246031746031746,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 0. 0. 0. 0. 0.],-1.0,-0.6527777777777778,-0.4444444444444444,-0.27976190476190477,-0.1111111111111111,-0.40476190476190477,-0.2857142857142857,-0.1626984126984127,-0.0,-0.20238095238095238,-0.08134920634920635,0.011904761904761904,-0.12698412698412698,0.001984126984126984,0.1626984126984127,0.08134920634920635,0.29365079365079366,0.3968253968253968,0.2222222222222222,0.38492063492063494,0.6388888888888888,0.4781746031746032,0.8333333333333334,0.5634920634920635,0.751984126984127,0.875,0.8412698412698413,1.0,1.0,1.0
[3. 3. 1. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.7341269841269841,-0.42142857142857143,-0.13333333333333333,-0.7619047619047619,-0.4007936507936508,-0.07301587301587302,0.20238095238095238,-0.0,0.31746031746031744,0.7619047619047619,-0.3253968253968254,-0.0,0.2698412698412698,0.4126984126984127,0.6547619047619048,0.7698412698412699,0.23809523809523808,0.5,0.6904761904761905,0.8690476190476191,1.0,0.7420634920634921,0.8690476190476191,1.0,1.0,1.0,1.0,1.0
