,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 1. 1. 1. 1. 1. 1. 1. 1. 0.],0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.7222222222222222,0.6777777777777778,0.6555555555555556,0.6555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 1. 1. 0. 0.],0.0,0.0,0.0,-0.0,-0.0,-0.0,0.48333333333333334,0.4492063492063492,0.44047619047619047,0.4523809523809524,0.773015873015873,0.7849206349206349,0.8214285714285714,1.0,0.8833333333333333,0.861904761904762,0.8611111111111112,0.8809523809523809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,-0.0,-0.0,0.2833333333333333,0.27380952380952384,0.2773809523809524,0.2976190476190476,0.49523809523809526,0.5261904761904762,0.5952380952380952,0.7797619047619048,0.7011904761904761,0.6880952380952381,0.7047619047619048,0.7547619047619047,0.8392857142857143,0.8809523809523809,1.0,1.0,1.0,0.930952380952381,0.9285714285714286,0.9452380952380952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 1. 1. 0. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,-0.0,0.12222222222222222,0.12698412698412698,0.1349206349206349,0.15555555555555556,0.23492063492063492,0.26031746031746034,0.3333333333333333,0.40476190476190477,0.49523809523809526,0.5047619047619047,0.5412698412698412,0.6333333333333333,0.5857142857142857,0.6619047619047619,0.8333333333333334,0.8603174603174604,0.9444444444444444,0.780952380952381,0.8,0.8571428571428571,0.8603174603174604,0.9444444444444444,1.0,1.0,0.9444444444444444,0.9634920634920635,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 0. 0. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2976190476190476,0.31746031746031744,0.3611111111111111,0.5,0.30158730158730157,0.3611111111111111,0.4166666666666667,0.6031746031746031,0.7777777777777778,0.5753968253968254,0.6190476190476191,0.7222222222222222,0.6031746031746031,0.7777777777777778,0.8611111111111112,1.0,0.7976190476190477,0.8611111111111112,1.0,0.8611111111111112,1.0,0.9404761904761905,1.0,1.0,1.0,1.0,1.0,1.0
[3. 1. 1. 1. 1. 1. 1. 1. 0. 0.],-1.0,-0.7222222222222222,-0.48333333333333334,-0.2833333333333333,-0.12222222222222222,0.0,0.0,0.1638888888888889,0.2833333333333333,0.375,0.7666666666666667,0.7916666666666666,0.8333333333333334,1.0,0.6666666666666666,0.6888888888888889,0.7333333333333333,0.7916666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 1. 0. 0. 0.],-1.0,-0.6777777777777778,-0.4492063492063492,-0.27380952380952384,-0.12698412698412698,0.0,-0.1638888888888889,0.0,0.1361111111111111,0.25496031746031744,0.42857142857142855,0.5337301587301587,0.6349206349206349,0.8690476190476191,0.375,0.46746031746031746,0.5535714285714286,0.6428571428571429,0.8053571428571429,0.8621031746031746,1.0,1.0,1.0,0.8277777777777777,0.8511904761904762,0.8928571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 1. 0. 0. 0. 0.],-1.0,-0.6555555555555556,-0.44047619047619047,-0.2773809523809524,-0.1349206349206349,0.0,-0.2833333333333333,-0.1361111111111111,0.0,0.1353174603174603,0.13015873015873017,0.26825396825396824,0.42142857142857143,0.5571428571428572,0.13333333333333333,0.26031746031746034,0.38333333333333336,0.5119047619047619,0.5071428571428571,0.640079365079365,0.8888888888888888,0.819047619047619,0.9166666666666666,0.5785714285714286,0.6686507936507936,0.763095238095238,0.8535714285714285,0.9333333333333333,1.0,1.0,0.8809523809523809,0.9226190476190477,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 1. 0. 0. 0. 0. 0.],-1.0,-0.6555555555555556,-0.4523809523809524,-0.2976190476190476,-0.15555555555555556,0.0,-0.375,-0.25496031746031744,-0.1353174603174603,0.0,-0.12063492063492064,-0.0,0.16666666666666666,0.14166666666666666,-0.05952380952380952,0.06349206349206349,0.2003968253968254,0.375,0.19067460317460316,0.3501984126984127,0.5611111111111111,0.5063492063492063,0.7222222222222222,0.31746031746031744,0.44841269841269843,0.6075396825396825,0.5682539682539682,0.7736111111111111,0.8444444444444444,1.0,0.6547619047619048,0.7757936507936508,0.9194444444444444,0.8763888888888889,1.0,0.8928571428571429,0.9722222222222222,1.0,1.0,1.0,1.0,1.0
