,[2. 2. 1. 1. 1. 1. 1. 1.],[2. 2. 2. 1. 1. 1. 1. 0.],[2. 2. 2. 2. 1. 1. 0. 0.],[2. 2. 2. 2. 2. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1.],[3. 2. 1. 1. 1. 1. 1. 0.],[3. 2. 2. 1. 1. 1. 0. 0.],[3. 2. 2. 2. 1. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 0. 0.],[3. 3. 2. 1. 1. 0. 0. 0.],[3. 3. 2. 2. 0. 0. 0. 0.],[3. 3. 3. 1. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 0.],[4. 2. 1. 1. 1. 1. 0. 0.],[4. 2. 2. 1. 1. 0. 0. 0.],[4. 2. 2. 2. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 0. 0. 0.],[4. 3. 2. 1. 0. 0. 0. 0.],[4. 3. 3. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 0. 0. 0. 0.],[4. 4. 2. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 0. 0.],[5. 2. 1. 1. 1. 0. 0. 0.],[5. 2. 2. 1. 0. 0. 0. 0.],[5. 3. 1. 1. 0. 0. 0. 0.],[5. 3. 2. 0. 0. 0. 0. 0.],[5. 4. 1. 0. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 0. 0. 0.],[6. 2. 1. 1. 0. 0. 0. 0.],[6. 2. 2. 0. 0. 0. 0. 0.],[6. 3. 1. 0. 0. 0. 0. 0.],[6. 4. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 0. 0. 0. 0.],[7. 2. 1. 0. 0. 0. 0. 0.],[7. 3. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 0. 0. 0. 0. 0.],[8. 2. 0. 0. 0. 0. 0. 0.],[9. 1. 0. 0. 0. 0. 0. 0.],[10.  0.  0.  0.  0.  0.  0.  0.]
[2. 2. 1. 1. 1. 1. 1. 1.],0.0,-0.25,-0.4642857142857143,-0.6428571428571429,0.75,0.5,0.25,-0.0,0.7857142857142857,0.6428571428571429,0.4642857142857143,1.0,0.9642857142857143,0.8928571428571429,0.7857142857142857,0.6428571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 1. 0.],0.25,0.0,-0.21428571428571427,-0.42857142857142855,0.625,0.39285714285714285,0.19642857142857142,-0.0,0.5214285714285715,0.37142857142857144,0.21428571428571427,0.5892857142857143,0.8928571428571429,0.7607142857142857,0.6321428571428571,0.5071428571428571,0.85,0.7857142857142857,1.0,1.0,1.0,0.9821428571428571,0.9464285714285714,0.9071428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 1. 1. 0. 0.],0.4642857142857143,0.21428571428571427,0.0,-0.25,0.5,0.3333333333333333,0.1761904761904762,-0.0,0.3,0.16904761904761906,-0.0,0.17857142857142858,0.7857142857142857,0.6428571428571429,0.530952380952381,0.42857142857142855,0.6071428571428571,0.5404761904761904,0.6428571428571429,0.8547619047619047,0.8809523809523809,0.9285714285714286,0.8571428571428571,0.8166666666666667,0.8547619047619047,0.8809523809523809,1.0,1.0,0.9857142857142858,0.969047619047619,0.9761904761904762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 0. 0. 0.],0.6428571428571429,0.42857142857142855,0.25,0.0,0.375,0.2857142857142857,0.16071428571428573,-0.0,0.14285714285714285,-0.0,-0.25,-0.16071428571428573,0.6428571428571429,0.5357142857142857,0.44642857142857145,0.375,0.375,0.2857142857142857,0.10714285714285714,0.6071428571428571,0.6428571428571429,0.8214285714285714,0.75,0.7321428571428571,0.6071428571428571,0.6428571428571429,0.8214285714285714,1.0,0.9285714285714286,0.9107142857142857,1.0,0.8214285714285714,1.0,0.9821428571428571,1.0,1.0,1.0,1.0,1.0,1.0
[3. 1. 1. 1. 1. 1. 1. 1.],-0.75,-0.625,-0.5,-0.375,0.0,-0.0,-0.0,-0.0,0.75,0.625,0.5,1.0,0.75,0.625,0.5,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 1. 0.],-0.5,-0.39285714285714285,-0.3333333333333333,-0.2857142857142857,0.0,0.0,-0.0,-0.0,0.40476190476190477,0.36904761904761907,0.3333333333333333,0.75,0.5357142857142857,0.4523809523809524,0.40476190476190477,0.35714285714285715,0.7767857142857143,0.7351190476190477,1.0,1.0,1.0,0.8988095238095238,0.8392857142857143,0.7976190476190477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 1. 0. 0.],-0.25,-0.19642857142857142,-0.1761904761904762,-0.16071428571428573,0.0,0.0,0.0,-0.0,0.16904761904761906,0.17202380952380952,0.1761904761904762,0.37142857142857144,0.35714285714285715,0.3345238095238095,0.32261904761904764,0.3107142857142857,0.49107142857142855,0.5035714285714286,0.7619047619047619,0.7785714285714286,0.8214285714285714,0.7321428571428571,0.6910714285714286,0.6821428571428572,0.8238095238095238,0.8571428571428571,1.0,1.0,0.9357142857142857,0.9142857142857143,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.21428571428571427,0.23214285714285715,0.24642857142857144,0.26785714285714285,0.2357142857142857,0.2625,0.32142857142857145,0.4785714285714286,0.5714285714285714,0.5357142857142857,0.5473214285714286,0.5857142857142857,0.5535714285714286,0.6517857142857143,0.7857142857142857,1.0,0.7857142857142857,0.8035714285714286,0.875,0.8303571428571429,1.0,0.9392857142857143,0.9642857142857143,1.0,1.0,1.0,1.0,1.0
[3. 3. 1. 1. 1. 1. 0. 0.],-0.7857142857142857,-0.5214285714285715,-0.3,-0.14285714285714285,-0.75,-0.40476190476190477,-0.16904761904761906,0.0,0.0,0.1761904761904762,0.3,0.5857142857142857,-0.21428571428571427,-0.0,0.15,0.2714285714285714,0.37142857142857144,0.4714285714285714,0.8571428571428571,0.6880952380952381,0.7619047619047619,0.38095238095238093,0.4785714285714286,0.5523809523809524,0.819047619047619,0.8571428571428571,1.0,1.0,0.8214285714285714,0.819047619047619,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 1. 1. 0. 0. 0.],-0.6428571428571429,-0.37142857142857144,-0.16904761904761906,0.0,-0.625,-0.36904761904761907,-0.17202380952380952,0.0,-0.1761904761904762,0.0,0.16904761904761906,0.19642857142857142,-0.26785714285714285,-0.08571428571428572,0.07738095238095238,0.225,0.08214285714285714,0.25,0.5178571428571429,0.32857142857142857,0.5,0.16071428571428573,0.32142857142857145,0.45714285714285713,0.5095238095238095,0.6607142857142857,0.75,1.0,0.5678571428571428,0.6761904761904762,0.7678571428571429,0.8571428571428571,1.0,0.8642857142857143,0.9107142857142857,1.0,1.0,1.0,1.0,1.0
