,[2. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[2. 2. 1. 1. 1. 1. 1. 1. 1. 0.],[2. 2. 2. 1. 1. 1. 1. 1. 0. 0.],[2. 2. 2. 2. 1. 1. 1. 0. 0. 0.],[2. 2. 2. 2. 2. 1. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 1. 0.],[3. 2. 1. 1. 1. 1. 1. 1. 0. 0.],[3. 2. 2. 1. 1. 1. 1. 0. 0. 0.],[3. 2. 2. 2. 1. 1. 0. 0. 0. 0.],[3. 2. 2. 2. 2. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 0. 0. 0.],[3. 3. 2. 1. 1. 1. 0. 0. 0. 0.],[3. 3. 2. 2. 1. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 0. 0. 0. 0. 0.],[3. 3. 3. 2. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[4. 2. 1. 1. 1. 1. 1. 0. 0. 0.],[4. 2. 2. 1. 1. 1. 0. 0. 0. 0.],[4. 2. 2. 2. 1. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 0. 0. 0. 0.],[4. 3. 2. 1. 1. 0. 0. 0. 0. 0.],[4. 3. 2. 2. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 4. 2. 1. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[5. 2. 1. 1. 1. 1. 0. 0. 0. 0.],[5. 2. 2. 1. 1. 0. 0. 0. 0. 0.],[5. 2. 2. 2. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 0. 0. 0. 0. 0.],[5. 3. 2. 1. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 4. 2. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[6. 2. 1. 1. 1. 0. 0. 0. 0. 0.],[6. 2. 2. 1. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 0. 0. 0. 0. 0. 0.],[6. 3. 2. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[7. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[7. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[8. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[9. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[2. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,-0.1,-0.2,-0.3,-0.4,0.8,0.7,0.6,0.5,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 1. 1. 1. 0.],0.1,0.0,-0.08611111111111111,-0.16666666666666666,-0.25,0.6222222222222222,0.5,0.4027777777777778,0.32222222222222224,0.25,0.8111111111111111,0.7638888888888888,0.7333333333333333,1.0,1.0,0.9361111111111111,0.8916666666666667,0.85,0.8194444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 1. 1. 0. 0.],0.2,0.08611111111111111,0.0,-0.07738095238095238,-0.15873015873015872,0.4666666666666667,0.3630952380952381,0.2857142857142857,0.22023809523809523,0.15873015873015872,0.5726190476190476,0.5261904761904762,0.5,0.7595238095238095,0.7916666666666666,0.825,0.7535714285714286,0.7047619047619048,0.6785714285714286,0.8793650793650793,0.8670634920634921,0.8809523809523809,1.0,1.0,1.0,1.0,0.969047619047619,0.9484126984126984,0.9365079365079365,0.9404761904761905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 1. 1. 1. 0. 0. 0.],0.3,0.16666666666666666,0.07738095238095238,0.0,-0.08333333333333333,0.3333333333333333,0.2619047619047619,0.2,0.14285714285714285,0.08333333333333333,0.3523809523809524,0.3130952380952381,0.2857142857142857,0.4392857142857143,0.47619047619047616,0.6833333333333333,0.6166666666666667,0.5773809523809523,0.5642857142857143,0.6752380952380952,0.6726190476190477,0.7142857142857143,0.8035714285714286,0.9,0.9226190476190477,1.0,0.8904761904761904,0.8561904761904762,0.8488095238095238,0.8761904761904762,0.9,0.9226190476190477,1.0,1.0,1.0,1.0,0.9785714285714285,0.9714285714285714,0.9773809523809524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 1. 0. 0. 0. 0.],0.4,0.25,0.15873015873015872,0.08333333333333333,0.0,0.2222222222222222,0.17857142857142858,0.12698412698412698,0.07222222222222222,-0.0,0.16666666666666666,0.12063492063492064,0.07222222222222222,0.12063492063492064,0.08333333333333333,0.5277777777777778,0.48412698412698413,0.4579365079365079,0.46111111111111114,0.4507936507936508,0.44603174603174606,0.5,0.4642857142857143,0.7047619047619048,0.753968253968254,0.8333333333333334,0.7619047619047619,0.7365079365079366,0.7476190476190476,0.8333333333333334,0.7047619047619048,0.753968253968254,0.8333333333333334,0.8968253968253969,0.9722222222222222,1.0,0.9087301587301587,0.9071428571428571,0.9444444444444444,0.8968253968253969,0.9722222222222222,1.0,1.0,0.9793650793650793,0.9880952380952381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 1. 1. 1. 1. 1. 1. 1. 1. 0.],-0.8,-0.6222222222222222,-0.4666666666666667,-0.3333333333333333,-0.2222222222222222,0.0,0.08888888888888889,0.15555555555555556,0.2,0.2222222222222222,0.7666666666666667,0.7333333333333333,0.7222222222222222,1.0,1.0,0.7222222222222222,0.6777777777777778,0.6555555555555556,0.6555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 1. 1. 0. 0.],-0.7,-0.5,-0.3630952380952381,-0.2619047619047619,-0.17857142857142858,-0.08888888888888889,0.0,0.07023809523809524,0.13015873015873017,0.17857142857142858,0.4492063492063492,0.48095238095238096,0.5158730158730159,0.8313492063492064,0.8571428571428571,0.48333333333333334,0.4853174603174603,0.5047619047619047,0.5297619047619048,0.8174603174603174,0.823015873015873,0.8511904761904762,1.0,1.0,1.0,1.0,0.8833333333333333,0.861904761904762,0.8611111111111112,0.8809523809523809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 1. 1. 0. 0. 0.],-0.6,-0.4027777777777778,-0.2857142857142857,-0.2,-0.12698412698412698,-0.15555555555555556,-0.07023809523809524,0.0,0.06507936507936508,0.12698412698412698,0.1988095238095238,0.2611111111111111,0.32896825396825397,0.5261904761904762,0.6190476190476191,0.2833333333333333,0.3281746031746032,0.375,0.4261904761904762,0.5595238095238095,0.6123015873015873,0.6801587301587302,0.8472222222222222,0.8392857142857143,0.8809523809523809,1.0,0.7011904761904761,0.7087301587301588,0.7365079365079366,0.7833333333333333,0.8690476190476191,0.9023809523809524,1.0,1.0,1.0,1.0,0.930952380952381,0.9285714285714286,0.9452380952380952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 1. 1. 0. 0. 0. 0.],-0.5,-0.32222222222222224,-0.22023809523809523,-0.14285714285714285,-0.07222222222222222,-0.2,-0.13015873015873017,-0.06507936507936508,0.0,0.07222222222222222,-0.0,0.0623015873015873,0.1380952380952381,0.19166666666666668,0.30952380952380953,0.12222222222222222,0.1873015873015873,0.2523809523809524,0.3281746031746032,0.30238095238095236,0.37936507936507935,0.48928571428571427,0.5333333333333333,0.5857142857142857,0.6825396825396826,0.8611111111111112,0.49523809523809526,0.5452380952380952,0.6103174603174604,0.7011904761904761,0.6392857142857142,0.7313492063492063,0.8888888888888888,0.8603174603174604,0.9444444444444444,1.0,0.780952380952381,0.8158730158730159,0.8722222222222222,0.8861111111111111,0.9555555555555556,1.0,1.0,0.9444444444444444,0.9634920634920635,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 0. 0. 0. 0. 0.],-0.4,-0.25,-0.15873015873015872,-0.08333333333333333,0.0,-0.2222222222222222,-0.17857142857142858,-0.12698412698412698,-0.07222222222222222,0.0,-0.16666666666666666,-0.12063492063492064,-0.07222222222222222,-0.12063492063492064,-0.08333333333333333,-0.0,0.05952380952380952,0.12698412698412698,0.21666666666666667,0.06349206349206349,0.13253968253968254,0.24444444444444444,0.14444444444444443,0.30158730158730157,0.4095238095238095,0.4888888888888889,0.2976190476190476,0.36904761904761907,0.4642857142857143,0.6333333333333333,0.36507936507936506,0.48174603174603176,0.5611111111111111,0.6031746031746031,0.7944444444444444,0.8611111111111112,0.5753968253968254,0.6547619047619048,0.7777777777777778,0.6547619047619048,0.8388888888888889,0.8611111111111112,1.0,0.7976190476190477,0.876984126984127,1.0,0.8888888888888888,1.0,0.9404761904761905,1.0,1.0,1.0,1.0,1.0,1.0
