,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.7454545454545455,0.7,0.6727272727272727,0.6636363636363637,0.6727272727272727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0.],0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5232323232323233,0.4818181818181818,0.46464646464646464,0.46565656565656566,0.48484848484848486,0.805050505050505,0.804040404040404,0.8227272727272728,1.0,1.0,0.9030303030303031,0.8797979797979798,0.8712121212121212,0.8787878787878788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,-0.0,-0.0,0.3333333333333333,0.31385281385281383,0.30952380952380953,0.31872294372294374,0.3463203463203463,0.5562770562770563,0.5707792207792208,0.6093073593073594,0.8067099567099567,0.8674242424242424,0.746969696969697,0.7229437229437229,0.724025974025974,0.7489177489177489,0.8722943722943723,0.8906926406926406,0.9242424242424242,1.0,1.0,1.0,1.0,0.9484848484848485,0.9404761904761905,0.9458874458874459,0.9621212121212122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,-0.0,0.17575757575757575,0.1748917748917749,0.17835497835497835,0.19134199134199134,0.22424242424242424,0.3168831168831169,0.3359307359307359,0.3800865800865801,0.49956709956709955,0.6060606060606061,0.5636363636363636,0.5575757575757576,0.574025974025974,0.6207792207792208,0.658008658008658,0.7021645021645022,0.7878787878787878,0.8484848484848485,0.8961038961038961,0.9393939393939394,1.0,0.8311688311688312,0.8311688311688312,0.8571428571428571,0.9090909090909091,0.8961038961038961,0.9393939393939394,1.0,1.0,1.0,1.0,0.9632034632034632,0.9675324675324676,0.9818181818181818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.050505050505050504,0.05411255411255411,0.05772005772005772,0.06565656565656566,0.09090909090909091,0.10101010101010101,0.10966810966810966,0.13131313131313133,0.1645021645021645,0.22727272727272727,0.3787878787878788,0.38961038961038963,0.41774891774891776,0.48484848484848486,0.4126984126984127,0.4603174603174603,0.5858585858585859,0.5303030303030303,0.6926406926406926,0.7828282828282829,0.8787878787878788,0.6601731601731602,0.6814574314574314,0.7373737373737373,0.8636363636363636,0.6926406926406926,0.7828282828282829,0.8787878787878788,0.898989898989899,0.9797979797979798,1.0,0.8585858585858586,0.8874458874458875,0.9494949494949495,0.898989898989899,0.9797979797979798,1.0,1.0,0.9653679653679653,0.9873737373737373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],-1.0,-0.7454545454545455,-0.5232323232323233,-0.3333333333333333,-0.17575757575757575,-0.050505050505050504,0.0,0.15151515151515152,0.26464646464646463,0.3515151515151515,0.42424242424242425,0.7737373737373737,0.7878787878787878,0.8181818181818182,1.0,1.0,0.6909090909090909,0.701010101010101,0.7313131313131314,0.7757575757575758,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0.],-1.0,-0.7,-0.4818181818181818,-0.31385281385281383,-0.1748917748917749,-0.05411255411255411,-0.15151515151515152,0.0,0.12380952380952381,0.23160173160173161,0.3268398268398268,0.45454545454545453,0.5382034632034632,0.6179653679653679,0.8668831168831169,0.9090909090909091,0.41818181818181815,0.48787878787878786,0.5571428571428572,0.6271645021645021,0.8242424242424242,0.8608225108225108,0.9053030303030303,1.0,1.0,1.0,1.0,0.8545454545454545,0.8636363636363636,0.8896103896103896,0.9242424242424242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0.],-1.0,-0.6727272727272727,-0.46464646464646464,-0.30952380952380953,-0.17835497835497835,-0.05772005772005772,-0.26464646464646463,-0.12380952380952381,0.0,0.1176046176046176,0.2329004329004329,0.1774891774891775,0.29292929292929293,0.4126984126984127,0.5822510822510822,0.7121212121212122,0.18787878787878787,0.2946608946608947,0.39466089466089466,0.49523809523809526,0.5581529581529582,0.6541125541125541,0.7575757575757576,0.8838383838383839,0.8467532467532467,0.9090909090909091,1.0,0.6363636363636364,0.6955266955266955,0.7610389610389611,0.8363636363636363,0.874025974025974,0.9252525252525252,1.0,1.0,1.0,1.0,0.9090909090909091,0.9285714285714286,0.9575757575757575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0.],-1.0,-0.6636363636363637,-0.46565656565656566,-0.31872294372294374,-0.19134199134199134,-0.06565656565656566,-0.3515151515151515,-0.23160173160173161,-0.1176046176046176,0.0,0.13333333333333333,-0.05483405483405483,0.05678210678210678,0.18917748917748917,0.2329004329004329,0.41515151515151516,-0.0,0.113997113997114,0.2305916305916306,0.3608225108225108,0.27604617604617604,0.4028138528138528,0.5666666666666667,0.5959595959595959,0.5861471861471862,0.7227272727272728,0.898989898989899,0.39826839826839827,0.5007215007215007,0.6133477633477633,0.746969696969697,0.6360389610389611,0.7646464646464647,0.9191919191919192,0.8707070707070707,0.9595959595959596,1.0,0.7251082251082251,0.8014069264069265,0.8863636363636364,0.8941919191919192,0.9676767676767677,1.0,1.0,0.9264069264069265,0.9646464646464646,0.9919191919191919,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
