,[2. 2. 2. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 1. 1. 1. 0.],[2. 2. 2. 2. 2. 1. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 1.],[3. 2. 2. 1. 1. 1. 1. 0.],[3. 2. 2. 2. 1. 1. 0. 0.],[3. 2. 2. 2. 2. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 0.],[3. 3. 2. 1. 1. 1. 0. 0.],[3. 3. 2. 2. 1. 0. 0. 0.],[3. 3. 3. 1. 1. 0. 0. 0.],[3. 3. 3. 2. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1.],[4. 2. 1. 1. 1. 1. 1. 0.],[4. 2. 2. 1. 1. 1. 0. 0.],[4. 2. 2. 2. 1. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 0. 0.],[4. 3. 2. 1. 1. 0. 0. 0.],[4. 3. 2. 2. 0. 0. 0. 0.],[4. 3. 3. 1. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 0. 0. 0.],[4. 4. 2. 1. 0. 0. 0. 0.],[4. 4. 3. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 0.],[5. 2. 1. 1. 1. 1. 0. 0.],[5. 2. 2. 1. 1. 0. 0. 0.],[5. 2. 2. 2. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 0. 0. 0.],[5. 3. 2. 1. 0. 0. 0. 0.],[5. 3. 3. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 0. 0. 0. 0.],[5. 4. 2. 0. 0. 0. 0. 0.],[5. 5. 1. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 0. 0.],[6. 2. 1. 1. 1. 0. 0. 0.],[6. 2. 2. 1. 0. 0. 0. 0.],[6. 3. 1. 1. 0. 0. 0. 0.],[6. 3. 2. 0. 0. 0. 0. 0.],[6. 4. 1. 0. 0. 0. 0. 0.],[6. 5. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 0. 0. 0.],[7. 2. 1. 1. 0. 0. 0. 0.],[7. 2. 2. 0. 0. 0. 0. 0.],[7. 3. 1. 0. 0. 0. 0. 0.],[7. 4. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 0. 0. 0. 0.],[8. 2. 1. 0. 0. 0. 0. 0.],[8. 3. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 0. 0. 0. 0. 0.],[9. 2. 0. 0. 0. 0. 0. 0.],[10.  1.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.]
[2. 2. 2. 1. 1. 1. 1. 1.],0.0,-0.375,-0.6428571428571429,0.625,0.25,-0.10714285714285714,-0.42857142857142855,0.6964285714285714,0.42857142857142855,0.10714285714285714,0.6428571428571429,0.375,1.0,0.8928571428571429,0.6964285714285714,0.42857142857142855,0.9285714285714286,0.8214285714285714,0.6428571428571429,1.0,1.0,1.0,1.0,1.0,0.9821428571428571,0.9285714285714286,0.8214285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 1. 1. 1. 0.],0.375,0.0,-0.3392857142857143,0.5714285714285714,0.2857142857142857,-0.0,-0.32142857142857145,0.5,0.2642857142857143,-0.0,0.26785714285714285,-0.0,1.0,0.8214285714285714,0.6214285714285714,0.4,0.7714285714285715,0.6107142857142858,0.42857142857142855,0.6607142857142857,0.9357142857142857,0.875,1.0,1.0,0.9428571428571428,0.85,0.7428571428571429,0.9357142857142857,0.875,1.0,1.0,1.0,1.0,1.0,0.9892857142857143,0.9678571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 1. 0. 0.],0.6428571428571429,0.3392857142857143,0.0,0.5535714285714286,0.3333333333333333,0.09523809523809523,-0.25,0.34523809523809523,0.15476190476190477,-0.09523809523809523,-0.0,-0.3392857142857143,1.0,0.7619047619047619,0.5892857142857143,0.4107142857142857,0.5714285714285714,0.4226190476190476,0.2261904761904762,0.2857142857142857,0.7678571428571429,0.6904761904761905,0.6428571428571429,1.0,0.8928571428571429,0.7976190476190477,0.7321428571428571,0.7678571428571429,0.6904761904761905,0.6428571428571429,0.9166666666666666,0.9404761904761905,1.0,1.0,0.9642857142857143,0.9404761904761905,0.9166666666666666,0.9404761904761905,1.0,1.0,1.0,0.9940476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 1. 1.],-0.625,-0.5714285714285714,-0.5535714285714286,0.0,-0.10714285714285714,-0.17857142857142858,-0.21428571428571427,0.5,0.32142857142857145,0.17857142857142858,0.7321428571428571,0.5714285714285714,0.75,0.5357142857142857,0.35714285714285715,0.21428571428571427,0.8392857142857143,0.7142857142857143,0.5535714285714286,1.0,1.0,1.0,1.0,0.9642857142857143,0.8928571428571429,0.7857142857142857,0.6428571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 1. 1. 0.],-0.25,-0.2857142857142857,-0.3333333333333333,0.10714285714285714,0.0,-0.0869047619047619,-0.15714285714285714,0.2857142857142857,0.18095238095238095,0.0869047619047619,0.37142857142857144,0.2857142857142857,0.625,0.4523809523809524,0.3345238095238095,0.23214285714285715,0.6011904761904762,0.5035714285714286,0.40714285714285714,0.7202380952380952,0.85,0.7857142857142857,1.0,0.8928571428571429,0.7773809523809524,0.6821428571428572,0.5928571428571429,0.8821428571428571,0.8261904761904761,1.0,1.0,1.0,1.0,0.9821428571428571,0.9464285714285714,0.9071428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 1. 1. 0. 0.],0.10714285714285714,0.0,-0.09523809523809523,0.17857142857142858,0.0869047619047619,0.0,-0.08928571428571429,0.15476190476190477,0.08035714285714286,-0.0,0.08214285714285714,-0.0,0.5,0.40476190476190477,0.32261904761904764,0.24642857142857144,0.38571428571428573,0.3267857142857143,0.2642857142857143,0.3595238095238095,0.6071428571428571,0.5785714285714286,0.7023809523809523,0.7857142857142857,0.6821428571428572,0.6190476190476191,0.5678571428571428,0.6696428571428571,0.6476190476190476,0.7619047619047619,0.8547619047619047,0.8809523809523809,1.0,0.9285714285714286,0.8696428571428572,0.8428571428571429,0.8833333333333333,0.9047619047619048,1.0,1.0,0.9857142857142858,0.969047619047619,0.9761904761904762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 0. 0. 0.],0.42857142857142855,0.32142857142857145,0.25,0.21428571428571427,0.15714285714285714,0.08928571428571429,0.0,0.07142857142857142,-0.0,-0.08928571428571429,-0.15,-0.32142857142857145,0.375,0.35714285714285715,0.3107142857142857,0.26785714285714285,0.22142857142857142,0.16428571428571428,0.08928571428571429,0.017857142857142856,0.375,0.35,0.21428571428571427,0.6428571428571429,0.5928571428571429,0.5678571428571428,0.5892857142857143,0.45,0.4392857142857143,0.32142857142857145,0.6071428571428571,0.6785714285714286,0.8214285714285714,0.8214285714285714,0.7857142857142857,0.8035714285714286,0.6678571428571428,0.75,0.8214285714285714,1.0,0.9285714285714286,0.925,1.0,0.8571428571428571,1.0,0.9821428571428571,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 1. 1. 1. 1. 1. 0.],-0.6964285714285714,-0.5,-0.34523809523809523,-0.5,-0.2857142857142857,-0.15476190476190477,-0.07142857142857142,0.0,0.09523809523809523,0.15476190476190477,0.5178571428571429,0.5,-0.125,-0.0,0.07738095238095238,0.14285714285714285,0.40476190476190477,0.40476190476190477,0.40476190476190477,0.7976190476190477,0.7142857142857143,0.6726190476190477,1.0,0.5357142857142857,0.5,0.5059523809523809,0.5,0.8392857142857143,0.7976190476190477,1.0,1.0,1.0,1.0,0.8988095238095238,0.8392857142857143,0.7976190476190477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 1. 1. 1. 0. 0.],-0.42857142857142855,-0.2642857142857143,-0.15476190476190477,-0.32142857142857145,-0.18095238095238095,-0.08035714285714286,0.0,-0.09523809523809523,0.0,0.08035714285714286,0.18571428571428572,0.2642857142857143,-0.125,-0.005952380952380952,0.07738095238095238,0.14464285714285716,0.16904761904761906,0.24047619047619048,0.2976190476190476,0.4583333333333333,0.40535714285714286,0.46190476190476193,0.7619047619047619,0.35714285714285715,0.40476190476190477,0.44285714285714284,0.48214285714285715,0.5767857142857142,0.6154761904761905,0.8571428571428571,0.7785714285714286,0.8214285714285714,1.0,0.7321428571428571,0.7196428571428571,0.7321428571428571,0.8690476190476191,0.8928571428571429,1.0,1.0,0.9357142857142857,0.9142857142857143,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 1. 0. 0. 0.],-0.10714285714285714,0.0,0.09523809523809523,-0.17857142857142858,-0.0869047619047619,0.0,0.08928571428571429,-0.15476190476190477,-0.08035714285714286,0.0,-0.08214285714285714,-0.0,-0.125,-0.017857142857142856,0.07142857142857142,0.15714285714285714,-0.0,0.07976190476190476,0.16904761904761906,0.09523809523809523,0.15,0.2392857142857143,0.32142857142857145,0.21428571428571427,0.30714285714285716,0.3898809523809524,0.4785714285714286,0.32142857142857145,0.42023809523809524,0.5178571428571429,0.4785714285714286,0.6071428571428571,0.7857142857142857,0.5357142857142857,0.6017857142857143,0.6761904761904762,0.6285714285714286,0.75,0.7857142857142857,1.0,0.7857142857142857,0.8285714285714286,0.8928571428571429,0.875,1.0,0.9392857142857143,0.9642857142857143,1.0,1.0,1.0,1.0,1.0
