,[2. 2. 1. 1. 1. 1. 1. 1. 1.],[2. 2. 2. 1. 1. 1. 1. 1. 0.],[2. 2. 2. 2. 1. 1. 1. 0. 0.],[2. 2. 2. 2. 2. 1. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 1.],[3. 2. 1. 1. 1. 1. 1. 1. 0.],[3. 2. 2. 1. 1. 1. 1. 0. 0.],[3. 2. 2. 2. 1. 1. 0. 0. 0.],[3. 2. 2. 2. 2. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 0. 0.],[3. 3. 2. 1. 1. 1. 0. 0. 0.],[3. 3. 2. 2. 1. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 0. 0. 0. 0.],[3. 3. 3. 2. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 0.],[4. 2. 1. 1. 1. 1. 1. 0. 0.],[4. 2. 2. 1. 1. 1. 0. 0. 0.],[4. 2. 2. 2. 1. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 0. 0. 0.],[4. 3. 2. 1. 1. 0. 0. 0. 0.],[4. 3. 2. 2. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 0. 0. 0. 0.],[4. 4. 2. 1. 0. 0. 0. 0. 0.],[4. 4. 3. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 0. 0.],[5. 2. 1. 1. 1. 1. 0. 0. 0.],[5. 2. 2. 1. 1. 0. 0. 0. 0.],[5. 2. 2. 2. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 0. 0. 0. 0.],[5. 3. 2. 1. 0. 0. 0. 0. 0.],[5. 3. 3. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 0. 0. 0. 0. 0.],[5. 4. 2. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 0. 0. 0.],[6. 2. 1. 1. 1. 0. 0. 0. 0.],[6. 2. 2. 1. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 0. 0. 0. 0. 0.],[6. 3. 2. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 0. 0. 0. 0. 0. 0.],[6. 5. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 0. 0. 0. 0.],[7. 2. 1. 1. 0. 0. 0. 0. 0.],[7. 2. 2. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 0. 0. 0. 0. 0. 0.],[7. 4. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 0. 0. 0. 0. 0.],[8. 2. 1. 0. 0. 0. 0. 0. 0.],[8. 3. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 0. 0. 0. 0. 0. 0.],[9. 2. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.]
[2. 2. 1. 1. 1. 1. 1. 1. 1.],0.0,-0.2222222222222222,-0.4166666666666667,-0.5833333333333334,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.1111111111111111,-0.1111111111111111,0.8333333333333334,0.7222222222222222,0.5833333333333334,1.0,1.0,0.9722222222222222,0.9166666666666666,0.8333333333333334,0.7222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 1. 1. 0.],0.2222222222222222,0.0,-0.1865079365079365,-0.36507936507936506,0.6666666666666666,0.44642857142857145,0.2619047619047619,0.08928571428571429,-0.09523809523809523,0.6111111111111112,0.47619047619047616,0.34523809523809523,0.7023809523809523,0.6527777777777778,0.9166666666666666,0.8055555555555556,0.6904761904761905,0.5793650793650794,0.8968253968253969,0.8412698412698413,0.8015873015873016,1.0,1.0,1.0,1.0,0.9880952380952381,0.9623015873015873,0.9285714285714286,0.9007936507936508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 1. 1. 1. 0. 0.],0.4166666666666667,0.1865079365079365,0.0,-0.19047619047619047,0.5555555555555556,0.38095238095238093,0.23174603174603176,0.08253968253968254,-0.09523809523809523,0.40476190476190477,0.28888888888888886,0.16507936507936508,0.36507936507936506,0.2857142857142857,0.8333333333333334,0.6984126984126984,0.5896825396825397,0.4936507936507937,0.707936507936508,0.6412698412698413,0.6031746031746031,0.7420634920634921,0.9119047619047619,0.9007936507936508,1.0,0.9523809523809523,0.8920634920634921,0.8444444444444444,0.8253968253968254,0.9119047619047619,0.9007936507936508,1.0,1.0,1.0,1.0,0.9920634920634921,0.9785714285714285,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 1. 0. 0. 0.],0.5833333333333334,0.36507936507936506,0.19047619047619047,0.0,0.4444444444444444,0.3353174603174603,0.21428571428571427,0.08134920634920635,-0.1111111111111111,0.24603174603174602,0.1349206349206349,-0.0,0.06746031746031746,-0.10119047619047619,0.7222222222222222,0.6031746031746031,0.5119047619047619,0.4365079365079365,0.5,0.43253968253968256,0.38492063492063494,0.38492063492063494,0.7261904761904762,0.7222222222222222,0.7619047619047619,0.8809523809523809,0.8055555555555556,0.7658730158730159,0.7916666666666666,0.7261904761904762,0.7222222222222222,0.7619047619047619,0.9007936507936508,0.9603174603174603,1.0,0.9603174603174603,0.9325396825396826,0.9404761904761905,0.9007936507936508,0.9603174603174603,1.0,1.0,0.9920634920634921,0.9900793650793651,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 1. 1. 1. 1. 1. 1. 1. 1.],-0.7777777777777778,-0.6666666666666666,-0.5555555555555556,-0.4444444444444444,0.0,-0.0,-0.0,-0.0,-0.0,0.7777777777777778,0.6666666666666666,0.5555555555555556,1.0,1.0,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 1. 1. 0.],-0.5555555555555556,-0.44642857142857145,-0.38095238095238093,-0.3353174603174603,0.0,0.0,-0.0,-0.0,-0.0,0.45634920634920634,0.4107142857142857,0.376984126984127,0.7857142857142857,0.7619047619047619,0.5833333333333334,0.49404761904761907,0.44047619047619047,0.39880952380952384,0.8194444444444444,0.7738095238095238,0.751984126984127,1.0,1.0,1.0,1.0,0.9206349206349206,0.8690476190476191,0.8253968253968254,0.8015873015873016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 1. 1. 0. 0.],-0.3333333333333333,-0.2619047619047619,-0.23174603174603176,-0.21428571428571427,0.0,0.0,0.0,-0.0,-0.0,0.23015873015873015,0.2246031746031746,0.22433862433862434,0.4579365079365079,0.48412698412698413,0.4166666666666667,0.37566137566137564,0.3547619047619048,0.3412698412698413,0.5698412698412698,0.5632275132275132,0.5687830687830688,0.794973544973545,0.8380952380952381,0.8412698412698413,1.0,0.7857142857142857,0.7325396825396825,0.71005291005291,0.7063492063492064,0.8698412698412699,0.8703703703703703,1.0,1.0,1.0,1.0,0.9563492063492064,0.9333333333333333,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 1. 1. 0. 0. 0.],-0.1111111111111111,-0.08928571428571429,-0.08253968253968254,-0.08134920634920635,0.0,0.0,0.0,0.0,-0.0,0.06746031746031746,0.06964285714285715,0.07698412698412699,0.14285714285714285,0.1746031746031746,0.2777777777777778,0.27976190476190477,0.28134920634920635,0.2908730158730159,0.33690476190476193,0.353968253968254,0.39087301587301587,0.45634920634920634,0.5904761904761905,0.6349206349206349,0.8015873015873016,0.6190476190476191,0.6031746031746031,0.6111111111111112,0.6428571428571429,0.6484126984126984,0.6924603174603174,0.8412698412698413,0.8531746031746031,0.9206349206349206,1.0,0.8492063492063492,0.8373015873015873,0.8571428571428571,0.8809523809523809,0.9365079365079365,1.0,1.0,0.9650793650793651,0.9642857142857143,0.9841269841269841,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 0. 0. 0. 0.],0.1111111111111111,0.09523809523809523,0.09523809523809523,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,-0.06349206349206349,-0.06666666666666667,-0.07936507936507936,-0.13333333333333333,-0.19047619047619047,0.16666666666666666,0.19047619047619047,0.20793650793650795,0.23809523809523808,0.13333333333333333,0.14603174603174604,0.1746031746031746,0.0873015873015873,0.3333333333333333,0.38095238095238093,0.373015873015873,0.4444444444444444,0.4666666666666667,0.5079365079365079,0.6111111111111112,0.4015873015873016,0.4603174603174603,0.4603174603174603,0.6031746031746031,0.746031746031746,0.8412698412698413,0.6825396825396826,0.7111111111111111,0.7857142857142857,0.6587301587301587,0.8015873015873016,0.8412698412698413,1.0,0.8571428571428571,0.8968253968253969,1.0,0.873015873015873,1.0,0.9603174603174603,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 1. 1. 1. 1. 1. 0. 0.],-0.8333333333333334,-0.6111111111111112,-0.40476190476190477,-0.24603174603174602,-0.7777777777777778,-0.45634920634920634,-0.23015873015873015,-0.06746031746031746,0.06349206349206349,0.0,0.15873015873015872,0.2724867724867725,0.5873015873015873,0.6428571428571429,-0.19444444444444445,-0.0,0.1349206349206349,0.24603174603174602,0.4126984126984127,0.4880952380952381,0.5502645502645502,0.8544973544973545,0.7341269841269841,0.7685185185185185,1.0,0.4365079365079365,0.5,0.5608465608465608,0.6031746031746031,0.8412698412698413,0.8544973544973545,1.0,1.0,1.0,1.0,0.8571428571428571,0.8412698412698413,0.8544973544973545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
