,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[12.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7651515151515151,0.7196969696969697,0.6893939393939394,0.6742424242424242,0.6742424242424242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.5575757575757576,0.5111111111111111,0.48754208754208755,0.4808080808080808,0.4888888888888889,0.8313131313131313,0.8228956228956229,0.82996632996633,0.8515151515151516,1.0,1.0,1.0,0.9181818181818182,0.8949494949494949,0.8821548821548821,0.8818181818181818,0.8939393939393939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.37727272727272726,0.34924242424242424,0.33820346320346323,0.33966450216450217,0.35443722943722944,0.6075757575757575,0.6099567099567099,0.6307359307359307,0.6742424242424242,0.8340367965367965,0.8700757575757576,1.0,0.7833333333333333,0.753030303030303,0.7440476190476191,0.7540584415584416,0.7840909090909091,0.8977272727272727,0.9033549783549784,0.9223484848484849,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9606060606060606,0.9507575757575758,0.9499458874458875,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.22424242424242424,0.21616161616161617,0.21457431457431458,0.22135642135642136,0.2404040404040404,0.38571428571428573,0.39711399711399714,0.4253968253968254,0.48484848484848486,0.5731601731601732,0.6363636363636364,0.8585858585858586,0.6202020202020202,0.6018759018759019,0.6046176046176046,0.6288600288600289,0.6828282828282828,0.7157287157287158,0.7395382395382395,0.7878787878787878,0.8717171717171717,0.9292929292929293,0.9227994227994228,0.9434343434343434,0.9696969696969697,1.0,1.0,0.8676767676767677,0.8571428571428571,0.8665223665223665,0.8949494949494949,0.9227994227994228,0.9434343434343434,0.9696969696969697,1.0,1.0,1.0,1.0,1.0,1.0,0.9747474747474747,0.9733044733044733,0.9797979797979798,0.98989898989899,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.09848484848484848,0.10101010101010101,0.10371572871572872,0.1111111111111111,0.12878787878787878,0.18398268398268397,0.19336219336219337,0.21548821548821548,0.2727272727272727,0.28354978354978355,0.3333333333333333,0.5050505050505051,0.4494949494949495,0.4491341991341991,0.4639249639249639,0.5025252525252525,0.5909090909090909,0.49963924963924966,0.5331890331890332,0.6035353535353535,0.6212121212121212,0.7449494949494949,0.7593795093795094,0.8114478114478114,0.9006734006734006,0.8914141414141414,1.0,0.726010101010101,0.7296176046176046,0.7581168831168831,0.8207070707070707,0.7593795093795094,0.8114478114478114,0.9006734006734006,0.8914141414141414,0.9292929292929293,0.9713804713804713,1.0,1.0,1.0,0.8991702741702742,0.9081890331890332,0.9372895622895623,0.9772727272727273,0.9292929292929293,0.9713804713804713,1.0,1.0,1.0,1.0,1.0,0.9788961038961039,0.9861111111111112,0.9957912457912458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2878787878787879,0.2976190476190476,0.3181818181818182,0.36363636363636365,0.5,0.275974025974026,0.30303030303030304,0.36363636363636365,0.30303030303030304,0.4090909090909091,0.54004329004329,0.6060606060606061,0.7727272727272727,0.6212121212121212,0.9090909090909091,0.553030303030303,0.5735930735930735,0.6212121212121212,0.7272727272727273,0.54004329004329,0.6060606060606061,0.7727272727272727,0.6212121212121212,0.7651515151515151,0.8636363636363636,0.9090909090909091,0.9242424242424242,1.0,0.7640692640692641,0.7954545454545454,0.8636363636363636,1.0,0.7651515151515151,0.8636363636363636,0.9090909090909091,0.9242424242424242,1.0,1.0,1.0,0.9047619047619048,0.9393939393939394,1.0,0.9242424242424242,1.0,1.0,1.0,0.9772727272727273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],-1.0,-0.7651515151515151,-0.5575757575757576,-0.37727272727272726,-0.22424242424242424,-0.09848484848484848,0.0,0.0,0.1409090909090909,0.24848484848484848,0.33181818181818185,0.4,0.7818181818181819,0.7878787878787878,0.8090909090909091,0.8409090909090909,1.0,1.0,1.0,0.7121212121212122,0.7136363636363636,0.7333333333333333,0.7666666666666667,0.8090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],-1.0,-0.7196969696969697,-0.5111111111111111,-0.34924242424242424,-0.21616161616161617,-0.10101010101010101,0.0,-0.1409090909090909,0.0,0.11414141414141414,0.21306818181818182,0.3007575757575758,0.47878787878787876,0.5457070707070707,0.6106060606060606,0.67739898989899,0.8700757575757576,0.9005681818181818,1.0,0.45606060606060606,0.5075757575757576,0.5633838383838384,0.6203282828282828,0.6818181818181818,0.8421717171717171,0.8647727272727272,0.8970328282828283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8757575757575757,0.8762626262626263,0.8912878787878787,0.9160353535353535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0.],-1.0,-0.6893939393939394,-0.48754208754208755,-0.33820346320346323,-0.21457431457431458,-0.10371572871572872,0.0,-0.24848484848484848,-0.11414141414141414,0.0,0.10515873015873016,0.20634920634920634,0.21818181818181817,0.31587301587301586,0.41394901394901396,0.5151515151515151,0.6099567099567099,0.7045454545454546,0.9292929292929293,0.23636363636363636,0.32474747474747473,0.40745550745550746,0.4897186147186147,0.5757575757575758,0.6018518518518519,0.6725829725829726,0.7474747474747475,0.8882154882154882,0.9368686868686869,0.8717171717171717,0.9103535353535354,0.9494949494949495,1.0,1.0,0.6838383838383838,0.7205387205387206,0.7667748917748918,0.8207070707070707,0.8934343434343435,0.9250841750841751,0.9579124579124579,1.0,1.0,1.0,1.0,1.0,1.0,0.9292929292929293,0.9368686868686869,0.9545454545454546,0.9747474747474747,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
