,[4. 4. 4.],[5. 4. 3.],[5. 5. 2.],[6. 3. 3.],[6. 4. 2.],[6. 5. 1.],[6. 6. 0.],[7. 3. 2.],[7. 4. 1.],[7. 5. 0.],[8. 2. 2.],[8. 3. 1.],[8. 4. 0.],[9. 2. 1.],[9. 3. 0.],[10.  1.  1.],[10.  2.  0.],[11.  1.  0.],[12.  0.  0.]
[4. 4. 4.],0.0,-0.0,-1.0,1.0,-0.0,-1.0,-1.0,1.0,-0.0,-1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0
[5. 4. 3.],0.0,0.0,-0.3333333333333333,0.3333333333333333,-0.0,-0.6666666666666666,-1.0,0.6666666666666666,-0.0,-0.6666666666666666,1.0,0.6666666666666666,-0.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
[5. 5. 2.],1.0,0.3333333333333333,0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-1.0,-0.0,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
[6. 3. 3.],-1.0,-0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,1.0
[6. 4. 2.],0.0,0.0,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
[6. 5. 1.],1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[6. 6. 0.],1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.0,0.3333333333333333
[7. 3. 2.],-1.0,-0.6666666666666666,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,0.3333333333333333,-0.0,-0.3333333333333333,0.6666666666666666,-0.0,1.0,0.6666666666666666,1.0,1.0
[7. 4. 1.],0.0,0.0,-0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,-0.0,-0.3333333333333333,-0.0,-0.0,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[7. 5. 0.],1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.0,0.3333333333333333
[8. 2. 2.],-1.0,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,1.0,1.0
[8. 3. 1.],-1.0,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,-0.0,-0.0,-0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[8. 4. 0.],0.0,0.0,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.0,0.3333333333333333
[9. 2. 1.],-1.0,-1.0,-0.6666666666666666,-1.0,-0.6666666666666666,0.0,0.3333333333333333,-0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.0,0.3333333333333333,-0.0,0.6666666666666666,1.0
[9. 3. 0.],-1.0,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.0,-0.0,0.3333333333333333
[10.  1.  1.],-1.0,-1.0,-1.0,-1.0,-1.0,-0.3333333333333333,0.3333333333333333,-1.0,-0.3333333333333333,0.3333333333333333,-1.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,-0.0,0.3333333333333333,1.0
[10.  2.  0.],-1.0,-1.0,-0.6666666666666666,-1.0,-0.6666666666666666,-0.3333333333333333,0.0,-0.6666666666666666,-0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.0,0.3333333333333333
[11.  1.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-0.6666666666666666,0.0,-1.0,-0.6666666666666666,0.0,-1.0,-0.6666666666666666,0.0,-0.6666666666666666,0.0,-0.3333333333333333,0.0,0.0,0.3333333333333333
[12.  0.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,-0.3333333333333333,0.0
