,[2. 2. 2. 2. 2. 2.],[3. 2. 2. 2. 2. 1.],[3. 3. 2. 2. 1. 1.],[3. 3. 2. 2. 2. 0.],[3. 3. 3. 1. 1. 1.],[3. 3. 3. 2. 1. 0.],[3. 3. 3. 3. 0. 0.],[4. 2. 2. 2. 1. 1.],[4. 2. 2. 2. 2. 0.],[4. 3. 2. 1. 1. 1.],[4. 3. 2. 2. 1. 0.],[4. 3. 3. 1. 1. 0.],[4. 3. 3. 2. 0. 0.],[4. 4. 1. 1. 1. 1.],[4. 4. 2. 1. 1. 0.],[4. 4. 2. 2. 0. 0.],[4. 4. 3. 1. 0. 0.],[4. 4. 4. 0. 0. 0.],[5. 2. 2. 1. 1. 1.],[5. 2. 2. 2. 1. 0.],[5. 3. 1. 1. 1. 1.],[5. 3. 2. 1. 1. 0.],[5. 3. 2. 2. 0. 0.],[5. 3. 3. 1. 0. 0.],[5. 4. 1. 1. 1. 0.],[5. 4. 2. 1. 0. 0.],[5. 4. 3. 0. 0. 0.],[5. 5. 1. 1. 0. 0.],[5. 5. 2. 0. 0. 0.],[6. 2. 1. 1. 1. 1.],[6. 2. 2. 1. 1. 0.],[6. 2. 2. 2. 0. 0.],[6. 3. 1. 1. 1. 0.],[6. 3. 2. 1. 0. 0.],[6. 3. 3. 0. 0. 0.],[6. 4. 1. 1. 0. 0.],[6. 4. 2. 0. 0. 0.],[6. 5. 1. 0. 0. 0.],[6. 6. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1.],[7. 2. 1. 1. 1. 0.],[7. 2. 2. 1. 0. 0.],[7. 3. 1. 1. 0. 0.],[7. 3. 2. 0. 0. 0.],[7. 4. 1. 0. 0. 0.],[7. 5. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 0.],[8. 2. 1. 1. 0. 0.],[8. 2. 2. 0. 0. 0.],[8. 3. 1. 0. 0. 0.],[8. 4. 0. 0. 0. 0.],[9. 1. 1. 1. 0. 0.],[9. 2. 1. 0. 0. 0.],[9. 3. 0. 0. 0. 0.],[10.  1.  1.  0.  0.  0.],[10.  2.  0.  0.  0.  0.],[11.  1.  0.  0.  0.  0.],[12.  0.  0.  0.  0.  0.]
[2. 2. 2. 2. 2. 2.],0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,1.0,-0.0,1.0,-0.0,-0.0,-1.0,1.0,1.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 1.],0.0,0.0,-0.0,-0.5666666666666667,-0.0,-0.5666666666666667,-1.0,0.5666666666666667,-0.0,0.5666666666666667,-0.0,-0.0,-0.5666666666666667,1.0,0.5666666666666667,-0.0,-0.0,-0.0,1.0,0.6333333333333333,1.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,1.0,0.7,0.16666666666666666,1.0,0.8333333333333334,1.0,1.0,0.7,1.0,0.7666666666666667,0.3333333333333333,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 1. 1.],0.0,0.0,0.0,-0.23333333333333334,-0.0,-0.26666666666666666,-0.6,0.23333333333333334,-0.0,0.26666666666666666,-0.0,-0.0,-0.23333333333333334,0.6,0.23333333333333334,-0.0,-0.0,-0.0,0.7,0.43333333333333335,0.8,0.4888888888888889,0.23333333333333334,0.3,0.8,0.4666666666666667,0.3333333333333333,0.9333333333333333,0.6666666666666666,1.0,0.7888888888888889,0.6,0.9,0.6666666666666666,0.6,0.9333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,0.8666666666666667,0.9666666666666667,0.8,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 2. 0.],1.0,0.5666666666666667,0.23333333333333334,0.0,-0.0,-0.25,-0.8,0.5833333333333334,0.4,0.3,0.11666666666666667,-0.08333333333333333,-0.4166666666666667,0.3333333333333333,0.2,-0.03333333333333333,-0.23333333333333334,-0.5,0.85,0.7,0.6,0.45,0.26666666666666666,0.03333333333333333,0.5,0.36666666666666664,-0.16666666666666666,0.6666666666666666,0.5333333333333333,1.0,0.9,0.8166666666666667,0.7,0.6,0.15,0.6666666666666666,0.5333333333333333,0.8333333333333334,1.0,1.0,1.0,0.95,0.8,0.75,0.8333333333333334,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 1. 1. 1.],0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.35,0.3,0.5,0.35,0.3,0.45,0.45,0.3,0.5,0.8,0.5,0.7,0.6,0.45,0.8,0.6,0.8,0.8,0.5,1.0,1.0,1.0,0.85,0.75,0.95,0.8,1.0,1.0,1.0,0.95,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 2. 1. 0.],1.0,0.5666666666666667,0.26666666666666666,0.25,0.0,0.0,-0.3333333333333333,0.3,0.3,0.09166666666666666,0.10833333333333334,-0.11666666666666667,-0.11666666666666667,-0.06666666666666667,-0.016666666666666666,-0.0,-0.25,-0.5,0.5333333333333333,0.5,0.3333333333333333,0.3416666666666667,0.3333333333333333,0.15,0.2,0.21666666666666667,-0.0,0.4666666666666667,0.4666666666666667,0.7666666666666667,0.6833333333333333,0.65,0.575,0.5583333333333333,0.45,0.4666666666666667,0.4666666666666667,0.7333333333333333,1.0,1.0,0.85,0.8,0.7666666666666667,0.7416666666666667,0.7333333333333333,1.0,1.0,0.9166666666666666,0.8833333333333333,0.9083333333333333,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 3. 0. 0.],1.0,1.0,0.6,0.8,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6,-0.06666666666666667,0.2,-0.26666666666666666,-0.0,-0.3333333333333333,-0.2,-0.0,-0.4666666666666667,-0.8,0.3333333333333333,0.6,-0.06666666666666667,0.2,0.4666666666666667,-0.0,-0.2,-0.0,-0.3333333333333333,-0.0,0.26666666666666666,0.3333333333333333,0.6,0.8,0.2,0.4666666666666667,0.3333333333333333,-0.0,0.26666666666666666,0.26666666666666666,0.6,0.3333333333333333,0.6,0.8,0.4666666666666667,0.7333333333333333,0.26666666666666666,0.6,0.6,0.8,0.9333333333333333,0.7333333333333333,0.6,0.8,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0
[4. 2. 2. 2. 1. 1.],-1.0,-0.5666666666666667,-0.23333333333333334,-0.5833333333333334,0.0,-0.3,-0.3333333333333333,0.0,-0.4,0.25,-0.11666666666666667,0.08333333333333333,-0.2,0.8,0.4166666666666667,0.03333333333333333,0.23333333333333334,0.5,0.5333333333333333,0.11666666666666667,0.7,0.31666666666666665,-0.0,0.13333333333333333,0.85,0.5166666666666667,0.3333333333333333,0.9333333333333333,0.6666666666666666,1.0,0.7,0.35,0.85,0.5333333333333333,0.3333333333333333,0.95,0.7333333333333333,1.0,1.0,1.0,1.0,0.8333333333333334,0.95,0.7333333333333333,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 2. 2. 0.],0.0,0.0,0.0,-0.4,0.0,-0.3,-0.6,0.4,0.0,0.3,-0.0,-0.0,-0.36666666666666664,0.6,0.36666666666666664,-0.0,-0.0,-0.0,0.7,0.4,0.4666666666666667,0.3,-0.03333333333333333,-0.03333333333333333,0.6,0.4,-0.06666666666666667,0.6666666666666666,0.43333333333333335,1.0,0.8,0.5666666666666667,0.6,0.43333333333333335,0.03333333333333333,0.7333333333333333,0.5666666666666667,0.8333333333333334,1.0,1.0,1.0,0.9,0.7333333333333333,0.5666666666666667,0.8666666666666667,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 3. 2. 1. 1. 1.],-1.0,-0.5666666666666667,-0.26666666666666666,-0.3,0.0,-0.09166666666666666,0.06666666666666667,-0.25,-0.3,0.0,-0.10833333333333334,0.11666666666666667,0.016666666666666666,0.3333333333333333,0.11666666666666667,-0.0,0.25,0.5,0.11666666666666667,-0.0,0.4,0.21666666666666667,0.1,0.3,0.5666666666666667,0.325,0.4666666666666667,0.8,0.5,0.6333333333333333,0.43333333333333335,0.3,0.7,0.5,0.6,0.85,0.6,1.0,1.0,1.0,0.8333333333333334,0.65,0.9,0.7,1.0,1.0,1.0,0.95,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
