,[2. 2. 2. 1. 1. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 1. 1. 1. 1. 1. 0.],[2. 2. 2. 2. 2. 1. 1. 1. 0. 0.],[2. 2. 2. 2. 2. 2. 1. 0. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 1. 1. 1.],[3. 2. 2. 1. 1. 1. 1. 1. 1. 0.],[3. 2. 2. 2. 1. 1. 1. 1. 0. 0.],[3. 2. 2. 2. 2. 1. 1. 0. 0. 0.],[3. 2. 2. 2. 2. 2. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 1. 1. 0.],[3. 3. 2. 1. 1. 1. 1. 1. 0. 0.],[3. 3. 2. 2. 1. 1. 1. 0. 0. 0.],[3. 3. 2. 2. 2. 1. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 1. 1. 0. 0. 0.],[3. 3. 3. 2. 1. 1. 0. 0. 0. 0.],[3. 3. 3. 2. 2. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 1. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[4. 2. 1. 1. 1. 1. 1. 1. 1. 0.],[4. 2. 2. 1. 1. 1. 1. 1. 0. 0.],[4. 2. 2. 2. 1. 1. 1. 0. 0. 0.],[4. 2. 2. 2. 2. 1. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 1. 1. 0. 0.],[4. 3. 2. 1. 1. 1. 1. 0. 0. 0.],[4. 3. 2. 2. 1. 1. 0. 0. 0. 0.],[4. 3. 2. 2. 2. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 1. 1. 0. 0. 0. 0.],[4. 3. 3. 2. 1. 0. 0. 0. 0. 0.],[4. 3. 3. 3. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 1. 1. 0. 0. 0.],[4. 4. 2. 1. 1. 1. 0. 0. 0. 0.],[4. 4. 2. 2. 1. 0. 0. 0. 0. 0.],[4. 4. 3. 1. 1. 0. 0. 0. 0. 0.],[4. 4. 3. 2. 0. 0. 0. 0. 0. 0.],[4. 4. 4. 1. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 1. 1. 0.],[5. 2. 1. 1. 1. 1. 1. 1. 0. 0.],[5. 2. 2. 1. 1. 1. 1. 0. 0. 0.],[5. 2. 2. 2. 1. 1. 0. 0. 0. 0.],[5. 2. 2. 2. 2. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 1. 1. 0. 0. 0.],[5. 3. 2. 1. 1. 1. 0. 0. 0. 0.],[5. 3. 2. 2. 1. 0. 0. 0. 0. 0.],[5. 3. 3. 1. 1. 0. 0. 0. 0. 0.],[5. 3. 3. 2. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 1. 1. 0. 0. 0. 0.],[5. 4. 2. 1. 1. 0. 0. 0. 0. 0.],[5. 4. 2. 2. 0. 0. 0. 0. 0. 0.],[5. 4. 3. 1. 0. 0. 0. 0. 0. 0.],[5. 4. 4. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 1. 1. 0. 0. 0. 0. 0.],[5. 5. 2. 1. 0. 0. 0. 0. 0. 0.],[5. 5. 3. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[6. 2. 1. 1. 1. 1. 1. 0. 0. 0.],[6. 2. 2. 1. 1. 1. 0. 0. 0. 0.],[6. 2. 2. 2. 1. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 1. 1. 0. 0. 0. 0.],[6. 3. 2. 1. 1. 0. 0. 0. 0. 0.],[6. 3. 2. 2. 0. 0. 0. 0. 0. 0.],[6. 3. 3. 1. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 1. 1. 0. 0. 0. 0. 0.],[6. 4. 2. 1. 0. 0. 0. 0. 0. 0.],[6. 4. 3. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 1. 1. 0. 0. 0. 0. 0. 0.],[6. 5. 2. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 1. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[7. 2. 1. 1. 1. 1. 0. 0. 0. 0.],[7. 2. 2. 1. 1. 0. 0. 0. 0. 0.],[7. 2. 2. 2. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 1. 1. 0. 0. 0. 0. 0.],[7. 3. 2. 1. 0. 0. 0. 0. 0. 0.],[7. 3. 3. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 1. 1. 0. 0. 0. 0. 0. 0.],[7. 4. 2. 0. 0. 0. 0. 0. 0. 0.],[7. 5. 1. 0. 0. 0. 0. 0. 0. 0.],[7. 6. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[8. 2. 1. 1. 1. 0. 0. 0. 0. 0.],[8. 2. 2. 1. 0. 0. 0. 0. 0. 0.],[8. 3. 1. 1. 0. 0. 0. 0. 0. 0.],[8. 3. 2. 0. 0. 0. 0. 0. 0. 0.],[8. 4. 1. 0. 0. 0. 0. 0. 0. 0.],[8. 5. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[9. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[9. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[9. 3. 1. 0. 0. 0. 0. 0. 0. 0.],[9. 4. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  1.  1.  0.  0.  0.  0.  0.  0.],[10.  2.  1.  0.  0.  0.  0.  0.  0.  0.],[10.  3.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  1.  1.  0.  0.  0.  0.  0.  0.  0.],[11.  2.  0.  0.  0.  0.  0.  0.  0.  0.],[12.  1.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[2. 2. 2. 1. 1. 1. 1. 1. 1. 1.],0.0,-0.3,-0.5333333333333333,-0.7083333333333334,0.7,0.4,0.10833333333333334,-0.16666666666666666,-0.4166666666666667,0.8083333333333333,0.6333333333333333,0.4166666666666667,0.16666666666666666,0.8333333333333334,0.7083333333333334,0.5333333333333333,1.0,1.0,0.9333333333333333,0.8083333333333333,0.6333333333333333,0.4166666666666667,0.9666666666666667,0.9166666666666666,0.8333333333333334,0.7083333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9916666666666667,0.9666666666666667,0.9166666666666666,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 1. 1. 1. 1. 1. 0.],0.3,0.0,-0.25,-0.47619047619047616,0.6444444444444445,0.3888888888888889,0.15555555555555556,-0.07539682539682539,-0.31746031746031744,0.6666666666666666,0.4777777777777778,0.2857142857142857,0.07539682539682539,0.5833333333333334,0.42857142857142855,0.25,0.6222222222222222,1.0,0.8833333333333333,0.7309523809523809,0.5642857142857143,0.38095238095238093,0.8857142857142857,0.7833333333333333,0.6666666666666666,0.5357142857142857,0.8690476190476191,0.8055555555555556,1.0,0.9777777777777777,0.9484126984126984,0.9126984126984127,1.0,1.0,1.0,1.0,0.9714285714285714,0.9142857142857143,0.8380952380952381,0.75,0.9777777777777777,0.9484126984126984,0.9126984126984127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996031746031746,0.984920634920635,0.9682539682539683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 1. 1. 1. 0. 0.],0.5333333333333333,0.25,0.0,-0.25833333333333336,0.6111111111111112,0.40476190476190477,0.20833333333333334,-0.0,-0.25,0.5277777777777778,0.36507936507936506,0.19642857142857142,-0.0,0.3523809523809524,0.1988095238095238,-0.0,0.21666666666666667,1.0,0.8333333333333334,0.6825396825396826,0.5357142857142857,0.376984126984127,0.7619047619047619,0.6436507936507937,0.5261904761904762,0.3968253968253968,0.6416666666666667,0.555952380952381,0.6666666666666666,0.9087301587301587,0.8484126984126984,0.8,0.8706349206349207,0.875,1.0,1.0,0.9404761904761905,0.8634920634920635,0.7861111111111111,0.7142857142857143,0.9087301587301587,0.8484126984126984,0.8,0.8706349206349207,0.875,0.9793650793650793,0.9638888888888889,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,0.9841269841269841,0.9583333333333334,0.9369047619047619,0.9793650793650793,0.9638888888888889,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9976190476190476,0.9936507936507937,0.9940476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 2. 1. 0. 0. 0.],0.7083333333333334,0.47619047619047616,0.25833333333333336,0.0,0.6,0.42857142857142855,0.2619047619047619,0.075,-0.2,0.4166666666666667,0.27976190476190477,0.12380952380952381,-0.075,0.16428571428571428,-0.0,-0.25833333333333336,-0.13333333333333333,1.0,0.7916666666666666,0.6547619047619048,0.5297619047619048,0.4,0.6190476190476191,0.5119047619047619,0.3976190476190476,0.25833333333333336,0.40476190476190477,0.2869047619047619,0.16666666666666666,0.7857142857142857,0.719047619047619,0.6714285714285714,0.6416666666666667,0.6309523809523809,0.8511904761904762,1.0,0.9047619047619048,0.8238095238095238,0.7595238095238095,0.7333333333333333,0.7857142857142857,0.719047619047619,0.6714285714285714,0.6416666666666667,0.6309523809523809,0.9047619047619048,0.8821428571428571,0.9166666666666666,0.8511904761904762,1.0,0.9738095238095238,0.9821428571428571,1.0,1.0,0.9642857142857143,0.9321428571428572,0.925,0.9047619047619048,0.8821428571428571,0.9166666666666666,0.8511904761904762,0.9738095238095238,0.9821428571428571,1.0,1.0,1.0,1.0,1.0,0.9904761904761905,0.9857142857142858,1.0,0.9738095238095238,0.9821428571428571,1.0,1.0,1.0,1.0,1.0,1.0,0.9988095238095238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 1. 1. 1. 1.],-0.7,-0.6444444444444445,-0.6111111111111112,-0.6,0.0,-0.08888888888888889,-0.15555555555555556,-0.2,-0.2222222222222222,0.6,0.4444444444444444,0.3111111111111111,0.2,0.8333333333333334,0.7333333333333333,0.6111111111111112,1.0,0.8,0.6222222222222222,0.4666666666666667,0.3333333333333333,0.2222222222222222,0.9,0.8222222222222222,0.7222222222222222,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777777,0.9333333333333333,0.8666666666666667,0.7777777777777778,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 1. 1. 1. 1. 0.],-0.4,-0.3888888888888889,-0.40476190476190477,-0.42857142857142855,0.08888888888888889,0.0,-0.07023809523809524,-0.13015873015873017,-0.17857142857142858,0.4027777777777778,0.29365079365079366,0.20714285714285716,0.13015873015873017,0.5571428571428572,0.48095238095238096,0.40476190476190477,0.7777777777777778,0.7,0.5305555555555556,0.4119047619047619,0.319047619047619,0.2365079365079365,0.7321428571428571,0.640079365079365,0.5611111111111111,0.48214285714285715,0.8472222222222222,0.8011904761904762,1.0,0.9261904761904762,0.8809523809523809,0.8392857142857143,1.0,1.0,1.0,0.9333333333333333,0.8472222222222222,0.763095238095238,0.6880952380952381,0.6150793650793651,0.9416666666666667,0.9023809523809524,0.8650793650793651,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9916666666666667,0.9726190476190476,0.9452380952380952,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 1. 1. 1. 1. 0. 0.],-0.10833333333333334,-0.15555555555555556,-0.20833333333333334,-0.2619047619047619,0.15555555555555556,0.07023809523809524,0.0,-0.06507936507936508,-0.12698412698412698,0.26666666666666666,0.19404761904761905,0.12857142857142856,0.06507936507936508,0.3130952380952381,0.2611111111111111,0.20833333333333334,0.42857142857142855,0.6,0.4722222222222222,0.38333333333333336,0.3107142857142857,0.24444444444444444,0.5535714285714286,0.48658730158730157,0.4311904761904762,0.376984126984127,0.6046031746031746,0.5773809523809523,0.7916666666666666,0.7793650793650794,0.7301587301587301,0.6984126984126984,0.8456349206349206,0.8571428571428571,1.0,0.8666666666666667,0.763095238095238,0.6898412698412698,0.6336507936507937,0.5841269841269842,0.8138888888888889,0.7693650793650794,0.7412698412698413,0.8722222222222222,0.8809523809523809,0.9441269841269841,0.9253968253968254,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9218253968253968,0.8841269841269841,0.8595238095238096,0.9544444444444444,0.9380952380952381,0.9404761904761905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9952380952380953,0.9853968253968254,0.9761904761904762,0.9761904761904762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 1. 1. 0. 0. 0.],0.16666666666666666,0.07539682539682539,0.0,-0.075,0.2,0.13015873015873017,0.06507936507936508,0.0,-0.07222222222222222,0.175,0.11746031746031746,0.061507936507936505,-0.0,0.11428571428571428,0.0623015873015873,-0.0,0.06746031746031746,0.5,0.4305555555555556,0.36547619047619045,0.3107142857142857,0.26031746031746034,0.3976190476190476,0.35095238095238096,0.3115079365079365,0.27380952380952384,0.3547619047619048,0.3325396825396825,0.39880952380952384,0.5992063492063492,0.5704761904761905,0.5587301587301587,0.5952380952380952,0.6309523809523809,0.8273809523809523,0.7777777777777778,0.6880952380952381,0.6336507936507937,0.5992063492063492,0.5785714285714286,0.6484126984126984,0.6224603174603175,0.6162698412698413,0.6440476190476191,0.6845238095238095,0.8095238095238095,0.8051587301587302,0.8373015873015873,0.8531746031746031,1.0,0.944047619047619,0.9563492063492064,1.0,0.9166666666666666,0.8595238095238096,0.8296825396825397,0.8238095238095238,0.8376190476190476,0.834920634920635,0.8646825396825397,0.878968253968254,0.944047619047619,0.9563492063492064,1.0,1.0,1.0,1.0,0.9761904761904762,0.9534920634920635,0.9464285714285714,0.9630952380952381,0.9535714285714286,0.9638888888888889,1.0,1.0,1.0,1.0,1.0,0.996031746031746,0.9916666666666667,0.9940476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 2. 0. 0. 0. 0.],0.4166666666666667,0.31746031746031744,0.25,0.2,0.2222222222222222,0.17857142857142858,0.12698412698412698,0.07222222222222222,0.0,0.1111111111111111,0.05555555555555555,-0.0,-0.07222222222222222,-0.05238095238095238,-0.12063492063492064,-0.25,-0.25396825396825395,0.4,0.3888888888888889,0.3492063492063492,0.3142857142857143,0.28888888888888886,0.27380952380952384,0.23015873015873015,0.19285714285714287,0.15,0.12063492063492064,0.0746031746031746,-0.08333333333333333,0.42857142857142855,0.40634920634920635,0.4031746031746032,0.30793650793650795,0.30952380952380953,0.5238095238095238,0.6666666666666666,0.6150793650793651,0.5841269841269842,0.5785714285714286,0.6222222222222222,0.48412698412698413,0.4666666666666667,0.4753968253968254,0.3682539682539683,0.39285714285714285,0.6285714285714286,0.6412698412698413,0.7222222222222222,0.5753968253968254,0.8333333333333334,0.8,0.8492063492063492,0.8611111111111112,0.8333333333333334,0.7896825396825397,0.780952380952381,0.8166666666666667,0.6730158730158731,0.6896825396825397,0.7777777777777778,0.626984126984127,0.8,0.8492063492063492,0.8611111111111112,0.9285714285714286,1.0,1.0,0.9285714285714286,0.9087301587301587,0.9238095238095239,1.0,0.8285714285714286,0.876984126984127,0.8888888888888888,0.9285714285714286,1.0,1.0,1.0,0.9761904761904762,0.9753968253968254,1.0,0.9404761904761905,1.0,1.0,1.0,0.9952380952380953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 1. 1. 1. 1. 1. 1. 1. 0.],-0.8083333333333333,-0.6666666666666666,-0.5277777777777778,-0.4166666666666667,-0.6,-0.4027777777777778,-0.26666666666666666,-0.175,-0.1111111111111111,0.0,0.08055555555555556,0.13333333333333333,0.175,0.575,0.5444444444444444,0.5277777777777778,0.8888888888888888,-0.1,-0.0,0.06666666666666667,0.11666666666666667,0.16666666666666666,0.5,0.4722222222222222,0.4666666666666667,0.4583333333333333,0.85,0.8194444444444444,1.0,0.8111111111111111,0.7638888888888888,0.7333333333333333,1.0,1.0,1.0,0.6222222222222222,0.5611111111111111,0.5416666666666666,0.5388888888888889,0.5277777777777778,0.8916666666666667,0.85,0.8194444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9361111111111111,0.8916666666666667,0.85,0.8194444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
