,[5. 4. 4.],[5. 5. 3.],[6. 4. 3.],[6. 5. 2.],[6. 6. 1.],[7. 3. 3.],[7. 4. 2.],[7. 5. 1.],[7. 6. 0.],[8. 3. 2.],[8. 4. 1.],[8. 5. 0.],[9. 2. 2.],[9. 3. 1.],[9. 4. 0.],[10.  2.  1.],[10.  3.  0.],[11.  1.  1.],[11.  2.  0.],[12.  1.  0.],[13.  0.  0.]
[5. 4. 4.],0.0,-0.3333333333333333,0.3333333333333333,-0.6666666666666666,-1.0,1.0,0.3333333333333333,-0.6666666666666666,-1.0,1.0,0.3333333333333333,-0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
[5. 5. 3.],0.3333333333333333,0.0,-0.0,-0.3333333333333333,-1.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-1.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
[6. 4. 3.],-0.3333333333333333,0.0,0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,-0.6666666666666666,0.6666666666666666,-0.0,-0.3333333333333333,1.0,0.6666666666666666,-0.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
[6. 5. 2.],0.6666666666666666,0.3333333333333333,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.6666666666666666,-0.0,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
[6. 6. 1.],1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[7. 3. 3.],-1.0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,-0.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,1.0
[7. 4. 2.],-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
[7. 5. 1.],0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[7. 6. 0.],1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.0,0.3333333333333333
[8. 3. 2.],-1.0,-0.6666666666666666,-0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,0.3333333333333333,-0.0,-0.3333333333333333,0.6666666666666666,-0.0,1.0,0.6666666666666666,1.0,1.0
