,[2. 2. 2. 2. 2. 2. 1.],[3. 2. 2. 2. 2. 1. 1.],[3. 2. 2. 2. 2. 2. 0.],[3. 3. 2. 2. 1. 1. 1.],[3. 3. 2. 2. 2. 1. 0.],[3. 3. 3. 1. 1. 1. 1.],[3. 3. 3. 2. 1. 1. 0.],[3. 3. 3. 2. 2. 0. 0.],[3. 3. 3. 3. 1. 0. 0.],[4. 2. 2. 2. 1. 1. 1.],[4. 2. 2. 2. 2. 1. 0.],[4. 3. 2. 1. 1. 1. 1.],[4. 3. 2. 2. 1. 1. 0.],[4. 3. 2. 2. 2. 0. 0.],[4. 3. 3. 1. 1. 1. 0.],[4. 3. 3. 2. 1. 0. 0.],[4. 3. 3. 3. 0. 0. 0.],[4. 4. 1. 1. 1. 1. 1.],[4. 4. 2. 1. 1. 1. 0.],[4. 4. 2. 2. 1. 0. 0.],[4. 4. 3. 1. 1. 0. 0.],[4. 4. 3. 2. 0. 0. 0.],[4. 4. 4. 1. 0. 0. 0.],[5. 2. 2. 1. 1. 1. 1.],[5. 2. 2. 2. 1. 1. 0.],[5. 2. 2. 2. 2. 0. 0.],[5. 3. 1. 1. 1. 1. 1.],[5. 3. 2. 1. 1. 1. 0.],[5. 3. 2. 2. 1. 0. 0.],[5. 3. 3. 1. 1. 0. 0.],[5. 3. 3. 2. 0. 0. 0.],[5. 4. 1. 1. 1. 1. 0.],[5. 4. 2. 1. 1. 0. 0.],[5. 4. 2. 2. 0. 0. 0.],[5. 4. 3. 1. 0. 0. 0.],[5. 4. 4. 0. 0. 0. 0.],[5. 5. 1. 1. 1. 0. 0.],[5. 5. 2. 1. 0. 0. 0.],[5. 5. 3. 0. 0. 0. 0.],[6. 2. 1. 1. 1. 1. 1.],[6. 2. 2. 1. 1. 1. 0.],[6. 2. 2. 2. 1. 0. 0.],[6. 3. 1. 1. 1. 1. 0.],[6. 3. 2. 1. 1. 0. 0.],[6. 3. 2. 2. 0. 0. 0.],[6. 3. 3. 1. 0. 0. 0.],[6. 4. 1. 1. 1. 0. 0.],[6. 4. 2. 1. 0. 0. 0.],[6. 4. 3. 0. 0. 0. 0.],[6. 5. 1. 1. 0. 0. 0.],[6. 5. 2. 0. 0. 0. 0.],[6. 6. 1. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1. 1.],[7. 2. 1. 1. 1. 1. 0.],[7. 2. 2. 1. 1. 0. 0.],[7. 2. 2. 2. 0. 0. 0.],[7. 3. 1. 1. 1. 0. 0.],[7. 3. 2. 1. 0. 0. 0.],[7. 3. 3. 0. 0. 0. 0.],[7. 4. 1. 1. 0. 0. 0.],[7. 4. 2. 0. 0. 0. 0.],[7. 5. 1. 0. 0. 0. 0.],[7. 6. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 1. 0.],[8. 2. 1. 1. 1. 0. 0.],[8. 2. 2. 1. 0. 0. 0.],[8. 3. 1. 1. 0. 0. 0.],[8. 3. 2. 0. 0. 0. 0.],[8. 4. 1. 0. 0. 0. 0.],[8. 5. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 1. 0. 0.],[9. 2. 1. 1. 0. 0. 0.],[9. 2. 2. 0. 0. 0. 0.],[9. 3. 1. 0. 0. 0. 0.],[9. 4. 0. 0. 0. 0. 0.],[10.  1.  1.  1.  0.  0.  0.],[10.  2.  1.  0.  0.  0.  0.],[10.  3.  0.  0.  0.  0.  0.],[11.  1.  1.  0.  0.  0.  0.],[11.  2.  0.  0.  0.  0.  0.],[12.  1.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.]
[2. 2. 2. 2. 2. 2. 1.],0.0,0.14285714285714285,-0.7142857142857143,0.2857142857142857,-0.5714285714285714,0.42857142857142855,-0.42857142857142855,-1.0,-1.0,1.0,0.2857142857142857,1.0,0.42857142857142855,-0.42857142857142855,0.5714285714285714,-0.2857142857142857,-1.0,1.0,1.0,0.5714285714285714,0.7142857142857143,-0.14285714285714285,0.8571428571428571,1.0,1.0,0.42857142857142855,1.0,1.0,0.5714285714285714,0.7142857142857143,-0.14285714285714285,1.0,1.0,0.7142857142857143,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 1. 1.],-0.14285714285714285,0.0,-0.47619047619047616,0.12380952380952381,-0.34285714285714286,0.2571428571428571,-0.23809523809523808,-0.638095238095238,-0.6190476190476191,0.5714285714285714,0.10476190476190476,0.6761904761904762,0.21904761904761905,-0.2,0.37142857142857144,-0.11428571428571428,-0.5714285714285714,1.0,0.7428571428571429,0.3142857142857143,0.5142857142857142,-0.0,0.7142857142857143,1.0,0.6952380952380952,0.3142857142857143,1.0,0.8,0.42857142857142855,0.6,0.14285714285714285,1.0,0.8666666666666667,0.5238095238095238,0.7619047619047619,1.0,1.0,0.9523809523809523,1.0,1.0,1.0,0.8,1.0,0.8952380952380953,0.6095238095238096,0.8095238095238095,1.0,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8857142857142857,1.0,0.9619047619047619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 2. 0.],0.7142857142857143,0.47619047619047616,0.0,0.2857142857142857,-0.11904761904761904,0.14285714285714285,-0.19047619047619047,-0.7142857142857143,-0.7142857142857143,0.7857142857142857,0.47619047619047616,0.6190476190476191,0.30952380952380953,-0.14285714285714285,0.19047619047619047,-0.21428571428571427,-0.7857142857142857,1.0,0.6428571428571429,0.3333333333333333,0.23809523809523808,-0.2857142857142857,0.2857142857142857,1.0,0.8571428571428571,0.6190476190476191,1.0,0.7142857142857143,0.4523809523809524,0.3333333333333333,-0.14285714285714285,1.0,0.7619047619047619,0.47619047619047616,0.38095238095238093,0.42857142857142855,1.0,0.8809523809523809,0.5238095238095238,1.0,1.0,0.9285714285714286,1.0,0.8095238095238095,0.5952380952380952,0.47619047619047616,1.0,0.8809523809523809,0.5238095238095238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9047619047619048,0.6190476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 1. 1. 1.],-0.2857142857142857,-0.12380952380952381,-0.2857142857142857,0.0,-0.2,0.14285714285714285,-0.11428571428571428,-0.2857142857142857,-0.2571428571428571,0.2,-0.0,0.34285714285714286,0.09523809523809523,-0.08571428571428572,0.24761904761904763,-0.0,-0.14285714285714285,0.7142857142857143,0.4,0.17142857142857143,0.37142857142857144,0.09523809523809523,0.5714285714285714,0.6952380952380952,0.45714285714285713,0.2571428571428571,0.8571428571428571,0.6,0.37142857142857144,0.5714285714285714,0.3142857142857143,0.8857142857142857,0.6571428571428571,0.42857142857142855,0.7142857142857143,1.0,0.9714285714285714,0.8571428571428571,1.0,1.0,0.8238095238095238,0.6428571428571429,0.9428571428571428,0.7857142857142857,0.6,0.8285714285714286,0.9714285714285714,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,0.9142857142857143,0.7714285714285715,0.9857142857142858,0.9142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 2. 1. 0.],0.5714285714285714,0.34285714285714286,0.11904761904761904,0.2,0.0,0.08571428571428572,-0.1,-0.3238095238095238,-0.42857142857142855,0.4714285714285714,0.2857142857142857,0.3619047619047619,0.19047619047619047,-0.0,0.1,-0.1,-0.4857142857142857,0.5238095238095238,0.3619047619047619,0.18095238095238095,0.11428571428571428,-0.11904761904761904,0.14285714285714285,0.8,0.6261904761904762,0.4666666666666667,0.7142857142857143,0.55,0.3904761904761905,0.3142857142857143,0.11904761904761904,0.7142857142857143,0.5619047619047619,0.3904761904761905,0.3523809523809524,0.42857142857142855,0.8571428571428571,0.7428571428571429,0.6190476190476191,1.0,0.8714285714285714,0.7523809523809524,0.8285714285714286,0.7095238095238096,0.580952380952381,0.5380952380952381,0.8571428571428571,0.7428571428571429,0.6190476190476191,0.9523809523809523,0.9047619047619048,1.0,1.0,1.0,0.9285714285714286,0.85,0.9142857142857143,0.8404761904761905,0.7714285714285715,0.9523809523809523,0.9047619047619048,1.0,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714,0.9428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 1. 1. 1. 1.],-0.42857142857142855,-0.2571428571428571,-0.14285714285714285,-0.14285714285714285,-0.08571428571428572,0.0,-0.0,-0.0,0.14285714285714285,-0.08571428571428572,-0.08571428571428572,-0.0,-0.0,-0.0,0.14285714285714285,0.08571428571428572,0.2571428571428571,0.14285714285714285,0.08571428571428572,0.08571428571428572,0.2571428571428571,0.14285714285714285,0.42857142857142855,0.3142857142857143,0.2571428571428571,0.2571428571428571,0.5714285714285714,0.4,0.34285714285714286,0.6,0.42857142857142855,0.6,0.42857142857142855,0.42857142857142855,0.7142857142857143,1.0,0.8857142857142857,0.7142857142857143,1.0,0.7142857142857143,0.6,0.5142857142857142,0.8571428571428571,0.6857142857142857,0.6,0.8857142857142857,0.8857142857142857,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,0.8857142857142857,0.7714285714285715,0.7714285714285715,0.9714285714285714,0.8857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.8857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 2. 1. 1. 0.],0.42857142857142855,0.23809523809523808,0.19047619047619047,0.11428571428571428,0.1,0.0,0.0,-0.0,-0.12380952380952381,0.17142857142857143,0.17142857142857143,0.08571428571428572,0.09047619047619047,0.08571428571428572,-0.0,-0.0,-0.12857142857142856,0.047619047619047616,0.08095238095238096,0.08571428571428572,-0.0,-0.0,-0.0,0.45714285714285713,0.42857142857142855,0.4,0.40476190476190477,0.38095238095238093,0.3547619047619048,0.3238095238095238,0.3,0.37142857142857144,0.3619047619047619,0.34285714285714286,0.34285714285714286,0.42857142857142855,0.6571428571428571,0.6142857142857143,0.7142857142857143,0.7380952380952381,0.6619047619047619,0.6214285714285714,0.6714285714285714,0.6190476190476191,0.5785714285714286,0.6285714285714286,0.6571428571428571,0.6142857142857143,0.7142857142857143,0.8761904761904762,0.8095238095238095,1.0,1.0,0.8571428571428571,0.8047619047619048,0.7714285714285715,0.85,0.8,0.8857142857142857,0.8761904761904762,0.8095238095238095,1.0,1.0,1.0,0.9357142857142857,0.9,0.9547619047619048,0.9238095238095239,1.0,1.0,1.0,0.9809523809523809,0.9619047619047619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 2. 2. 0. 0.],1.0,0.638095238095238,0.7142857142857143,0.2857142857142857,0.3238095238095238,0.0,0.0,0.0,-0.3142857142857143,0.42857142857142855,0.45714285714285713,0.1523809523809524,0.17142857142857143,0.2,-0.08571428571428572,-0.09523809523809523,-0.4857142857142857,0.047619047619047616,0.06666666666666667,0.0761904761904762,-0.17142857142857143,-0.22857142857142856,-0.2857142857142857,0.6190476190476191,0.6142857142857143,0.6571428571428571,0.3333333333333333,0.3523809523809524,0.38095238095238093,0.11428571428571428,0.11428571428571428,0.23809523809523808,0.2571428571428571,0.2857142857142857,0.02857142857142857,-0.14285714285714285,0.42857142857142855,0.4666666666666667,0.2571428571428571,0.8095238095238095,0.7571428571428571,0.7714285714285715,0.5238095238095238,0.5428571428571428,0.6,0.34285714285714286,0.42857142857142855,0.4666666666666667,0.2571428571428571,0.6190476190476191,0.6952380952380952,0.8095238095238095,1.0,0.8857142857142857,0.8666666666666667,0.9,0.6857142857142857,0.7238095238095238,0.6,0.6190476190476191,0.6952380952380952,0.8095238095238095,1.0,1.0,0.9428571428571428,0.9476190476190476,0.819047619047619,0.8952380952380953,0.8095238095238095,1.0,1.0,0.9809523809523809,1.0,0.9238095238095239,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 3. 1. 0. 0.],1.0,0.6190476190476191,0.7142857142857143,0.2571428571428571,0.42857142857142855,-0.14285714285714285,0.12380952380952381,0.3142857142857143,0.0,0.14285714285714285,0.3333333333333333,-0.12380952380952381,0.08571428571428572,0.2571428571428571,-0.21904761904761905,-0.0,-0.14285714285714285,-0.3333333333333333,-0.18095238095238095,-0.0,-0.29523809523809524,-0.08571428571428572,-0.4,0.23809523809523808,0.42857142857142855,0.5428571428571428,-0.047619047619047616,0.18095238095238095,0.3619047619047619,0.10476190476190476,0.3142857142857143,-0.10476190476190476,0.08571428571428572,0.2571428571428571,-0.0,-0.14285714285714285,0.17142857142857143,0.3619047619047619,0.3904761904761905,0.3333333333333333,0.5238095238095238,0.6285714285714286,0.2761904761904762,0.4666666666666667,0.6,0.45714285714285713,0.17142857142857143,0.3619047619047619,0.3904761904761905,0.4666666666666667,0.6190476190476191,0.7523809523809524,0.42857142857142855,0.6190476190476191,0.7142857142857143,0.7714285714285715,0.5714285714285714,0.7047619047619048,0.8095238095238095,0.4666666666666667,0.6190476190476191,0.7523809523809524,1.0,0.7142857142857143,0.8,0.8380952380952381,0.8095238095238095,0.8666666666666667,0.7523809523809524,1.0,0.8857142857142857,0.9047619047619048,0.9238095238095239,0.9619047619047619,1.0,0.9714285714285714,0.9619047619047619,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 2. 1. 1. 1.],-1.0,-0.5714285714285714,-0.7857142857142857,-0.2,-0.4714285714285714,0.08571428571428572,-0.17142857142857143,-0.42857142857142855,-0.14285714285714285,0.0,-0.32857142857142857,0.32857142857142857,-0.0,-0.2714285714285714,0.2714285714285714,-0.0,-0.0,0.8571428571428571,0.5571428571428572,0.22857142857142856,0.5142857142857142,0.21428571428571427,0.7857142857142857,0.5714285714285714,0.2,-0.08571428571428572,0.7857142857142857,0.4714285714285714,0.17142857142857143,0.42857142857142855,0.14285714285714285,0.9142857142857143,0.7,0.4,0.7142857142857143,1.0,0.9714285714285714,0.8571428571428571,1.0,1.0,0.7714285714285715,0.4714285714285714,0.9142857142857143,0.7071428571428572,0.42857142857142855,0.7142857142857143,0.9785714285714285,0.8857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.6857142857142857,0.9785714285714285,0.8857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
