,[2. 2. 2. 2. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 2. 1. 1. 1. 0.],[2. 2. 2. 2. 2. 2. 1. 0. 0.],[3. 2. 2. 1. 1. 1. 1. 1. 1.],[3. 2. 2. 2. 1. 1. 1. 1. 0.],[3. 2. 2. 2. 2. 1. 1. 0. 0.],[3. 2. 2. 2. 2. 2. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 1. 1.],[3. 3. 2. 1. 1. 1. 1. 1. 0.],[3. 3. 2. 2. 1. 1. 1. 0. 0.],[3. 3. 2. 2. 2. 1. 0. 0. 0.],[3. 3. 3. 1. 1. 1. 1. 0. 0.],[3. 3. 3. 2. 1. 1. 0. 0. 0.],[3. 3. 3. 2. 2. 0. 0. 0. 0.],[3. 3. 3. 3. 1. 0. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 1. 1. 1.],[4. 2. 2. 1. 1. 1. 1. 1. 0.],[4. 2. 2. 2. 1. 1. 1. 0. 0.],[4. 2. 2. 2. 2. 1. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 1. 1. 0.],[4. 3. 2. 1. 1. 1. 1. 0. 0.],[4. 3. 2. 2. 1. 1. 0. 0. 0.],[4. 3. 2. 2. 2. 0. 0. 0. 0.],[4. 3. 3. 1. 1. 1. 0. 0. 0.],[4. 3. 3. 2. 1. 0. 0. 0. 0.],[4. 3. 3. 3. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 1. 1. 0. 0.],[4. 4. 2. 1. 1. 1. 0. 0. 0.],[4. 4. 2. 2. 1. 0. 0. 0. 0.],[4. 4. 3. 1. 1. 0. 0. 0. 0.],[4. 4. 3. 2. 0. 0. 0. 0. 0.],[4. 4. 4. 1. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 1. 1.],[5. 2. 1. 1. 1. 1. 1. 1. 0.],[5. 2. 2. 1. 1. 1. 1. 0. 0.],[5. 2. 2. 2. 1. 1. 0. 0. 0.],[5. 2. 2. 2. 2. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 1. 1. 0. 0.],[5. 3. 2. 1. 1. 1. 0. 0. 0.],[5. 3. 2. 2. 1. 0. 0. 0. 0.],[5. 3. 3. 1. 1. 0. 0. 0. 0.],[5. 3. 3. 2. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 1. 1. 0. 0. 0.],[5. 4. 2. 1. 1. 0. 0. 0. 0.],[5. 4. 2. 2. 0. 0. 0. 0. 0.],[5. 4. 3. 1. 0. 0. 0. 0. 0.],[5. 4. 4. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 1. 1. 0. 0. 0. 0.],[5. 5. 2. 1. 0. 0. 0. 0. 0.],[5. 5. 3. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 1. 1. 0.],[6. 2. 1. 1. 1. 1. 1. 0. 0.],[6. 2. 2. 1. 1. 1. 0. 0. 0.],[6. 2. 2. 2. 1. 0. 0. 0. 0.],[6. 3. 1. 1. 1. 1. 0. 0. 0.],[6. 3. 2. 1. 1. 0. 0. 0. 0.],[6. 3. 2. 2. 0. 0. 0. 0. 0.],[6. 3. 3. 1. 0. 0. 0. 0. 0.],[6. 4. 1. 1. 1. 0. 0. 0. 0.],[6. 4. 2. 1. 0. 0. 0. 0. 0.],[6. 4. 3. 0. 0. 0. 0. 0. 0.],[6. 5. 1. 1. 0. 0. 0. 0. 0.],[6. 5. 2. 0. 0. 0. 0. 0. 0.],[6. 6. 1. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1. 1. 0. 0.],[7. 2. 1. 1. 1. 1. 0. 0. 0.],[7. 2. 2. 1. 1. 0. 0. 0. 0.],[7. 2. 2. 2. 0. 0. 0. 0. 0.],[7. 3. 1. 1. 1. 0. 0. 0. 0.],[7. 3. 2. 1. 0. 0. 0. 0. 0.],[7. 3. 3. 0. 0. 0. 0. 0. 0.],[7. 4. 1. 1. 0. 0. 0. 0. 0.],[7. 4. 2. 0. 0. 0. 0. 0. 0.],[7. 5. 1. 0. 0. 0. 0. 0. 0.],[7. 6. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 1. 0. 0. 0.],[8. 2. 1. 1. 1. 0. 0. 0. 0.],[8. 2. 2. 1. 0. 0. 0. 0. 0.],[8. 3. 1. 1. 0. 0. 0. 0. 0.],[8. 3. 2. 0. 0. 0. 0. 0. 0.],[8. 4. 1. 0. 0. 0. 0. 0. 0.],[8. 5. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 1. 0. 0. 0. 0.],[9. 2. 1. 1. 0. 0. 0. 0. 0.],[9. 2. 2. 0. 0. 0. 0. 0. 0.],[9. 3. 1. 0. 0. 0. 0. 0. 0.],[9. 4. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  1.  1.  0.  0.  0.  0.  0.],[10.  2.  1.  0.  0.  0.  0.  0.  0.],[10.  3.  0.  0.  0.  0.  0.  0.  0.],[11.  1.  1.  0.  0.  0.  0.  0.  0.],[11.  2.  0.  0.  0.  0.  0.  0.  0.],[12.  1.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.]
[2. 2. 2. 2. 1. 1. 1. 1. 1.],0.0,-0.4444444444444444,-0.7222222222222222,0.5555555555555556,0.1111111111111111,-0.2857142857142857,-0.6031746031746031,0.8333333333333334,0.5476190476190477,0.19047619047619047,-0.19047619047619047,0.6031746031746031,0.2857142857142857,-0.1111111111111111,0.4444444444444444,1.0,0.8333333333333334,0.5476190476190477,0.19047619047619047,0.9523809523809523,0.8253968253968254,0.6031746031746031,0.2857142857142857,0.8809523809523809,0.7222222222222222,1.0,0.9920634920634921,0.9603174603174603,0.8809523809523809,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,0.8253968253968254,0.6031746031746031,0.9920634920634921,0.9603174603174603,0.8809523809523809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9920634920634921,0.9603174603174603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 1. 1. 1. 0.],0.4444444444444444,0.0,-0.40476190476190477,0.5833333333333334,0.25595238095238093,-0.09126984126984126,-0.4583333333333333,0.7222222222222222,0.4444444444444444,0.15873015873015872,-0.1746031746031746,0.35714285714285715,0.08134920634920635,-0.2857142857142857,-0.0,1.0,0.8015873015873016,0.5634920634920635,0.2698412698412698,0.8809523809523809,0.6984126984126984,0.4801587301587302,0.19047619047619047,0.6428571428571429,0.4365079365079365,0.4444444444444444,0.9603174603174603,0.873015873015873,0.753968253968254,0.8690476190476191,0.7916666666666666,1.0,1.0,1.0,0.9206349206349206,0.7896825396825397,0.6031746031746031,0.9603174603174603,0.873015873015873,0.753968253968254,0.8690476190476191,0.7916666666666666,0.9920634920634921,0.9682539682539683,0.9404761904761905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904762,0.9285714285714286,0.9920634920634921,0.9682539682539683,0.9404761904761905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996031746031746,0.9900793650793651,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 2. 1. 0. 0.],0.7222222222222222,0.40476190476190477,0.0,0.6428571428571429,0.38095238095238093,0.0873015873015873,-0.3333333333333333,0.5833333333333334,0.38492063492063494,0.14285714285714285,-0.1746031746031746,0.19047619047619047,-0.07142857142857142,-0.47619047619047616,-0.30952380952380953,1.0,0.8015873015873016,0.6071428571428571,0.373015873015873,0.7619047619047619,0.5873015873015873,0.3888888888888889,0.09523809523809523,0.40476190476190477,0.17857142857142858,-0.1111111111111111,0.8809523809523809,0.7619047619047619,0.6388888888888888,0.6190476190476191,0.48412698412698413,0.8214285714285714,1.0,1.0,0.9047619047619048,0.7936507936507936,0.6666666666666666,0.8809523809523809,0.7619047619047619,0.6388888888888888,0.6190476190476191,0.48412698412698413,0.9523809523809523,0.8968253968253969,0.8809523809523809,0.8214285714285714,1.0,0.9880952380952381,0.9801587301587301,1.0,1.0,1.0,0.9642857142857143,0.9285714285714286,0.9523809523809523,0.8968253968253969,0.8809523809523809,0.8214285714285714,0.9880952380952381,0.9801587301587301,1.0,1.0,1.0,1.0,1.0,1.0,0.9920634920634921,1.0,0.9880952380952381,0.9801587301587301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 1. 1. 1. 1.],-0.5555555555555556,-0.5833333333333334,-0.6428571428571429,0.0,-0.17857142857142858,-0.3055555555555556,-0.40476190476190477,0.5555555555555556,0.2976190476190476,0.0873015873015873,-0.07539682539682539,0.5476190476190477,0.34523809523809523,0.15476190476190477,0.6666666666666666,0.6944444444444444,0.4365079365079365,0.2261904761904762,0.06349206349206349,0.8134920634920635,0.6428571428571429,0.4523809523809524,0.26587301587301587,0.8412698412698413,0.7023809523809523,1.0,0.9523809523809523,0.8809523809523809,0.7619047619047619,1.0,1.0,1.0,1.0,0.9206349206349206,0.7857142857142857,0.6190476190476191,0.4444444444444444,0.9642857142857143,0.9047619047619048,0.8015873015873016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9880952380952381,0.9523809523809523,0.8809523809523809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 1. 1. 1. 1. 0.],-0.1111111111111111,-0.25595238095238093,-0.38095238095238093,0.17857142857142858,0.0,-0.1523809523809524,-0.2857142857142857,0.4166666666666667,0.2361111111111111,0.07698412698412699,-0.075,0.30238095238095236,0.15555555555555556,-0.0,0.2619047619047619,0.6527777777777778,0.45634920634920634,0.2908730158730159,0.1380952380952381,0.6607142857142857,0.5047619047619047,0.3615079365079365,0.2111111111111111,0.5825396825396826,0.4623015873015873,0.6527777777777778,0.8412698412698413,0.7293650793650793,0.6190476190476191,0.8253968253968254,0.7619047619047619,1.0,1.0,0.8690476190476191,0.7325396825396825,0.6031746031746031,0.4666666666666667,0.871031746031746,0.773015873015873,0.6753968253968254,0.8571428571428571,0.8015873015873016,0.9634920634920635,0.9206349206349206,0.8809523809523809,1.0,1.0,1.0,1.0,1.0,1.0,0.9623015873015873,0.8992063492063492,0.8277777777777777,0.971031746031746,0.9349206349206349,0.9007936507936508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9936507936507937,0.9777777777777777,0.9603174603174603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 1. 1. 0. 0.],0.2857142857142857,0.09126984126984126,-0.0873015873015873,0.3055555555555556,0.1523809523809524,0.0,-0.1626984126984127,0.3333333333333333,0.2037037037037037,0.07089947089947089,-0.07698412698412699,0.13174603174603175,-0.0,-0.16507936507936508,-0.07936507936507936,0.6388888888888888,0.4880952380952381,0.3547619047619048,0.21984126984126984,0.5158730158730159,0.4015873015873016,0.285978835978836,0.1523809523809524,0.34206349206349207,0.23253968253968255,0.1865079365079365,0.6825396825396826,0.5888888888888889,0.5010582010582011,0.5574074074074075,0.4973544973544973,0.7817460317460317,1.0,0.8253968253968254,0.71005291005291,0.6111111111111112,0.5079365079365079,0.7301587301587301,0.6452380952380953,0.5693121693121693,0.6148148148148148,0.5701058201058201,0.8571428571428571,0.8031746031746032,0.7751322751322751,0.8148148148148148,1.0,0.9603174603174603,0.9470899470899471,1.0,1.0,0.9285714285714286,0.8634920634920635,0.8119047619047619,0.8809523809523809,0.8351851851851851,0.8134920634920635,0.8478835978835979,0.9603174603174603,0.9470899470899471,1.0,1.0,1.0,1.0,1.0,0.9777777777777777,0.953968253968254,0.9484126984126984,0.9674603174603175,0.9563492063492064,1.0,1.0,1.0,1.0,1.0,1.0,0.996031746031746,0.9933862433862434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 2. 0. 0. 0.],0.6031746031746031,0.4583333333333333,0.3333333333333333,0.40476190476190477,0.2857142857142857,0.1626984126984127,0.0,0.3055555555555556,0.1865079365079365,0.06746031746031746,-0.08134920634920635,-0.0,-0.1349206349206349,-0.36904761904761907,-0.35714285714285715,0.6527777777777778,0.5238095238095238,0.4226190476190476,0.3253968253968254,0.4146825396825397,0.31746031746031744,0.21626984126984128,0.07539682539682539,0.1349206349206349,0.00992063492063492,-0.27976190476190477,0.5238095238095238,0.4523809523809524,0.38095238095238093,0.28174603174603174,0.16666666666666666,0.4642857142857143,1.0,0.8015873015873016,0.7063492063492064,0.6428571428571429,0.6111111111111112,0.5833333333333334,0.5178571428571429,0.4623015873015873,0.3492063492063492,0.26587301587301587,0.6904761904761905,0.6547619047619048,0.6626984126984127,0.5238095238095238,0.7619047619047619,0.8333333333333334,0.8412698412698413,0.8015873015873016,1.0,0.9007936507936508,0.8492063492063492,0.8392857142857143,0.7341269841269841,0.7063492063492064,0.7321428571428571,0.5833333333333334,0.8333333333333334,0.8412698412698413,0.8015873015873016,0.9404761904761905,1.0,1.0,1.0,0.9603174603174603,0.9484126984126984,1.0,0.8591269841269841,0.871031746031746,0.8412698412698413,0.9404761904761905,1.0,1.0,1.0,1.0,0.9900793650793651,1.0,0.9503968253968254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 1. 1. 1. 1. 1. 1. 1.],-0.8333333333333334,-0.7222222222222222,-0.5833333333333334,-0.5555555555555556,-0.4166666666666667,-0.3333333333333333,-0.3055555555555556,0.0,-0.0,-0.0,-0.0,0.5555555555555556,0.4166666666666667,0.3333333333333333,0.8333333333333334,-0.0,-0.0,-0.0,-0.0,0.5555555555555556,0.4166666666666667,0.3333333333333333,0.3055555555555556,0.8333333333333334,0.7222222222222222,1.0,0.8333333333333334,0.7222222222222222,0.5833333333333334,1.0,1.0,1.0,0.7777777777777778,0.6111111111111112,0.5,0.4444444444444444,0.4444444444444444,0.9166666666666666,0.8333333333333334,0.7222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,0.9166666666666666,0.8333333333333334,0.7222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 1. 1. 1. 1. 1. 0.],-0.5476190476190477,-0.4444444444444444,-0.38492063492063494,-0.2976190476190476,-0.2361111111111111,-0.2037037037037037,-0.1865079365079365,0.0,0.0,-0.0,-0.0,0.2619047619047619,0.23214285714285715,0.20634920634920634,0.5158730158730159,0.08333333333333333,0.07407407407407407,0.06746031746031746,0.06349206349206349,0.3492063492063492,0.29894179894179895,0.26587301587301587,0.24603174603174602,0.5476190476190477,0.49603174603174605,0.8015873015873016,0.6111111111111112,0.5396825396825397,0.49074074074074076,0.794973544973545,0.751984126984127,1.0,0.6666666666666666,0.5416666666666666,0.47883597883597884,0.4365079365079365,0.4126984126984127,0.7407407407407407,0.6686507936507936,0.6190476190476191,0.8703703703703703,0.8346560846560847,0.8968253968253969,0.8412698412698413,0.8015873015873016,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.828042328042328,0.7619047619047619,0.7142857142857143,0.9404761904761905,0.8994708994708994,0.8677248677248677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9880952380952381,0.9623015873015873,0.9285714285714286,0.9007936507936508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 1. 1. 1. 0. 0.],-0.19047619047619047,-0.15873015873015872,-0.14285714285714285,-0.0873015873015873,-0.07698412698412699,-0.07089947089947089,-0.06746031746031746,0.0,0.0,0.0,-0.0,0.07301587301587302,0.07341269841269842,0.07301587301587302,0.16507936507936508,0.1388888888888889,0.13756613756613756,0.13293650793650794,0.12857142857142856,0.21428571428571427,0.20714285714285716,0.20105820105820105,0.19603174603174603,0.28809523809523807,0.2896825396825397,0.4444444444444444,0.40476190476190477,0.39365079365079364,0.3835978835978836,0.5031746031746032,0.5105820105820106,0.7420634920634921,0.5555555555555556,0.5,0.4656084656084656,0.4452380952380952,0.43492063492063493,0.5515873015873016,0.5313492063492063,0.5203703703703704,0.629100529100529,0.6402116402116402,0.707936507936508,0.6904761904761905,0.6825396825396826,0.8214285714285714,1.0,0.9119047619047619,0.9007936507936508,1.0,0.8333333333333334,0.753968253968254,0.7166666666666667,0.696031746031746,0.8,0.782010582010582,0.7777777777777778,0.8862433862433863,0.9119047619047619,0.9007936507936508,1.0,1.0,1.0,1.0,0.9523809523809523,0.9063492063492063,0.8825396825396825,0.873015873015873,0.9452380952380952,0.9365079365079365,1.0,1.0,1.0,1.0,1.0,0.9920634920634921,0.9785714285714285,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
