,[2. 2. 2. 2. 1. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 2. 1. 1. 1. 1. 0.],[2. 2. 2. 2. 2. 2. 1. 1. 0. 0.],[2. 2. 2. 2. 2. 2. 2. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 1. 1. 1. 1.],[3. 2. 2. 2. 1. 1. 1. 1. 1. 0.],[3. 2. 2. 2. 2. 1. 1. 1. 0. 0.],[3. 2. 2. 2. 2. 2. 1. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 1. 1. 1.],[3. 3. 2. 1. 1. 1. 1. 1. 1. 0.],[3. 3. 2. 2. 1. 1. 1. 1. 0. 0.],[3. 3. 2. 2. 2. 1. 1. 0. 0. 0.],[3. 3. 2. 2. 2. 2. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 1. 1. 1. 0. 0.],[3. 3. 3. 2. 1. 1. 1. 0. 0. 0.],[3. 3. 3. 2. 2. 1. 0. 0. 0. 0.],[3. 3. 3. 3. 1. 1. 0. 0. 0. 0.],[3. 3. 3. 3. 2. 0. 0. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 1. 1. 1. 1.],[4. 2. 2. 1. 1. 1. 1. 1. 1. 0.],[4. 2. 2. 2. 1. 1. 1. 1. 0. 0.],[4. 2. 2. 2. 2. 1. 1. 0. 0. 0.],[4. 2. 2. 2. 2. 2. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 1. 1. 1. 0.],[4. 3. 2. 1. 1. 1. 1. 1. 0. 0.],[4. 3. 2. 2. 1. 1. 1. 0. 0. 0.],[4. 3. 2. 2. 2. 1. 0. 0. 0. 0.],[4. 3. 3. 1. 1. 1. 1. 0. 0. 0.],[4. 3. 3. 2. 1. 1. 0. 0. 0. 0.],[4. 3. 3. 2. 2. 0. 0. 0. 0. 0.],[4. 3. 3. 3. 1. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 1. 1. 1. 0. 0.],[4. 4. 2. 1. 1. 1. 1. 0. 0. 0.],[4. 4. 2. 2. 1. 1. 0. 0. 0. 0.],[4. 4. 2. 2. 2. 0. 0. 0. 0. 0.],[4. 4. 3. 1. 1. 1. 0. 0. 0. 0.],[4. 4. 3. 2. 1. 0. 0. 0. 0. 0.],[4. 4. 3. 3. 0. 0. 0. 0. 0. 0.],[4. 4. 4. 1. 1. 0. 0. 0. 0. 0.],[4. 4. 4. 2. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[5. 2. 1. 1. 1. 1. 1. 1. 1. 0.],[5. 2. 2. 1. 1. 1. 1. 1. 0. 0.],[5. 2. 2. 2. 1. 1. 1. 0. 0. 0.],[5. 2. 2. 2. 2. 1. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 1. 1. 1. 0. 0.],[5. 3. 2. 1. 1. 1. 1. 0. 0. 0.],[5. 3. 2. 2. 1. 1. 0. 0. 0. 0.],[5. 3. 2. 2. 2. 0. 0. 0. 0. 0.],[5. 3. 3. 1. 1. 1. 0. 0. 0. 0.],[5. 3. 3. 2. 1. 0. 0. 0. 0. 0.],[5. 3. 3. 3. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 1. 1. 1. 0. 0. 0.],[5. 4. 2. 1. 1. 1. 0. 0. 0. 0.],[5. 4. 2. 2. 1. 0. 0. 0. 0. 0.],[5. 4. 3. 1. 1. 0. 0. 0. 0. 0.],[5. 4. 3. 2. 0. 0. 0. 0. 0. 0.],[5. 4. 4. 1. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 1. 1. 1. 0. 0. 0. 0.],[5. 5. 2. 1. 1. 0. 0. 0. 0. 0.],[5. 5. 2. 2. 0. 0. 0. 0. 0. 0.],[5. 5. 3. 1. 0. 0. 0. 0. 0. 0.],[5. 5. 4. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 1. 1. 1. 0.],[6. 2. 1. 1. 1. 1. 1. 1. 0. 0.],[6. 2. 2. 1. 1. 1. 1. 0. 0. 0.],[6. 2. 2. 2. 1. 1. 0. 0. 0. 0.],[6. 2. 2. 2. 2. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 1. 1. 1. 0. 0. 0.],[6. 3. 2. 1. 1. 1. 0. 0. 0. 0.],[6. 3. 2. 2. 1. 0. 0. 0. 0. 0.],[6. 3. 3. 1. 1. 0. 0. 0. 0. 0.],[6. 3. 3. 2. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 1. 1. 1. 0. 0. 0. 0.],[6. 4. 2. 1. 1. 0. 0. 0. 0. 0.],[6. 4. 2. 2. 0. 0. 0. 0. 0. 0.],[6. 4. 3. 1. 0. 0. 0. 0. 0. 0.],[6. 4. 4. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 1. 1. 1. 0. 0. 0. 0. 0.],[6. 5. 2. 1. 0. 0. 0. 0. 0. 0.],[6. 5. 3. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 1. 1. 0. 0. 0. 0. 0. 0.],[6. 6. 2. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[7. 2. 1. 1. 1. 1. 1. 0. 0. 0.],[7. 2. 2. 1. 1. 1. 0. 0. 0. 0.],[7. 2. 2. 2. 1. 0. 0. 0. 0. 0.],[7. 3. 1. 1. 1. 1. 0. 0. 0. 0.],[7. 3. 2. 1. 1. 0. 0. 0. 0. 0.],[7. 3. 2. 2. 0. 0. 0. 0. 0. 0.],[7. 3. 3. 1. 0. 0. 0. 0. 0. 0.],[7. 4. 1. 1. 1. 0. 0. 0. 0. 0.],[7. 4. 2. 1. 0. 0. 0. 0. 0. 0.],[7. 4. 3. 0. 0. 0. 0. 0. 0. 0.],[7. 5. 1. 1. 0. 0. 0. 0. 0. 0.],[7. 5. 2. 0. 0. 0. 0. 0. 0. 0.],[7. 6. 1. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[8. 2. 1. 1. 1. 1. 0. 0. 0. 0.],[8. 2. 2. 1. 1. 0. 0. 0. 0. 0.],[8. 2. 2. 2. 0. 0. 0. 0. 0. 0.],[8. 3. 1. 1. 1. 0. 0. 0. 0. 0.],[8. 3. 2. 1. 0. 0. 0. 0. 0. 0.],[8. 3. 3. 0. 0. 0. 0. 0. 0. 0.],[8. 4. 1. 1. 0. 0. 0. 0. 0. 0.],[8. 4. 2. 0. 0. 0. 0. 0. 0. 0.],[8. 5. 1. 0. 0. 0. 0. 0. 0. 0.],[8. 6. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[9. 2. 1. 1. 1. 0. 0. 0. 0. 0.],[9. 2. 2. 1. 0. 0. 0. 0. 0. 0.],[9. 3. 1. 1. 0. 0. 0. 0. 0. 0.],[9. 3. 2. 0. 0. 0. 0. 0. 0. 0.],[9. 4. 1. 0. 0. 0. 0. 0. 0. 0.],[9. 5. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  1.  1.  1.  0.  0.  0.  0.  0.],[10.  2.  1.  1.  0.  0.  0.  0.  0.  0.],[10.  2.  2.  0.  0.  0.  0.  0.  0.  0.],[10.  3.  1.  0.  0.  0.  0.  0.  0.  0.],[10.  4.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  1.  1.  1.  0.  0.  0.  0.  0.  0.],[11.  2.  1.  0.  0.  0.  0.  0.  0.  0.],[11.  3.  0.  0.  0.  0.  0.  0.  0.  0.],[12.  1.  1.  0.  0.  0.  0.  0.  0.  0.],[12.  2.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  1.  0.  0.  0.  0.  0.  0.  0.  0.],[14.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[2. 2. 2. 2. 1. 1. 1. 1. 1. 1.],0.0,-0.4,-0.6666666666666666,-0.8333333333333334,0.6,0.2,-0.16666666666666666,-0.47619047619047616,0.8666666666666667,0.6333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,0.7142857142857143,0.47619047619047616,0.16666666666666666,0.6666666666666666,0.4,1.0,0.8666666666666667,0.6333333333333333,0.3333333333333333,-0.0,0.9666666666666667,0.8761904761904762,0.7142857142857143,0.47619047619047616,0.9285714285714286,0.8333333333333334,0.6666666666666666,1.0,0.9952380952380953,0.9761904761904762,0.9285714285714286,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.8761904761904762,0.7142857142857143,0.9952380952380953,0.9761904761904762,0.9285714285714286,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9952380952380953,0.9761904761904762,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 1. 1. 1. 1. 0.],0.4,0.0,-0.34444444444444444,-0.6333333333333333,0.6111111111111112,0.3055555555555556,-0.0,-0.3134920634920635,0.7777777777777778,0.5317460317460317,0.2777777777777778,-0.0,-0.31746031746031744,0.503968253968254,0.27380952380952384,-0.0,0.28888888888888886,-0.0,1.0,0.8333333333333334,0.623015873015873,0.376984126984127,0.07936507936507936,0.9166666666666666,0.7738095238095238,0.5952380952380952,0.376984126984127,0.7642857142857142,0.6103174603174604,0.4166666666666667,0.6777777777777778,0.9761904761904762,0.9174603174603174,0.8285714285714286,0.7142857142857143,0.930952380952381,0.8722222222222222,1.0,1.0,1.0,1.0,1.0,0.9404761904761905,0.8333333333333334,0.6865079365079365,0.9761904761904762,0.9174603174603174,0.8285714285714286,0.7142857142857143,0.930952380952381,0.8722222222222222,1.0,0.996031746031746,0.9825396825396825,0.9595238095238096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841269841269841,0.9468253968253968,0.8928571428571429,0.996031746031746,0.9825396825396825,0.9595238095238096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9976190476190476,0.9912698412698413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 2. 1. 1. 0. 0.],0.6666666666666666,0.34444444444444444,0.0,-0.4,0.65,0.40476190476190477,0.14523809523809525,-0.16666666666666666,0.6666666666666666,0.4642857142857143,0.25,-0.0,-0.3333333333333333,0.3333333333333333,0.12380952380952381,-0.14523809523809525,-0.0,-0.34444444444444444,1.0,0.8214285714285714,0.6428571428571429,0.44047619047619047,0.16666666666666666,0.8333333333333334,0.6746031746031746,0.5071428571428571,0.30396825396825394,0.5619047619047619,0.3976190476190476,0.17222222222222222,0.3,0.9285714285714286,0.8333333333333334,0.7317460317460317,0.6214285714285714,0.7619047619047619,0.6714285714285714,0.6666666666666666,0.9142857142857143,0.9166666666666666,1.0,1.0,0.9206349206349206,0.819047619047619,0.7015873015873015,0.9285714285714286,0.8333333333333334,0.7317460317460317,0.6214285714285714,0.7619047619047619,0.6714285714285714,0.6666666666666666,0.9761904761904762,0.9357142857142857,0.9,0.9142857142857143,0.9166666666666666,1.0,0.9952380952380953,0.9865079365079366,0.9880952380952381,1.0,1.0,1.0,1.0,0.9714285714285714,0.930952380952381,0.9,0.9761904761904762,0.9357142857142857,0.9,0.9142857142857143,0.9166666666666666,0.9952380952380953,0.9865079365079366,0.9880952380952381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9928571428571429,0.9857142857142858,0.9952380952380953,0.9865079365079366,0.9880952380952381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992063492063492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 2. 2. 0. 0. 0.],0.8333333333333334,0.6333333333333333,0.4,0.0,0.7083333333333334,0.5,0.2833333333333333,-0.0,0.5333333333333333,0.4166666666666667,0.23333333333333334,-0.0,-0.4,0.20833333333333334,-0.0,-0.2833333333333333,-0.23333333333333334,-0.6333333333333333,1.0,0.8333333333333334,0.6833333333333333,0.525,0.3,0.7083333333333334,0.5833333333333334,0.43333333333333335,0.24166666666666667,0.38333333333333336,0.2,-0.10833333333333334,-0.05,0.8333333333333334,0.7333333333333333,0.6333333333333333,0.5333333333333333,0.5583333333333333,0.43333333333333335,0.16666666666666666,0.725,0.7083333333333334,1.0,1.0,0.9166666666666666,0.8333333333333334,0.7666666666666667,0.8333333333333334,0.7333333333333333,0.6333333333333333,0.5333333333333333,0.5583333333333333,0.43333333333333335,0.16666666666666666,0.9166666666666666,0.8583333333333333,0.825,0.725,0.7083333333333334,0.875,0.9666666666666667,0.95,1.0,0.875,1.0,1.0,1.0,0.9666666666666667,0.9416666666666667,1.0,0.9166666666666666,0.8583333333333333,0.825,0.725,0.7083333333333334,0.9666666666666667,0.95,1.0,0.875,1.0,0.9916666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.9916666666666667,1.0,0.9666666666666667,0.95,1.0,0.875,0.9916666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9916666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 1. 1. 1. 1. 1.],-0.6,-0.6111111111111112,-0.65,-0.7083333333333334,0.0,-0.1638888888888889,-0.2833333333333333,-0.375,0.6,0.3611111111111111,0.16111111111111112,-0.0,-0.12222222222222222,0.6333333333333333,0.4583333333333333,0.2833333333333333,0.7666666666666667,0.6111111111111112,0.7222222222222222,0.48333333333333334,0.2833333333333333,0.12222222222222222,-0.0,0.85,0.7083333333333334,0.5444444444444444,0.375,0.8888888888888888,0.7916666666666666,0.65,1.0,0.9666666666666667,0.9166666666666666,0.8333333333333334,0.7083333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.9361111111111111,0.825,0.6833333333333333,0.5277777777777778,0.975,0.9333333333333333,0.8611111111111112,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9916666666666667,0.9666666666666667,0.9166666666666666,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 1. 1. 1. 1. 1. 0.],-0.2,-0.3055555555555556,-0.40476190476190477,-0.5,0.1638888888888889,0.0,-0.1361111111111111,-0.25496031746031744,0.4666666666666667,0.28809523809523807,0.1380952380952381,-0.0,-0.12698412698412698,0.40595238095238095,0.2708333333333333,0.1361111111111111,0.42857142857142855,0.3055555555555556,0.6777777777777778,0.4853174603174603,0.3281746031746032,0.1873015873015873,0.05952380952380952,0.7208333333333333,0.575595238095238,0.44345238095238093,0.3125,0.6833333333333333,0.5773809523809523,0.4623015873015873,0.7597222222222222,0.8857142857142857,0.7936507936507936,0.6984126984126984,0.5952380952380952,0.8888888888888888,0.8323412698412699,1.0,1.0,1.0,1.0,0.8916666666666667,0.7678571428571429,0.6482142857142857,0.5285714285714286,0.9071428571428571,0.8263888888888888,0.7412698412698413,0.6488095238095238,0.9087301587301587,0.8591269841269841,1.0,0.9777777777777777,0.9484126984126984,0.9126984126984127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726190476190476,0.9218253968253968,0.8595238095238096,0.7896825396825397,0.9823412698412698,0.9575396825396826,0.9265873015873016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996031746031746,0.984920634920635,0.9682539682539683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 1. 1. 1. 0. 0.],0.16666666666666666,0.0,-0.14523809523809525,-0.2833333333333333,0.2833333333333333,0.1361111111111111,0.0,-0.1353174603174603,0.37777777777777777,0.2488095238095238,0.1253968253968254,-0.0,-0.1349206349206349,0.2365079365079365,0.12380952380952381,-0.0,0.13015873015873017,-0.0,0.6555555555555556,0.5047619047619047,0.375,0.2523809523809524,0.12698412698412698,0.5888888888888889,0.4738095238095238,0.3665079365079365,0.2563492063492063,0.4688888888888889,0.37857142857142856,0.2777777777777778,0.42023809523809524,0.7619047619047619,0.6695238095238095,0.5882539682539683,0.503968253968254,0.683015873015873,0.6305555555555555,0.75,0.8706349206349207,0.875,1.0,0.85,0.7365079365079366,0.6388095238095238,0.5452380952380952,0.7976190476190477,0.7134920634920635,0.6402380952380953,0.5674603174603174,0.7243650793650793,0.6793650793650794,0.7916666666666666,0.9087301587301587,0.8572222222222222,0.8198412698412698,0.8892857142857142,0.8928571428571429,1.0,0.9793650793650793,0.9638888888888889,0.9642857142857143,1.0,1.0,1.0,0.9452380952380952,0.8841269841269841,0.8296825396825397,0.780952380952381,0.9238095238095239,0.8792063492063492,0.8472222222222222,0.9079365079365079,0.9107142857142857,0.9793650793650793,0.9638888888888889,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984920634920635,0.9626190476190476,0.9452380952380952,0.983015873015873,0.9698412698412698,0.9702380952380952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9976190476190476,0.9936507936507937,0.9940476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 2. 1. 0. 0. 0.],0.47619047619047616,0.3134920634920635,0.16666666666666666,0.0,0.375,0.25496031746031744,0.1353174603174603,0.0,0.3333333333333333,0.22420634920634921,0.11746031746031746,-0.0,-0.15555555555555556,0.10714285714285714,-0.0,-0.1353174603174603,-0.12063492063492064,-0.3134920634920635,0.6555555555555556,0.5297619047619048,0.4261904761904762,0.3281746031746032,0.21666666666666667,0.4791666666666667,0.3898809523809524,0.3001984126984127,0.20297619047619048,0.28015873015873016,0.18968253968253967,0.07063492063492063,0.07678571428571429,0.6190476190476191,0.5492063492063493,0.48412698412698413,0.41904761904761906,0.45714285714285713,0.39861111111111114,0.32142857142857145,0.6416666666666667,0.6547619047619048,1.0,0.8194444444444444,0.7222222222222222,0.6482142857142857,0.5896825396825397,0.6666666666666666,0.6011904761904762,0.5444444444444444,0.4982142857142857,0.5095238095238095,0.4626984126984127,0.39880952380952384,0.7857142857142857,0.7428571428571429,0.723015873015873,0.6817460317460318,0.7023809523809523,0.8511904761904762,0.9047619047619048,0.8920634920634921,0.9246031746031746,0.873015873015873,1.0,1.0,0.9166666666666666,0.8595238095238096,0.8238095238095238,0.8166666666666667,0.8154761904761905,0.7783730158730159,0.7652777777777777,0.7218253968253968,0.75,0.9047619047619048,0.8920634920634921,0.9246031746031746,0.873015873015873,1.0,0.9738095238095238,0.9821428571428571,1.0,1.0,1.0,1.0,0.9682539682539683,0.9452380952380952,0.9428571428571428,0.919047619047619,0.9093253968253968,0.9384920634920635,0.8948412698412699,0.9738095238095238,0.9821428571428571,1.0,1.0,1.0,1.0,1.0,1.0,0.9912698412698413,0.9876984126984127,1.0,0.9779761904761904,0.9851190476190477,1.0,1.0,1.0,1.0,1.0,1.0,0.9988095238095238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 1. 1. 1. 1. 1. 1. 1. 1.],-0.8666666666666667,-0.7777777777777778,-0.6666666666666666,-0.5333333333333333,-0.6,-0.4666666666666667,-0.37777777777777777,-0.3333333333333333,0.0,-0.0,-0.0,-0.0,-0.0,0.6,0.4666666666666667,0.37777777777777777,0.8666666666666667,0.7777777777777778,-0.0,-0.0,-0.0,-0.0,-0.0,0.6,0.4666666666666667,0.37777777777777777,0.3333333333333333,0.8666666666666667,0.7777777777777778,0.6666666666666666,1.0,0.8666666666666667,0.7777777777777778,0.6666666666666666,0.5333333333333333,1.0,1.0,1.0,1.0,1.0,0.8,0.6444444444444445,0.5333333333333333,0.4666666666666667,0.4444444444444444,0.9333333333333333,0.8666666666666667,0.7777777777777778,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777777,0.9333333333333333,0.8666666666666667,0.7777777777777778,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 1. 1. 1. 1. 1. 1. 0.],-0.6333333333333333,-0.5317460317460317,-0.4642857142857143,-0.4166666666666667,-0.3611111111111111,-0.28809523809523807,-0.2488095238095238,-0.22420634920634921,0.0,0.0,-0.0,-0.0,-0.0,0.31666666666666665,0.2785714285714286,0.2488095238095238,0.5825396825396826,0.5317460317460317,0.07777777777777778,0.06865079365079366,0.06190476190476191,0.057539682539682536,0.05555555555555555,0.4027777777777778,0.3412698412698413,0.30357142857142855,0.2765873015873016,0.6170634920634921,0.5611111111111111,0.5119047619047619,0.8392857142857143,0.6785714285714286,0.6031746031746031,0.5515873015873016,0.5,0.8472222222222222,0.8011904761904762,1.0,1.0,1.0,0.7,0.5694444444444444,0.4996031746031746,0.45476190476190476,0.423015873015873,0.7857142857142857,0.7130952380952381,0.6611111111111111,0.6130952380952381,0.9023809523809524,0.8650793650793651,1.0,0.9261904761904762,0.8809523809523809,0.8392857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.8551587301587301,0.7892857142857143,0.7404761904761905,0.6944444444444444,0.9571428571428572,0.9238095238095239,0.8908730158730159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9916666666666667,0.9726190476190476,0.9452380952380952,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
