,[5. 5. 4.],[6. 4. 4.],[6. 5. 3.],[6. 6. 2.],[7. 4. 3.],[7. 5. 2.],[7. 6. 1.],[7. 7. 0.],[8. 3. 3.],[8. 4. 2.],[8. 5. 1.],[8. 6. 0.],[9. 3. 2.],[9. 4. 1.],[9. 5. 0.],[10.  2.  2.],[10.  3.  1.],[10.  4.  0.],[11.  2.  1.],[11.  3.  0.],[12.  1.  1.],[12.  2.  0.],[13.  1.  0.],[14.  0.  0.]
[5. 5. 4.],0.0,0.3333333333333333,-0.3333333333333333,-1.0,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,0.6666666666666666,-0.3333333333333333,-1.0,1.0,0.6666666666666666,-0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
[6. 4. 4.],-0.3333333333333333,0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,1.0,0.3333333333333333,-0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
[6. 5. 3.],0.3333333333333333,0.0,0.0,-0.3333333333333333,-0.0,-0.0,-0.6666666666666666,-1.0,0.3333333333333333,0.3333333333333333,-0.0,-0.6666666666666666,0.6666666666666666,0.3333333333333333,-0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
[6. 6. 2.],1.0,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-1.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
[7. 4. 3.],-0.6666666666666666,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,-0.0,-0.3333333333333333,1.0,0.6666666666666666,-0.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
[7. 5. 2.],0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
[7. 6. 1.],1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[7. 7. 0.],1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.0,0.3333333333333333
[8. 3. 3.],-1.0,-1.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,-0.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,1.0
[8. 4. 2.],-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
