,[4. 4. 3. 3.],[4. 4. 4. 2.],[5. 3. 3. 3.],[5. 4. 3. 2.],[5. 4. 4. 1.],[5. 5. 2. 2.],[5. 5. 3. 1.],[5. 5. 4. 0.],[6. 3. 3. 2.],[6. 4. 2. 2.],[6. 4. 3. 1.],[6. 4. 4. 0.],[6. 5. 2. 1.],[6. 5. 3. 0.],[6. 6. 1. 1.],[6. 6. 2. 0.],[7. 3. 2. 2.],[7. 3. 3. 1.],[7. 4. 2. 1.],[7. 4. 3. 0.],[7. 5. 1. 1.],[7. 5. 2. 0.],[7. 6. 1. 0.],[7. 7. 0. 0.],[8. 2. 2. 2.],[8. 3. 2. 1.],[8. 3. 3. 0.],[8. 4. 1. 1.],[8. 4. 2. 0.],[8. 5. 1. 0.],[8. 6. 0. 0.],[9. 2. 2. 1.],[9. 3. 1. 1.],[9. 3. 2. 0.],[9. 4. 1. 0.],[9. 5. 0. 0.],[10.  2.  1.  1.],[10.  2.  2.  0.],[10.  3.  1.  0.],[10.  4.  0.  0.],[11.  1.  1.  1.],[11.  2.  1.  0.],[11.  3.  0.  0.],[12.  1.  1.  0.],[12.  2.  0.  0.],[13.  1.  0.  0.],[14.  0.  0.  0.]
[4. 4. 3. 3.],0.0,-0.5,0.5,-0.0,-0.8333333333333334,-0.0,-0.5,-1.0,0.8333333333333334,0.5,-0.0,-0.8333333333333334,-0.0,-0.5,-0.0,-0.0,1.0,0.8333333333333334,0.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,0.8333333333333334,0.5,0.5,-0.0,-0.0,1.0,1.0,1.0,0.5,-0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 4. 4. 2.],0.5,0.0,0.25,-0.0,-0.5,-0.5,-0.25,-1.0,0.5,0.25,0.25,-0.5,-0.25,-0.25,-0.0,-0.25,0.75,0.5,0.5,0.25,-0.0,-0.25,-0.0,-0.0,1.0,0.75,0.5,0.75,0.5,-0.0,-0.0,1.0,0.75,0.75,0.75,-0.0,1.0,1.0,0.75,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0
[5. 3. 3. 3.],-0.5,-0.25,0.0,-0.0,-0.5,0.5,-0.25,-0.75,0.5,0.25,-0.25,-0.5,0.25,-0.5,-0.0,-0.0,1.0,0.5,0.25,-0.25,0.25,0.25,-0.0,-0.0,1.0,1.0,0.5,0.25,0.25,0.25,-0.0,1.0,1.0,1.0,0.25,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[5. 4. 3. 2.],0.0,0.0,0.0,0.0,-0.16666666666666666,-0.0,-0.16666666666666666,-0.5833333333333334,0.16666666666666666,0.16666666666666666,-0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.25,0.5833333333333334,0.3333333333333333,0.3333333333333333,-0.0,0.25,-0.0,-0.0,-0.0,1.0,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.25,-0.0,1.0,0.75,0.6666666666666666,0.5,0.25,1.0,1.0,0.75,0.5,1.0,1.0,0.75,1.0,1.0,1.0,1.0
[5. 4. 4. 1.],0.8333333333333334,0.5,0.5,0.16666666666666666,0.0,-0.3333333333333333,-0.16666666666666666,-0.4166666666666667,0.25,-0.08333333333333333,0.16666666666666666,-0.0,-0.3333333333333333,-0.08333333333333333,-0.5,-0.25,0.25,0.5,0.16666666666666666,0.3333333333333333,-0.25,-0.08333333333333333,-0.25,-0.0,0.25,0.5,0.5,0.4166666666666667,0.3333333333333333,-0.0,-0.0,0.5,0.75,0.5,0.5833333333333334,0.25,0.75,0.5,0.75,0.75,1.0,0.75,0.75,1.0,0.75,1.0,1.0
[5. 5. 2. 2.],0.0,0.5,-0.5,0.0,0.3333333333333333,0.0,-0.0,-0.0,-0.3333333333333333,-0.0,-0.0,-0.0,-0.0,-0.3333333333333333,-0.0,-0.5,-0.0,-0.0,0.3333333333333333,-0.0,0.5,-0.0,-0.0,-0.0,0.5,0.3333333333333333,-0.0,0.5,0.3333333333333333,0.5,-0.0,0.8333333333333334,0.5,0.3333333333333333,0.5,0.5,1.0,0.8333333333333334,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0
[5. 5. 3. 1.],0.5,0.25,0.25,0.16666666666666666,0.16666666666666666,0.0,0.0,-0.0,-0.08333333333333333,-0.0,-0.0,-0.0,-0.16666666666666666,-0.16666666666666666,-0.5,-0.25,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.0,0.08333333333333333,-0.25,-0.0,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.25,-0.0,0.5,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.5,0.75,0.5,0.6666666666666666,0.5,1.0,0.75,0.75,1.0,0.75,1.0,1.0
[5. 5. 4. 0.],1.0,1.0,0.75,0.5833333333333334,0.4166666666666667,0.0,0.0,0.0,0.25,0.08333333333333333,0.08333333333333333,0.16666666666666666,-0.3333333333333333,-0.16666666666666666,-0.5,-0.5,0.25,0.25,0.08333333333333333,0.3333333333333333,-0.3333333333333333,-0.16666666666666666,-0.5,-0.5,0.25,0.25,0.5,0.08333333333333333,0.3333333333333333,-0.16666666666666666,-0.5,0.25,0.25,0.5,0.3333333333333333,-0.0,0.25,0.5,0.5,0.5833333333333334,0.25,0.5,0.75,0.5,0.75,0.75,1.0
[6. 3. 3. 2.],-0.8333333333333334,-0.5,-0.5,-0.16666666666666666,-0.25,0.3333333333333333,0.08333333333333333,-0.25,0.0,0.16666666666666666,-0.16666666666666666,-0.5,0.3333333333333333,-0.16666666666666666,0.5,0.25,0.4166666666666667,-0.0,0.08333333333333333,-0.3333333333333333,0.25,0.08333333333333333,0.25,-0.0,1.0,0.5833333333333334,-0.0,0.25,0.08333333333333333,0.25,0.25,1.0,0.75,0.5833333333333334,0.25,0.25,1.0,1.0,0.75,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
[6. 4. 2. 2.],-0.5,-0.25,-0.25,-0.16666666666666666,0.08333333333333333,0.0,0.0,-0.08333333333333333,-0.16666666666666666,0.0,-0.0,-0.16666666666666666,0.16666666666666666,-0.16666666666666666,0.5,-0.0,-0.0,-0.0,0.16666666666666666,-0.16666666666666666,0.25,-0.08333333333333333,0.25,-0.0,0.5,0.3333333333333333,-0.0,0.5,0.16666666666666666,0.25,0.25,0.8333333333333334,0.5,0.3333333333333333,0.5,0.25,1.0,0.8333333333333334,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0
