,[2. 2. 2. 2. 2. 2. 1. 1.],[2. 2. 2. 2. 2. 2. 2. 0.],[3. 2. 2. 2. 2. 1. 1. 1.],[3. 2. 2. 2. 2. 2. 1. 0.],[3. 3. 2. 2. 1. 1. 1. 1.],[3. 3. 2. 2. 2. 1. 1. 0.],[3. 3. 2. 2. 2. 2. 0. 0.],[3. 3. 3. 1. 1. 1. 1. 1.],[3. 3. 3. 2. 1. 1. 1. 0.],[3. 3. 3. 2. 2. 1. 0. 0.],[3. 3. 3. 3. 1. 1. 0. 0.],[3. 3. 3. 3. 2. 0. 0. 0.],[4. 2. 2. 2. 1. 1. 1. 1.],[4. 2. 2. 2. 2. 1. 1. 0.],[4. 2. 2. 2. 2. 2. 0. 0.],[4. 3. 2. 1. 1. 1. 1. 1.],[4. 3. 2. 2. 1. 1. 1. 0.],[4. 3. 2. 2. 2. 1. 0. 0.],[4. 3. 3. 1. 1. 1. 1. 0.],[4. 3. 3. 2. 1. 1. 0. 0.],[4. 3. 3. 2. 2. 0. 0. 0.],[4. 3. 3. 3. 1. 0. 0. 0.],[4. 4. 1. 1. 1. 1. 1. 1.],[4. 4. 2. 1. 1. 1. 1. 0.],[4. 4. 2. 2. 1. 1. 0. 0.],[4. 4. 2. 2. 2. 0. 0. 0.],[4. 4. 3. 1. 1. 1. 0. 0.],[4. 4. 3. 2. 1. 0. 0. 0.],[4. 4. 3. 3. 0. 0. 0. 0.],[4. 4. 4. 1. 1. 0. 0. 0.],[4. 4. 4. 2. 0. 0. 0. 0.],[5. 2. 2. 1. 1. 1. 1. 1.],[5. 2. 2. 2. 1. 1. 1. 0.],[5. 2. 2. 2. 2. 1. 0. 0.],[5. 3. 1. 1. 1. 1. 1. 1.],[5. 3. 2. 1. 1. 1. 1. 0.],[5. 3. 2. 2. 1. 1. 0. 0.],[5. 3. 2. 2. 2. 0. 0. 0.],[5. 3. 3. 1. 1. 1. 0. 0.],[5. 3. 3. 2. 1. 0. 0. 0.],[5. 3. 3. 3. 0. 0. 0. 0.],[5. 4. 1. 1. 1. 1. 1. 0.],[5. 4. 2. 1. 1. 1. 0. 0.],[5. 4. 2. 2. 1. 0. 0. 0.],[5. 4. 3. 1. 1. 0. 0. 0.],[5. 4. 3. 2. 0. 0. 0. 0.],[5. 4. 4. 1. 0. 0. 0. 0.],[5. 5. 1. 1. 1. 1. 0. 0.],[5. 5. 2. 1. 1. 0. 0. 0.],[5. 5. 2. 2. 0. 0. 0. 0.],[5. 5. 3. 1. 0. 0. 0. 0.],[5. 5. 4. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 1. 1. 1. 1.],[6. 2. 2. 1. 1. 1. 1. 0.],[6. 2. 2. 2. 1. 1. 0. 0.],[6. 2. 2. 2. 2. 0. 0. 0.],[6. 3. 1. 1. 1. 1. 1. 0.],[6. 3. 2. 1. 1. 1. 0. 0.],[6. 3. 2. 2. 1. 0. 0. 0.],[6. 3. 3. 1. 1. 0. 0. 0.],[6. 3. 3. 2. 0. 0. 0. 0.],[6. 4. 1. 1. 1. 1. 0. 0.],[6. 4. 2. 1. 1. 0. 0. 0.],[6. 4. 2. 2. 0. 0. 0. 0.],[6. 4. 3. 1. 0. 0. 0. 0.],[6. 4. 4. 0. 0. 0. 0. 0.],[6. 5. 1. 1. 1. 0. 0. 0.],[6. 5. 2. 1. 0. 0. 0. 0.],[6. 5. 3. 0. 0. 0. 0. 0.],[6. 6. 1. 1. 0. 0. 0. 0.],[6. 6. 2. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1. 1. 1.],[7. 2. 1. 1. 1. 1. 1. 0.],[7. 2. 2. 1. 1. 1. 0. 0.],[7. 2. 2. 2. 1. 0. 0. 0.],[7. 3. 1. 1. 1. 1. 0. 0.],[7. 3. 2. 1. 1. 0. 0. 0.],[7. 3. 2. 2. 0. 0. 0. 0.],[7. 3. 3. 1. 0. 0. 0. 0.],[7. 4. 1. 1. 1. 0. 0. 0.],[7. 4. 2. 1. 0. 0. 0. 0.],[7. 4. 3. 0. 0. 0. 0. 0.],[7. 5. 1. 1. 0. 0. 0. 0.],[7. 5. 2. 0. 0. 0. 0. 0.],[7. 6. 1. 0. 0. 0. 0. 0.],[7. 7. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 1. 1. 0.],[8. 2. 1. 1. 1. 1. 0. 0.],[8. 2. 2. 1. 1. 0. 0. 0.],[8. 2. 2. 2. 0. 0. 0. 0.],[8. 3. 1. 1. 1. 0. 0. 0.],[8. 3. 2. 1. 0. 0. 0. 0.],[8. 3. 3. 0. 0. 0. 0. 0.],[8. 4. 1. 1. 0. 0. 0. 0.],[8. 4. 2. 0. 0. 0. 0. 0.],[8. 5. 1. 0. 0. 0. 0. 0.],[8. 6. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 1. 1. 0. 0.],[9. 2. 1. 1. 1. 0. 0. 0.],[9. 2. 2. 1. 0. 0. 0. 0.],[9. 3. 1. 1. 0. 0. 0. 0.],[9. 3. 2. 0. 0. 0. 0. 0.],[9. 4. 1. 0. 0. 0. 0. 0.],[9. 5. 0. 0. 0. 0. 0. 0.],[10.  1.  1.  1.  1.  0.  0.  0.],[10.  2.  1.  1.  0.  0.  0.  0.],[10.  2.  2.  0.  0.  0.  0.  0.],[10.  3.  1.  0.  0.  0.  0.  0.],[10.  4.  0.  0.  0.  0.  0.  0.],[11.  1.  1.  1.  0.  0.  0.  0.],[11.  2.  1.  0.  0.  0.  0.  0.],[11.  3.  0.  0.  0.  0.  0.  0.],[12.  1.  1.  0.  0.  0.  0.  0.],[12.  2.  0.  0.  0.  0.  0.  0.],[13.  1.  0.  0.  0.  0.  0.  0.],[14.  0.  0.  0.  0.  0.  0.  0.]
[2. 2. 2. 2. 2. 2. 1. 1.],0.0,-0.75,0.25,-0.5,0.4642857142857143,-0.25,-0.7857142857142857,0.6428571428571429,-0.0,-0.6428571428571429,-0.4642857142857143,-1.0,1.0,0.4642857142857143,-0.25,1.0,0.6428571428571429,-0.0,0.7857142857142857,0.25,-0.4642857142857143,-0.25,1.0,1.0,0.7857142857142857,0.25,0.8928571428571429,0.5,-0.0,0.9642857142857143,0.75,1.0,1.0,0.6428571428571429,1.0,1.0,0.7857142857142857,0.25,0.8928571428571429,0.5,-0.0,1.0,1.0,0.8928571428571429,0.9642857142857143,0.75,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,0.7857142857142857,1.0,1.0,0.8928571428571429,0.9642857142857143,0.75,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 2. 2. 0.],0.75,0.0,0.625,-0.0,0.5,-0.0,-0.75,0.375,-0.0,-0.625,-0.5,-1.0,1.0,0.75,0.125,1.0,0.625,0.125,0.5,0.125,-0.625,-0.5,1.0,1.0,0.75,0.25,0.625,0.25,-0.5,0.75,0.375,1.0,1.0,0.875,1.0,1.0,0.75,0.25,0.625,0.25,-0.5,1.0,1.0,0.875,0.75,0.375,0.875,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.75,0.375,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 1. 1. 1.],-0.25,-0.625,0.0,-0.39285714285714285,0.21428571428571427,-0.19642857142857142,-0.5214285714285715,0.42857142857142855,-0.0,-0.37142857142857144,-0.21428571428571427,-0.5892857142857143,0.5892857142857143,0.17857142857142858,-0.16071428571428573,0.75,0.37142857142857144,-0.0,0.5857142857142857,0.19642857142857142,-0.17857142857142858,-0.0,1.0,0.8357142857142857,0.5214285714285715,0.16071428571428573,0.7428571428571429,0.39285714285714285,0.25,0.8928571428571429,0.625,1.0,0.75,0.42142857142857143,1.0,0.8714285714285714,0.6,0.26785714285714285,0.7892857142857143,0.48214285714285715,0.375,1.0,0.9321428571428572,0.7321428571428571,0.9107142857142857,0.6785714285714286,1.0,1.0,0.9821428571428571,0.8928571428571429,1.0,1.0,1.0,1.0,0.8642857142857143,0.6142857142857143,1.0,0.9464285714285714,0.7785714285714286,0.9285714285714286,0.7321428571428571,1.0,0.9821428571428571,0.8928571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9392857142857143,1.0,0.9857142857142858,0.9107142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9821428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 2. 1. 0.],0.5,0.0,0.39285714285714285,0.0,0.3333333333333333,-0.0,-0.40476190476190477,0.2857142857142857,-0.0,-0.36904761904761907,-0.3333333333333333,-0.75,0.75,0.4523809523809524,0.09523809523809523,0.6875,0.41964285714285715,0.09226190476190477,0.38095238095238093,0.09523809523809523,-0.2976190476190476,-0.2767857142857143,1.0,0.75,0.5119047619047619,0.17857142857142858,0.48214285714285715,0.19642857142857142,-0.25,0.6071428571428571,0.32142857142857145,1.0,0.8392857142857143,0.6130952380952381,1.0,0.7976190476190477,0.5892857142857143,0.29464285714285715,0.5535714285714286,0.29464285714285715,-0.125,1.0,0.8571428571428571,0.6845238095238095,0.6607142857142857,0.4166666666666667,0.8035714285714286,1.0,0.9345238095238095,0.8452380952380952,0.8333333333333334,1.0,1.0,1.0,0.9107142857142857,0.75,1.0,0.8839285714285714,0.7410714285714286,0.7142857142857143,0.5119047619047619,1.0,0.9345238095238095,0.8452380952380952,0.8333333333333334,1.0,1.0,0.9821428571428571,1.0,1.0,1.0,1.0,1.0,1.0,0.9642857142857143,1.0,0.9464285714285714,0.875,0.8630952380952381,1.0,0.9821428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9851190476190477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 1. 1. 1. 1.],-0.4642857142857143,-0.5,-0.21428571428571427,-0.3333333333333333,0.0,-0.1761904761904762,-0.3,0.25,-0.0,-0.16904761904761906,-0.0,-0.17857142857142858,0.17857142857142858,-0.0,-0.14285714285714285,0.40476190476190477,0.16904761904761906,-0.0,0.4166666666666667,0.1761904761904762,-0.0,0.21428571428571427,0.7857142857142857,0.5214285714285715,0.3,0.14285714285714285,0.5857142857142857,0.3333333333333333,0.4642857142857143,0.7857142857142857,0.5,0.7023809523809523,0.4785714285714286,0.3,0.8928571428571429,0.680952380952381,0.4714285714285714,0.3,0.7214285714285714,0.5047619047619047,0.6428571428571429,0.9285714285714286,0.7714285714285715,0.5714285714285714,0.8571428571428571,0.6428571428571429,1.0,0.9857142857142858,0.9285714285714286,0.7857142857142857,1.0,1.0,1.0,0.8547619047619047,0.6857142857142857,0.5428571428571428,0.9642857142857143,0.8571428571428571,0.7,0.9142857142857143,0.7619047619047619,0.9857142857142858,0.9285714285714286,0.7857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9428571428571428,0.8285714285714286,0.9928571428571429,0.9571428571428572,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9857142857142858,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 2. 1. 1. 0.],0.25,0.0,0.19642857142857142,0.0,0.1761904761904762,0.0,-0.16904761904761906,0.16071428571428573,-0.0,-0.17202380952380952,-0.1761904761904762,-0.37142857142857144,0.40714285714285714,0.2392857142857143,0.07738095238095238,0.40476190476190477,0.24047619047619048,0.07976190476190476,0.24404761904761904,0.08571428571428572,-0.08214285714285714,-0.08928571428571429,0.6428571428571429,0.46190476190476193,0.30357142857142855,0.15,0.33214285714285713,0.16904761904761906,-0.011904761904761904,0.44642857142857145,0.26785714285714285,0.7738095238095238,0.6053571428571428,0.45714285714285713,0.7857142857142857,0.6154761904761905,0.46904761904761905,0.32142857142857145,0.49107142857142855,0.3476190476190476,0.21428571428571427,0.8214285714285714,0.6678571428571428,0.5297619047619048,0.5869047619047619,0.44642857142857145,0.7321428571428571,0.9285714285714286,0.8285714285714286,0.7261904761904762,0.8154761904761905,1.0,1.0,0.8690476190476191,0.7541666666666667,0.6392857142857142,0.8928571428571429,0.775,0.6642857142857143,0.7089285714285715,0.6023809523809524,0.9285714285714286,0.8285714285714286,0.7261904761904762,0.8154761904761905,1.0,0.9821428571428571,0.9404761904761905,1.0,1.0,1.0,1.0,1.0,0.9339285714285714,0.8625,0.9571428571428572,0.8886904761904761,0.819047619047619,0.8833333333333333,0.9821428571428571,0.9404761904761905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9738095238095238,0.9392857142857143,0.9892857142857143,0.9619047619047619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9940476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 2. 2. 0. 0.],0.7857142857142857,0.75,0.5214285714285715,0.40476190476190477,0.3,0.16904761904761906,0.0,0.14285714285714285,-0.0,-0.1761904761904762,-0.3,-0.5857142857142857,0.6142857142857143,0.49047619047619045,0.38095238095238093,0.40476190476190477,0.2976190476190476,0.16904761904761906,0.14761904761904762,0.007142857142857143,-0.20238095238095238,-0.32857142857142857,0.4642857142857143,0.40476190476190477,0.3,0.15714285714285714,0.15476190476190477,0.004761904761904762,-0.4166666666666667,0.17857142857142858,-0.03571428571428571,0.8571428571428571,0.7428571428571429,0.6619047619047619,0.6428571428571429,0.5619047619047619,0.4714285714285714,0.37142857142857144,0.30714285714285716,0.1880952380952381,-0.21428571428571427,0.6428571428571429,0.5714285714285714,0.4880952380952381,0.3333333333333333,0.18333333333333332,0.39285714285714285,0.7857142857142857,0.7261904761904762,0.6880952380952381,0.5357142857142857,0.6428571428571429,1.0,0.9142857142857143,0.85,0.8214285714285714,0.7619047619047619,0.7,0.6452380952380953,0.4785714285714286,0.3904761904761905,0.7857142857142857,0.7261904761904762,0.6880952380952381,0.5357142857142857,0.6428571428571429,0.8928571428571429,0.8690476190476191,0.7619047619047619,0.9642857142857143,1.0,1.0,1.0,0.9571428571428572,0.9357142857142857,0.8571428571428571,0.819047619047619,0.819047619047619,0.6619047619047619,0.8928571428571429,0.8690476190476191,0.7619047619047619,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,0.9857142857142858,1.0,0.9285714285714286,0.919047619047619,0.8571428571428571,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 1. 1. 1. 1. 1.],-0.6428571428571429,-0.375,-0.42857142857142855,-0.2857142857142857,-0.25,-0.16071428571428573,-0.14285714285714285,0.0,-0.0,-0.0,0.25,0.16071428571428573,-0.16071428571428573,-0.14285714285714285,-0.10714285714285714,-0.0,-0.0,-0.0,0.25,0.16071428571428573,0.14285714285714285,0.42857142857142855,0.25,0.16071428571428573,0.14285714285714285,0.10714285714285714,0.42857142857142855,0.2857142857142857,0.6428571428571429,0.6428571428571429,0.375,0.2857142857142857,0.23214285714285715,0.21428571428571427,0.625,0.44642857142857145,0.375,0.32142857142857145,0.6964285714285714,0.5357142857142857,0.8214285714285714,0.6964285714285714,0.5357142857142857,0.4642857142857143,0.8214285714285714,0.6428571428571429,1.0,0.9285714285714286,0.8214285714285714,0.6428571428571429,1.0,1.0,0.7321428571428571,0.6071428571428571,0.5357142857142857,0.42857142857142855,0.8928571428571429,0.75,0.6428571428571429,0.9285714285714286,0.8214285714285714,0.9285714285714286,0.8214285714285714,0.6428571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9107142857142857,0.8035714285714286,0.75,0.9821428571428571,0.9285714285714286,0.8214285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9821428571428571,0.9285714285714286,0.8214285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 2. 1. 1. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.07857142857142857,0.075,0.07142857142857142,0.08035714285714286,0.07857142857142857,0.07232142857142858,0.08928571428571429,0.08214285714285714,0.075,0.1,0.14285714285714285,0.15,0.1392857142857143,0.12857142857142856,0.17142857142857143,0.15357142857142858,0.21428571428571427,0.26785714285714285,0.21428571428571427,0.4107142857142857,0.37589285714285714,0.34285714285714286,0.4642857142857143,0.4125,0.3732142857142857,0.3455357142857143,0.44285714285714284,0.40267857142857144,0.5071428571428571,0.5,0.4517857142857143,0.4107142857142857,0.525,0.4642857142857143,0.6607142857142857,0.7714285714285715,0.6964285714285714,0.6428571428571429,0.8214285714285714,1.0,0.7321428571428571,0.6535714285714286,0.5982142857142857,0.5571428571428572,0.7410714285714286,0.6642857142857143,0.6116071428571429,0.7303571428571428,0.6714285714285714,0.7714285714285715,0.6964285714285714,0.6428571428571429,0.8214285714285714,1.0,0.9357142857142857,0.875,1.0,1.0,1.0,1.0,0.875,0.8107142857142857,0.7616071428571428,0.9,0.8383928571428572,0.7928571428571428,0.9214285714285714,0.9357142857142857,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.9535714285714286,0.9089285714285714,0.8714285714285714,0.9758928571428571,0.9446428571428571,1.0,1.0,1.0,1.0,1.0,1.0,0.9892857142857143,0.9678571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 2. 2. 1. 0. 0.],0.6428571428571429,0.625,0.37142857142857144,0.36904761904761907,0.16904761904761906,0.17202380952380952,0.1761904761904762,0.0,0.0,0.0,-0.16904761904761906,-0.19642857142857142,0.2892857142857143,0.2976190476190476,0.30357142857142855,0.13690476190476192,0.14583333333333334,0.15357142857142858,-0.0,0.0017857142857142857,-0.0,-0.17142857142857143,0.10714285714285714,0.1261904761904762,0.13690476190476192,0.14464285714285716,-0.0,-0.0035714285714285713,-0.21428571428571427,-0.0,-0.017857142857142856,0.5297619047619048,0.5125,0.5107142857142857,0.375,0.3761904761904762,0.38095238095238093,0.39107142857142857,0.24642857142857144,0.2571428571428571,0.10714285714285714,0.34523809523809523,0.35833333333333334,0.37083333333333335,0.25357142857142856,0.2642857142857143,0.2857142857142857,0.5714285714285714,0.5833333333333334,0.5976190476190476,0.5285714285714286,0.6428571428571429,0.7678571428571429,0.7047619047619048,0.6875,0.6857142857142857,0.5952380952380952,0.5869047619047619,0.5958333333333333,0.4928571428571429,0.525,0.5714285714285714,0.5833333333333334,0.5976190476190476,0.5285714285714286,0.6428571428571429,0.7678571428571429,0.7833333333333333,0.8214285714285714,0.9166666666666666,0.9404761904761905,1.0,0.8690476190476191,0.8303571428571429,0.8196428571428571,0.7642857142857142,0.7619047619047619,0.7761904761904762,0.725,0.7678571428571429,0.7833333333333333,0.8214285714285714,0.9166666666666666,0.9404761904761905,1.0,1.0,1.0,0.9357142857142857,0.9154761904761904,0.9142857142857143,0.8857142857142857,0.8940476190476191,0.9285714285714286,0.9166666666666666,0.9404761904761905,1.0,1.0,1.0,0.975,0.969047619047619,0.9630952380952381,0.9761904761904762,1.0,1.0,1.0,0.9940476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
