,[5. 5. 5.],[6. 5. 4.],[6. 6. 3.],[7. 4. 4.],[7. 5. 3.],[7. 6. 2.],[7. 7. 1.],[8. 4. 3.],[8. 5. 2.],[8. 6. 1.],[8. 7. 0.],[9. 3. 3.],[9. 4. 2.],[9. 5. 1.],[9. 6. 0.],[10.  3.  2.],[10.  4.  1.],[10.  5.  0.],[11.  2.  2.],[11.  3.  1.],[11.  4.  0.],[12.  2.  1.],[12.  3.  0.],[13.  1.  1.],[13.  2.  0.],[14.  1.  0.],[15.  0.  0.]
[5. 5. 5.],0.0,-0.0,-1.0,1.0,-0.0,-1.0,-1.0,1.0,-0.0,-1.0,-1.0,1.0,1.0,-0.0,-1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[6. 5. 4.],0.0,0.0,-0.3333333333333333,0.3333333333333333,-0.0,-0.6666666666666666,-1.0,0.6666666666666666,-0.0,-0.6666666666666666,-1.0,1.0,0.6666666666666666,-0.0,-0.6666666666666666,1.0,0.6666666666666666,-0.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
[6. 6. 3.],1.0,0.3333333333333333,0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-1.0,-0.0,0.3333333333333333,-0.3333333333333333,-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
[7. 4. 4.],-1.0,-0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,-0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
[7. 5. 3.],0.0,0.0,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
[7. 6. 2.],1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.6666666666666666,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
[7. 7. 1.],1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[8. 4. 3.],-1.0,-0.6666666666666666,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,-0.0,0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,-0.0,-0.3333333333333333,1.0,0.6666666666666666,-0.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
[8. 5. 2.],0.0,0.0,-0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,-0.0,-0.0,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
[8. 6. 1.],1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[8. 7. 0.],1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.0,0.3333333333333333
[9. 3. 3.],-1.0,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,-0.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,1.0
[9. 4. 2.],-1.0,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
[9. 5. 1.],0.0,0.0,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[9. 6. 0.],1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.0,0.3333333333333333
[10.  3.  2.],-1.0,-1.0,-0.6666666666666666,-1.0,-0.6666666666666666,0.0,0.3333333333333333,-0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,0.3333333333333333,-0.0,-0.3333333333333333,0.6666666666666666,-0.0,1.0,0.6666666666666666,1.0,1.0
