,[6. 6. 5.],[7. 5. 5.],[7. 6. 4.],[7. 7. 3.],[8. 5. 4.],[8. 6. 3.],[8. 7. 2.],[8. 8. 1.],[9. 4. 4.],[9. 5. 3.],[9. 6. 2.],[9. 7. 1.],[9. 8. 0.],[10.  4.  3.],[10.  5.  2.],[10.  6.  1.],[10.  7.  0.],[11.  3.  3.],[11.  4.  2.],[11.  5.  1.],[11.  6.  0.],[12.  3.  2.],[12.  4.  1.],[12.  5.  0.],[13.  2.  2.],[13.  3.  1.],[13.  4.  0.],[14.  2.  1.],[14.  3.  0.],[15.  1.  1.],[15.  2.  0.],[16.  1.  0.],[17.  0.  0.]
[6. 6. 5.],0.0,0.3333333333333333,-0.3333333333333333,-1.0,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,0.6666666666666666,-0.3333333333333333,-1.0,1.0,1.0,0.6666666666666666,-0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[7. 5. 5.],-0.3333333333333333,0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,1.0,1.0,0.3333333333333333,-0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[7. 6. 4.],0.3333333333333333,0.0,0.0,-0.3333333333333333,-0.0,-0.0,-0.6666666666666666,-1.0,0.3333333333333333,0.3333333333333333,-0.0,-0.6666666666666666,-1.0,0.6666666666666666,0.3333333333333333,-0.0,-0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,-0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
[7. 7. 3.],1.0,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-1.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-1.0,-0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
[8. 5. 4.],-0.6666666666666666,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,0.6666666666666666,-0.0,-0.3333333333333333,-0.3333333333333333,1.0,0.6666666666666666,-0.0,-0.3333333333333333,1.0,0.6666666666666666,-0.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
[8. 6. 3.],0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.6666666666666666,-0.0,0.3333333333333333,-0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
[8. 7. 2.],1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.6666666666666666,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
[8. 8. 1.],1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[9. 4. 4.],-1.0,-1.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,-0.0,-0.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,-0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
[9. 5. 3.],-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
