,[6. 6. 6.],[7. 6. 5.],[7. 7. 4.],[8. 5. 5.],[8. 6. 4.],[8. 7. 3.],[8. 8. 2.],[9. 5. 4.],[9. 6. 3.],[9. 7. 2.],[9. 8. 1.],[9. 9. 0.],[10.  4.  4.],[10.  5.  3.],[10.  6.  2.],[10.  7.  1.],[10.  8.  0.],[11.  4.  3.],[11.  5.  2.],[11.  6.  1.],[11.  7.  0.],[12.  3.  3.],[12.  4.  2.],[12.  5.  1.],[12.  6.  0.],[13.  3.  2.],[13.  4.  1.],[13.  5.  0.],[14.  2.  2.],[14.  3.  1.],[14.  4.  0.],[15.  2.  1.],[15.  3.  0.],[16.  1.  1.],[16.  2.  0.],[17.  1.  0.],[18.  0.  0.]
[6. 6. 6.],0.0,-0.0,-1.0,1.0,-0.0,-1.0,-1.0,1.0,-0.0,-1.0,-1.0,-1.0,1.0,1.0,-0.0,-1.0,-1.0,1.0,1.0,-0.0,-1.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[7. 6. 5.],0.0,0.0,-0.3333333333333333,0.3333333333333333,-0.0,-0.6666666666666666,-1.0,0.6666666666666666,-0.0,-0.6666666666666666,-1.0,-1.0,1.0,0.6666666666666666,-0.0,-0.6666666666666666,-1.0,1.0,0.6666666666666666,-0.0,-0.6666666666666666,1.0,1.0,0.6666666666666666,-0.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[7. 7. 4.],1.0,0.3333333333333333,0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-1.0,-0.0,0.3333333333333333,-0.3333333333333333,-1.0,-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
[8. 5. 5.],-1.0,-0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,1.0,0.3333333333333333,-0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[8. 6. 4.],0.0,0.0,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.6666666666666666,-1.0,0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,-0.6666666666666666,0.6666666666666666,0.3333333333333333,-0.0,-0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,-0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
[8. 7. 3.],1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.6666666666666666,-1.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,-0.6666666666666666,-0.0,0.3333333333333333,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
[8. 8. 2.],1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-1.0,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
[9. 5. 4.],-1.0,-0.6666666666666666,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,-0.0,-0.3333333333333333,-0.3333333333333333,1.0,0.6666666666666666,-0.0,-0.3333333333333333,1.0,0.6666666666666666,-0.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
[9. 6. 3.],0.0,0.0,-0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,-0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
[9. 7. 2.],1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
