,[8. 8. 8.],[9. 8. 7.],[9. 9. 6.],[10.  7.  7.],[10.  8.  6.],[10.  9.  5.],[10. 10.  4.],[11.  7.  6.],[11.  8.  5.],[11.  9.  4.],[11. 10.  3.],[11. 11.  2.],[12.  6.  6.],[12.  7.  5.],[12.  8.  4.],[12.  9.  3.],[12. 10.  2.],[12. 11.  1.],[12. 12.  0.],[13.  6.  5.],[13.  7.  4.],[13.  8.  3.],[13.  9.  2.],[13. 10.  1.],[13. 11.  0.],[14.  5.  5.],[14.  6.  4.],[14.  7.  3.],[14.  8.  2.],[14.  9.  1.],[14. 10.  0.],[15.  5.  4.],[15.  6.  3.],[15.  7.  2.],[15.  8.  1.],[15.  9.  0.],[16.  4.  4.],[16.  5.  3.],[16.  6.  2.],[16.  7.  1.],[16.  8.  0.],[17.  4.  3.],[17.  5.  2.],[17.  6.  1.],[17.  7.  0.],[18.  3.  3.],[18.  4.  2.],[18.  5.  1.],[18.  6.  0.],[19.  3.  2.],[19.  4.  1.],[19.  5.  0.],[20.  2.  2.],[20.  3.  1.],[20.  4.  0.],[21.  2.  1.],[21.  3.  0.],[22.  1.  1.],[22.  2.  0.],[23.  1.  0.],[24.  0.  0.]
[8. 8. 8.],0.0,-0.0,-1.0,1.0,-0.0,-1.0,-1.0,1.0,-0.0,-1.0,-1.0,-1.0,1.0,1.0,-0.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-0.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-0.0,-1.0,-1.0,1.0,1.0,1.0,-0.0,-1.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[9. 8. 7.],0.0,0.0,-0.3333333333333333,0.3333333333333333,-0.0,-0.6666666666666666,-1.0,0.6666666666666666,-0.0,-0.6666666666666666,-1.0,-1.0,1.0,0.6666666666666666,-0.0,-0.6666666666666666,-1.0,-1.0,-1.0,1.0,0.6666666666666666,-0.0,-0.6666666666666666,-1.0,-1.0,1.0,1.0,0.6666666666666666,-0.0,-0.6666666666666666,-1.0,1.0,1.0,0.6666666666666666,-0.0,-0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,-0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[9. 9. 6.],1.0,0.3333333333333333,0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-1.0,-0.0,0.3333333333333333,-0.3333333333333333,-1.0,-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-1.0,-1.0,-1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-1.0,-1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[10.  7.  7.],-1.0,-0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,-1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,-0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[10.  8.  6.],0.0,0.0,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.6666666666666666,-1.0,0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,-0.6666666666666666,-1.0,-1.0,0.6666666666666666,0.3333333333333333,-0.0,-0.3333333333333333,-0.6666666666666666,-1.0,1.0,0.6666666666666666,0.3333333333333333,-0.0,-0.3333333333333333,-0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,-0.0,-0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,-0.0,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[10.  9.  5.],1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.6666666666666666,-1.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,-0.6666666666666666,-1.0,-1.0,-0.0,0.3333333333333333,0.3333333333333333,-0.0,-0.6666666666666666,-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,-0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[10. 10.  4.],1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-1.0,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-1.0,-1.0,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-1.0,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
[11.  7.  6.],-1.0,-0.6666666666666666,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,0.6666666666666666,-0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,1.0,0.6666666666666666,-0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,0.6666666666666666,-0.0,-0.3333333333333333,-0.3333333333333333,1.0,1.0,0.6666666666666666,-0.0,-0.3333333333333333,1.0,1.0,0.6666666666666666,-0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[11.  8.  5.],0.0,0.0,-0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,-0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,-0.0,0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[11.  9.  4.],1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.6666666666666666,-1.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,-0.3333333333333333,-0.6666666666666666,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
