,[1. 1. 1. 1. 1. 1.],[2. 1. 1. 1. 1. 0.],[2. 2. 1. 1. 0. 0.],[2. 2. 2. 0. 0. 0.],[3. 1. 1. 1. 0. 0.],[3. 2. 1. 0. 0. 0.],[3. 3. 0. 0. 0. 0.],[4. 1. 1. 0. 0. 0.],[4. 2. 0. 0. 0. 0.],[5. 1. 0. 0. 0. 0.],[6. 0. 0. 0. 0. 0.]
[1. 1. 1. 1. 1. 1.],0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 1. 1. 1. 1. 0.],0.0,0.0,-0.0,-0.0,0.5666666666666667,0.5666666666666667,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 0. 0.],0.0,0.0,0.0,-0.0,0.23333333333333334,0.26666666666666666,0.6,0.7,0.8,1.0,1.0
[2. 2. 2. 0. 0. 0.],0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.35,0.5,0.7,1.0
[3. 1. 1. 1. 0. 0.],-1.0,-0.5666666666666667,-0.23333333333333334,0.0,0.0,0.25,0.8,0.5333333333333333,0.7,1.0,1.0
[3. 2. 1. 0. 0. 0.],-1.0,-0.5666666666666667,-0.26666666666666666,0.0,-0.25,0.0,0.3333333333333333,0.11666666666666667,0.4,0.6333333333333333,1.0
[3. 3. 0. 0. 0. 0.],-1.0,-1.0,-0.6,0.0,-0.8,-0.3333333333333333,0.0,-0.4666666666666667,-0.0,-0.0,0.6666666666666666
[4. 1. 1. 0. 0. 0.],-1.0,-1.0,-0.7,-0.35,-0.5333333333333333,-0.11666666666666667,0.4666666666666667,0.0,0.4,0.5666666666666667,1.0
[4. 2. 0. 0. 0. 0.],-1.0,-1.0,-0.8,-0.5,-0.7,-0.4,0.0,-0.4,0.0,-0.0,0.6666666666666666
[5. 1. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.7,-1.0,-0.6333333333333333,0.0,-0.5666666666666667,0.0,0.0,0.6666666666666666
[6. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6666666666666666,-1.0,-0.6666666666666666,-0.6666666666666666,0.0
