,[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[2. 2. 2. 1. 1. 1. 1. 1. 1. 1. 0.],[2. 2. 2. 2. 1. 1. 1. 1. 1. 0. 0.],[2. 2. 2. 2. 2. 1. 1. 1. 0. 0. 0.],[2. 2. 2. 2. 2. 2. 1. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[3. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0.],[3. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0.],[3. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0.],[3. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0.],[3. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[3. 3. 2. 1. 1. 1. 1. 1. 0. 0. 0.],[3. 3. 2. 2. 1. 1. 1. 0. 0. 0. 0.],[3. 3. 2. 2. 2. 1. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 1. 1. 0. 0. 0. 0.],[3. 3. 3. 2. 1. 1. 0. 0. 0. 0. 0.],[3. 3. 3. 2. 2. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 1. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],[4. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[4. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0.],[4. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0.],[4. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[4. 3. 2. 1. 1. 1. 1. 0. 0. 0. 0.],[4. 3. 2. 2. 1. 1. 0. 0. 0. 0. 0.],[4. 3. 2. 2. 2. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 3. 3. 2. 1. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[4. 4. 2. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 4. 2. 2. 1. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 2. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 4. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[5. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[5. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0.],[5. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0.],[5. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[5. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0.],[5. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[5. 4. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 4. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 3. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 5. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 3. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[6. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[6. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0.],[6. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[6. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[6. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[6. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 3. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[7. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[7. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[7. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[7. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 5. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[8. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[8. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[9. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[9. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.],[10.  2.  1.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  3.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[12.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 1.],-0.0,0.0,0.0,0.0,-0.18181818181818182,0.0,0.0,0.0,0.0,0.01818181818181818,-0.2727272727272727,0.0,0.0,0.05454545454545454,0.18181818181818182,0.10909090909090909,0.34545454545454546,1.0,1.0,0.0,0.0,0.0,0.05454545454545454,0.18181818181818182,0.0,0.10909090909090909,0.34545454545454546,1.0,0.4909090909090909,1.0,1.0,0.18181818181818182,0.4909090909090909,1.0,1.0,1.0,1.0,0.0,0.0,0.10909090909090909,0.34545454545454546,1.0,0.18181818181818182,0.4909090909090909,1.0,1.0,1.0,0.6181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.18181818181818182,0.4909090909090909,1.0,0.6181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2727272727272727,0.6181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7272727272727273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 1. 1. 1. 1. 0.],-0.0,-0.0,0.0,-0.01893939393939394,-0.08787878787878788,0.0,0.0,0.0,0.015151515151515152,0.0,-0.12121212121212122,0.0,0.03787878787878788,0.08787878787878788,0.10984848484848485,0.1696969696969697,0.2787878787878788,0.45454545454545453,0.6181818181818182,0.0,0.0,0.03787878787878788,0.08787878787878788,0.12121212121212122,0.07575757575757576,0.1696969696969697,0.2787878787878788,0.45454545454545453,0.421969696969697,0.6181818181818182,1.0,0.2727272727272727,0.421969696969697,0.6181818181818182,0.7454545454545455,1.0,1.0,0.0,0.07575757575757576,0.1696969696969697,0.2787878787878788,0.45454545454545453,0.2727272727272727,0.421969696969697,0.6181818181818182,0.7454545454545455,1.0,0.5606060606060606,0.7454545454545455,1.0,1.0,1.0,0.8409090909090909,1.0,1.0,0.13257575757575757,0.2727272727272727,0.421969696969697,0.6181818181818182,0.5606060606060606,0.7454545454545455,1.0,1.0,0.8409090909090909,1.0,1.0,1.0,1.0,1.0,0.3939393939393939,0.5606060606060606,0.7454545454545455,1.0,0.8409090909090909,1.0,1.0,1.0,1.0,1.0,1.0,0.6893939393939394,0.8409090909090909,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 1. 1. 1. 1. 1. 0. 0.],-0.0,-0.0,-0.0,-0.012554112554112554,-0.03593073593073593,0.0,0.0,0.021645021645021644,0.02077922077922078,-0.0007215007215007215,-0.045454545454545456,0.050505050505050504,0.08225108225108226,0.07922077922077922,0.050505050505050504,0.19264069264069264,0.19393939393939394,0.18181818181818182,0.37575757575757573,0.0,0.050505050505050504,0.08225108225108226,0.08787878787878788,0.06782106782106782,0.16017316017316016,0.19264069264069264,0.198989898989899,0.18181818181818182,0.354978354978355,0.37575757575757573,0.6181818181818182,0.3225108225108225,0.354978354978355,0.37575757575757573,0.5606060606060606,0.6181818181818182,0.7878787878787878,0.10101010101010101,0.16017316017316016,0.19264069264069264,0.20187590187590188,0.18181818181818182,0.3225108225108225,0.354978354978355,0.37575757575757573,0.5606060606060606,0.6181818181818182,0.5187590187590188,0.5606060606060606,0.6181818181818182,0.7878787878787878,1.0,0.7207792207792207,0.7878787878787878,1.0,0.2727272727272727,0.3225108225108225,0.354978354978355,0.37575757575757573,0.5187590187590188,0.5606060606060606,0.6181818181818182,0.7878787878787878,0.7207792207792207,0.7878787878787878,1.0,0.8939393939393939,1.0,1.0,0.47835497835497837,0.5187590187590188,0.5606060606060606,0.6181818181818182,0.7207792207792207,0.7878787878787878,1.0,0.8939393939393939,1.0,1.0,1.0,0.6803751803751804,0.7207792207792207,0.7878787878787878,0.8939393939393939,1.0,1.0,1.0,0.8463203463203464,0.8939393939393939,1.0,1.0,1.0,0.9545454545454546,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 1. 1. 1. 0. 0. 0.],-0.0,0.01893939393939394,0.012554112554112554,-0.0,-0.008658008658008658,0.0,0.06060606060606061,0.04935064935064935,0.024675324675324677,0.0004329004329004329,-0.012987012987012988,0.14242424242424243,0.09621212121212121,0.05303030303030303,0.015151515151515152,0.1683982683982684,0.10779220779220779,0.06060606060606061,0.19696969696969696,0.13636363636363635,0.14242424242424243,0.11244588744588745,0.07305194805194805,0.031385281385281384,0.24177489177489178,0.18354978354978355,0.12294372294372294,0.06060606060606061,0.2774891774891775,0.19696969696969696,0.2787878787878788,0.354978354978355,0.2812770562770563,0.19696969696969696,0.3917748917748918,0.2787878787878788,0.5174242424242425,0.2787878787878788,0.24177489177489178,0.19004329004329004,0.12943722943722943,0.06060606060606061,0.354978354978355,0.2812770562770563,0.19696969696969696,0.3917748917748918,0.2787878787878788,0.47835497835497837,0.3917748917748918,0.2787878787878788,0.5174242424242425,0.6606060606060606,0.6082251082251082,0.5174242424242425,0.6606060606060606,0.421969696969697,0.354978354978355,0.2829004329004329,0.19696969696969696,0.47835497835497837,0.3917748917748918,0.2787878787878788,0.5174242424242425,0.6082251082251082,0.5174242424242425,0.6606060606060606,0.740909090909091,0.6606060606060606,0.8727272727272727,0.5606060606060606,0.47835497835497837,0.3917748917748918,0.2787878787878788,0.6082251082251082,0.5174242424242425,0.6606060606060606,0.740909090909091,0.6606060606060606,0.8727272727272727,1.0,0.6893939393939394,0.6082251082251082,0.5174242424242425,0.740909090909091,0.6606060606060606,0.8727272727272727,1.0,0.803030303030303,0.740909090909091,0.6606060606060606,0.8727272727272727,1.0,0.8962121212121212,0.8727272727272727,1.0,0.9636363636363636,1.0,1.0,1.0
[2. 2. 2. 2. 2. 2. 1. 0. 0. 0. 0.],0.18181818181818182,0.08787878787878788,0.03593073593073593,0.008658008658008658,-0.0,0.0,0.2,0.08484848484848485,0.02683982683982684,0.0021645021645021645,-0.0021645021645021645,0.17272727272727273,0.07532467532467532,0.02077922077922078,0.0008658008658008658,0.08181818181818182,0.030735930735930735,0.015151515151515152,0.07748917748917748,0.509090909090909,0.2636363636363636,0.12943722943722943,0.050216450216450215,0.011255411255411256,0.2818181818181818,0.14415584415584415,0.05800865800865801,0.015151515151515152,0.17272727272727273,0.07748917748917748,0.08787878787878788,0.3606060606060606,0.19090909090909092,0.07748917748917748,0.22424242424242424,0.08787878787878788,0.2515151515151515,0.5636363636363636,0.3207792207792208,0.16536796536796536,0.0658008658008658,0.015151515151515152,0.3606060606060606,0.19090909090909092,0.07748917748917748,0.22424242424242424,0.08787878787878788,0.4212121212121212,0.22424242424242424,0.08787878787878788,0.2515151515151515,0.2787878787878788,0.4727272727272727,0.2515151515151515,0.2787878787878788,0.6181818181818182,0.3735930735930736,0.1961038961038961,0.07748917748917748,0.4212121212121212,0.22424242424242424,0.08787878787878788,0.2515151515151515,0.4727272727272727,0.2515151515151515,0.2787878787878788,0.5212121212121212,0.2787878787878788,0.5696969696969697,0.6727272727272727,0.4238095238095238,0.22424242424242424,0.08787878787878788,0.4727272727272727,0.2515151515151515,0.2787878787878788,0.5212121212121212,0.2787878787878788,0.5696969696969697,0.6181818181818182,0.7272727272727273,0.4727272727272727,0.2515151515151515,0.5212121212121212,0.2787878787878788,0.5696969696969697,0.6181818181818182,0.7818181818181819,0.5212121212121212,0.2787878787878788,0.5696969696969697,0.6181818181818182,0.8363636363636363,0.5696969696969697,0.6181818181818182,0.8909090909090909,0.6181818181818182,0.9454545454545454,1.0
[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.2727272727272727,1.0,1.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.36363636363636365,1.0,0.2727272727272727,1.0,1.0,0.0,0.36363636363636365,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.45454545454545453,1.0,0.0,0.36363636363636365,1.0,1.0,1.0,0.36363636363636365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.45454545454545453,1.0,0.36363636363636365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.45454545454545453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45454545454545453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0.],-0.0,-0.0,-0.0,-0.06060606060606061,-0.2,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.2,0.06060606060606061,0.2313131313131313,0.5636363636363636,0.5636363636363636,0.0,0.0,0.0,0.07575757575757576,0.24646464646464647,0.0,0.08080808080808081,0.2787878787878788,0.6181818181818182,0.2787878787878788,0.6121212121212121,1.0,0.10101010101010101,0.32727272727272727,0.6606060606060606,0.6606060606060606,1.0,1.0,0.0,0.0,0.10101010101010101,0.32626262626262625,0.6727272727272727,0.10101010101010101,0.32727272727272727,0.6606060606060606,0.6606060606060606,1.0,0.37575757575757573,0.703030303030303,1.0,1.0,1.0,0.7454545454545455,1.0,1.0,0.0,0.12626262626262627,0.37575757575757573,0.7090909090909091,0.37575757575757573,0.703030303030303,1.0,1.0,0.7454545454545455,1.0,1.0,1.0,1.0,1.0,0.15151515151515152,0.42525252525252527,0.7454545454545455,1.0,0.7454545454545455,1.0,1.0,1.0,1.0,1.0,1.0,0.47474747474747475,0.7818181818181819,1.0,1.0,1.0,1.0,1.0,0.8181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0.],-0.0,-0.0,-0.021645021645021644,-0.04935064935064935,-0.08484848484848485,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.02886002886002886,0.06212121212121212,0.10454545454545454,0.09437229437229437,0.16796536796536796,0.2787878787878788,0.32727272727272727,0.0,0.0,0.03607503607503607,0.08138528138528138,0.1393939393939394,0.04329004329004329,0.1163059163059163,0.20216450216450216,0.32727272727272727,0.24177489177489178,0.37424242424242427,0.6181818181818182,0.16017316017316016,0.2795093795093795,0.4212121212121212,0.4681818181818182,0.6606060606060606,0.7454545454545455,0.0,0.05411255411255411,0.13823953823953825,0.23744588744588743,0.37575757575757573,0.16017316017316016,0.2795093795093795,0.4212121212121212,0.4681818181818182,0.6606060606060606,0.354978354978355,0.5123376623376623,0.703030303030303,0.7454545454545455,1.0,0.6006493506493507,0.7772727272727272,1.0,0.07575757575757576,0.18831168831168832,0.3172438672438672,0.4681818181818182,0.354978354978355,0.5123376623376623,0.703030303030303,0.7454545454545455,0.6006493506493507,0.7772727272727272,1.0,0.8409090909090909,1.0,1.0,0.24458874458874458,0.3961038961038961,0.5564935064935065,0.7454545454545455,0.6006493506493507,0.7772727272727272,1.0,0.8409090909090909,1.0,1.0,1.0,0.47835497835497837,0.6406926406926406,0.8090909090909091,0.8409090909090909,1.0,1.0,1.0,0.7207792207792207,0.8636363636363636,1.0,1.0,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0.],-0.0,-0.015151515151515152,-0.02077922077922078,-0.024675324675324677,-0.02683982683982684,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.030303030303030304,0.03636363636363636,0.04134199134199134,0.04588744588744589,0.08917748917748917,0.1,0.11515151515151516,0.1696969696969697,0.0,0.03787878787878788,0.05714285714285714,0.0685064935064935,0.0748917748917749,0.09437229437229437,0.11601731601731602,0.1305194805194805,0.14242424242424243,0.1880952380952381,0.20573593073593074,0.2787878787878788,0.19264069264069264,0.22207792207792207,0.24177489177489178,0.31385281385281383,0.32651515151515154,0.4696969696969697,0.06060606060606061,0.11320346320346321,0.1432900432900433,0.16158008658008657,0.1696969696969697,0.19264069264069264,0.22251082251082252,0.24177489177489178,0.31385281385281383,0.32651515151515154,0.3225108225108225,0.354978354978355,0.37424242424242427,0.4696969696969697,0.6606060606060606,0.47835497835497837,0.5151515151515151,0.6606060606060606,0.1696969696969697,0.22294372294372294,0.25627705627705627,0.2778138528138528,0.3225108225108225,0.354978354978355,0.37424242424242427,0.4696969696969697,0.47835497835497837,0.5151515151515151,0.6606060606060606,0.6515151515151515,0.703030303030303,0.8303030303030303,0.31385281385281383,0.36147186147186144,0.3961038961038961,0.421969696969697,0.47835497835497837,0.5151515151515151,0.6606060606060606,0.6515151515151515,0.703030303030303,0.8303030303030303,1.0,0.47835497835497837,0.5205627705627706,0.5606060606060606,0.6515151515151515,0.703030303030303,0.8303030303030303,1.0,0.6471861471861472,0.6893939393939394,0.7454545454545455,0.8303030303030303,1.0,0.803030303030303,0.8545454545454545,1.0,0.9272727272727272,1.0,1.0,1.0
[3. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0.],-0.01818181818181818,-0.0,0.0007215007215007215,-0.0004329004329004329,-0.0021645021645021645,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.012121212121212121,0.012698412698412698,0.012121212121212121,0.012121212121212121,0.03766233766233766,0.03535353535353535,0.03593073593073593,0.0670995670995671,0.09090909090909091,0.07676767676767676,0.06334776334776335,0.048917748917748916,0.032756132756132754,0.10346320346320347,0.08528138528138528,0.06666666666666667,0.04632034632034632,0.11385281385281386,0.08874458874458875,0.08787878787878788,0.18888888888888888,0.1510822510822511,0.11038961038961038,0.17532467532467533,0.11515151515151516,0.22424242424242424,0.18383838383838383,0.15670995670995672,0.12683982683982684,0.09365079365079365,0.05670995670995671,0.19105339105339106,0.1523809523809524,0.11038961038961038,0.17532467532467533,0.11515151515151516,0.2696969696969697,0.20995670995670995,0.14242424242424243,0.22424242424242424,0.2787878787878788,0.3484848484848485,0.26565656565656565,0.2787878787878788,0.2787878787878788,0.23405483405483404,0.18571428571428572,0.13203463203463203,0.2701298701298701,0.20995670995670995,0.14242424242424243,0.22424242424242424,0.3484848484848485,0.26565656565656565,0.2787878787878788,0.4313131313131313,0.32727272727272727,0.5212121212121212,0.37575757575757573,0.31226551226551225,0.24458874458874458,0.1696969696969697,0.3484848484848485,0.26565656565656565,0.2787878787878788,0.4313131313131313,0.32727272727272727,0.5212121212121212,0.6181818181818182,0.47474747474747475,0.3939393939393939,0.30707070707070705,0.4313131313131313,0.32727272727272727,0.5212121212121212,0.6181818181818182,0.5757575757575758,0.4808080808080808,0.37575757575757573,0.5212121212121212,0.6181818181818182,0.6787878787878788,0.5737373737373738,0.6181818181818182,0.7838383838383839,0.6727272727272727,0.8909090909090909,1.0
