,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],-0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.0,0.0,0.19230769230769232,0.6410256410256411,0.0,0.19230769230769232,0.6410256410256411,0.6410256410256411,1.0,0.0,0.0,0.19230769230769232,0.6410256410256411,0.19230769230769232,0.6410256410256411,1.0,1.0,0.6410256410256411,1.0,1.0,0.0,0.19230769230769232,0.6410256410256411,1.0,0.6410256410256411,1.0,1.0,1.0,1.0,1.0,0.19230769230769232,0.6410256410256411,1.0,1.0,1.0,1.0,1.0,0.6410256410256411,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],-0.0,-0.0,0.0,0.0,0.01888111888111888,0.0944055944055944,0.0,0.0,0.027972027972027972,0.11888111888111888,0.3146853146853147,0.03496503496503497,0.14335664335664336,0.35384615384615387,0.393006993006993,0.7062937062937062,0.0,0.03496503496503497,0.14335664335664336,0.35384615384615387,0.16783216783216784,0.393006993006993,0.7062937062937062,0.7356643356643356,0.43216783216783217,0.7356643356643356,1.0,0.04195804195804196,0.16783216783216784,0.393006993006993,0.7062937062937062,0.43216783216783217,0.7356643356643356,1.0,0.765034965034965,1.0,1.0,0.19230769230769232,0.43216783216783217,0.7356643356643356,0.765034965034965,1.0,1.0,1.0,0.47132867132867134,0.765034965034965,1.0,1.0,1.0,0.7944055944055944,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],-0.0,-0.0,-0.0,0.002913752913752914,0.015734265734265736,0.042735042735042736,0.0,0.008741258741258742,0.030652680652680654,0.0682983682983683,0.11888111888111888,0.04467754467754468,0.09766899766899767,0.1710955710955711,0.22657342657342658,0.35384615384615387,0.012237762237762238,0.04467754467754468,0.09766899766899767,0.1710955710955711,0.13084693084693086,0.22657342657342658,0.35384615384615387,0.43216783216783217,0.2853146853146853,0.43216783216783217,0.7062937062937062,0.060023310023310024,0.13084693084693086,0.22657342657342658,0.35384615384615387,0.2853146853146853,0.43216783216783217,0.7062937062937062,0.5088578088578088,0.7062937062937062,0.7715617715617715,0.16783216783216784,0.2853146853146853,0.43216783216783217,0.5088578088578088,0.7062937062937062,0.7715617715617715,1.0,0.3473193473193473,0.5088578088578088,0.7062937062937062,0.7715617715617715,1.0,0.583916083916084,0.7715617715617715,1.0,0.8286713286713286,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],-0.0,-0.0,-0.002913752913752914,-0.0,0.007326007326007326,0.01486013986013986,0.004662004662004662,0.010961260961260962,0.021228771228771228,0.03146853146853147,0.031857031857031856,0.03876678876678877,0.05536130536130536,0.0644910644910645,0.10878010878010878,0.11888111888111888,0.02165889665889666,0.039058164058164056,0.05536130536130536,0.0644910644910645,0.08741258741258741,0.10878010878010878,0.11888111888111888,0.19230769230769232,0.16511266511266512,0.19230769230769232,0.3146853146853147,0.060023310023310024,0.08741258741258741,0.10878010878010878,0.11888111888111888,0.16511266511266512,0.19230769230769232,0.3146853146853147,0.27972027972027974,0.3146853146853147,0.4370629370629371,0.1284965034965035,0.16511266511266512,0.19230769230769232,0.27972027972027974,0.3146853146853147,0.4370629370629371,0.6410256410256411,0.2338772338772339,0.27972027972027974,0.3146853146853147,0.4370629370629371,0.6410256410256411,0.3793706293706294,0.4370629370629371,0.6410256410256411,0.5629370629370629,0.6410256410256411,0.7756410256410257,1.0
[2. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0.],-0.0,-0.01888111888111888,-0.015734265734265736,-0.007326007326007326,-0.0,0.002913752913752914,-0.007925407925407926,-0.0014152514152514153,0.005827505827505828,0.008741258741258742,0.004662004662004662,0.018648018648018648,0.020396270396270396,0.013986013986013986,0.03263403263403263,0.02097902097902098,0.0168997668997669,0.02097902097902098,0.020396270396270396,0.013986013986013986,0.04079254079254079,0.03263403263403263,0.02097902097902098,0.04895104895104895,0.06526806526806526,0.04895104895104895,0.06993006993006994,0.041375291375291376,0.04079254079254079,0.03263403263403263,0.02097902097902098,0.06526806526806526,0.04895104895104895,0.06993006993006994,0.0979020979020979,0.06993006993006994,0.13986013986013987,0.07342657342657342,0.06526806526806526,0.04895104895104895,0.0979020979020979,0.06993006993006994,0.13986013986013987,0.19230769230769232,0.11748251748251748,0.0979020979020979,0.06993006993006994,0.13986013986013987,0.19230769230769232,0.17622377622377622,0.13986013986013987,0.19230769230769232,0.2517482517482518,0.19230769230769232,0.34615384615384615,0.46153846153846156
[2. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0.],-0.19230769230769232,-0.0944055944055944,-0.042735042735042736,-0.01486013986013986,-0.002913752913752914,-0.0,-0.08624708624708624,-0.0337995337995338,-0.008158508158508158,0.0,0.0,-0.016317016317016316,0.0,0.0,0.0,0.0,-0.02505827505827506,-0.006118881118881119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004079254079254079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],-0.0,-0.0,-0.0,-0.004662004662004662,0.007925407925407926,0.08624708624708624,-0.0,0.0,0.013053613053613054,0.07536907536907538,0.2233100233100233,0.011655011655011656,0.0644910644910645,0.1972027972027972,0.1710955710955711,0.393006993006993,0.0,0.013986013986013986,0.07536907536907538,0.2233100233100233,0.0644910644910645,0.1972027972027972,0.43216783216783217,0.393006993006993,0.1972027972027972,0.43216783216783217,0.7062937062937062,0.013986013986013986,0.07536907536907538,0.2233100233100233,0.47132867132867134,0.1972027972027972,0.43216783216783217,0.7062937062937062,0.43216783216783217,0.7389277389277389,0.7389277389277389,0.07536907536907538,0.2233100233100233,0.47132867132867134,0.43216783216783217,0.7389277389277389,0.7389277389277389,1.0,0.2233100233100233,0.47132867132867134,0.7715617715617715,0.7389277389277389,1.0,0.47132867132867134,0.7715617715617715,1.0,0.7715617715617715,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],-0.0,-0.0,-0.008741258741258742,-0.010961260961260962,0.0014152514152514153,0.0337995337995338,-0.0,-0.0,0.010378510378510378,0.03700466200466201,0.07536907536907538,0.013292263292263292,0.03807303807303807,0.07925407925407925,0.07925407925407925,0.14335664335664336,0.0034965034965034965,0.015886890886890888,0.04467754467754468,0.09207459207459208,0.04467754467754468,0.09401709401709402,0.16783216783216784,0.16783216783216784,0.10878010878010878,0.19463869463869463,0.3146853146853147,0.019064269064269064,0.05235042735042735,0.10878010878010878,0.19230769230769232,0.10878010878010878,0.19463869463869463,0.3146853146853147,0.22144522144522144,0.3554778554778555,0.3962703962703963,0.060023310023310024,0.12548562548562547,0.22144522144522144,0.22144522144522144,0.3554778554778555,0.3962703962703963,0.6410256410256411,0.14219114219114218,0.2505827505827506,0.3962703962703963,0.3962703962703963,0.6410256410256411,0.27972027972027974,0.4376456876456876,0.6410256410256411,0.479020979020979,0.6858974358974359,0.7307692307692307,1.0
[3. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],-0.0,-0.027972027972027972,-0.030652680652680654,-0.021228771228771228,-0.005827505827505828,0.008158508158508158,-0.013053613053613054,-0.010378510378510378,-0.0,0.011655011655011656,0.013986013986013986,0.005244755244755245,0.014568764568764568,0.019425019425019424,0.023310023310023312,0.027972027972027972,0.0005827505827505828,0.007575757575757576,0.017482517482517484,0.023310023310023312,0.020396270396270396,0.029137529137529136,0.03496503496503497,0.04195804195804196,0.04079254079254079,0.05244755244755245,0.06993006993006994,0.013403263403263404,0.024475524475524476,0.03496503496503497,0.04195804195804196,0.04079254079254079,0.05244755244755245,0.06993006993006994,0.07342657342657342,0.08741258741258741,0.12237762237762238,0.03263403263403263,0.04895104895104895,0.06293706293706294,0.07342657342657342,0.08741258741258741,0.12237762237762238,0.19230769230769232,0.06526806526806526,0.08811188811188811,0.1048951048951049,0.12237762237762238,0.19230769230769232,0.11748251748251748,0.14685314685314685,0.19230769230769232,0.1958041958041958,0.23076923076923078,0.3076923076923077,0.46153846153846156
[3. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.19230769230769232,-0.11888111888111888,-0.0682983682983683,-0.03146853146853147,-0.008741258741258742,-0.0,-0.07536907536907538,-0.03700466200466201,-0.011655011655011656,-0.0,0.0,-0.012237762237762238,0.0,0.0,0.0,0.0,-0.02505827505827506,-0.008158508158508158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004079254079254079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
