,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[12.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],-0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.46153846153846156,0.0,0.0,0.46153846153846156,1.0,0.46153846153846156,1.0,1.0,0.0,0.0,0.0,0.46153846153846156,1.0,0.0,0.46153846153846156,1.0,1.0,1.0,0.46153846153846156,1.0,1.0,1.0,1.0,0.0,0.0,0.46153846153846156,1.0,0.46153846153846156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.46153846153846156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46153846153846156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],-0.0,-0.0,0.0,0.0,0.0,0.027972027972027972,0.19230769230769232,0.0,0.0,0.0,0.05244755244755245,0.2331002331002331,0.0,0.06993006993006994,0.2738927738927739,0.6410256410256411,0.3146853146853147,0.6736596736596736,1.0,0.0,0.0,0.06993006993006994,0.2738927738927739,0.6410256410256411,0.08741258741258741,0.3146853146853147,0.6736596736596736,0.7062937062937062,1.0,0.3554778554778555,0.7062937062937062,1.0,1.0,1.0,0.0,0.08741258741258741,0.3146853146853147,0.6736596736596736,0.3554778554778555,0.7062937062937062,1.0,1.0,0.7389277389277389,1.0,1.0,1.0,1.0,0.1048951048951049,0.3554778554778555,0.7062937062937062,1.0,0.7389277389277389,1.0,1.0,1.0,1.0,1.0,1.0,0.3962703962703963,0.7389277389277389,1.0,1.0,1.0,1.0,1.0,0.7715617715617715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],-0.0,-0.0,-0.0,0.0,0.004662004662004662,0.021367521367521368,0.06993006993006994,0.0,0.0,0.01554001554001554,0.05198135198135198,0.11888111888111888,0.023310023310023312,0.07925407925407925,0.1710955710955711,0.3146853146853147,0.22657342657342658,0.393006993006993,0.7062937062937062,0.0,0.023310023310023312,0.07925407925407925,0.1710955710955711,0.3146853146853147,0.10878010878010878,0.22657342657342658,0.393006993006993,0.46915306915306915,0.7062937062937062,0.2853146853146853,0.46915306915306915,0.7062937062937062,0.765034965034965,1.0,0.03263403263403263,0.10878010878010878,0.22657342657342658,0.393006993006993,0.2853146853146853,0.46915306915306915,0.7062937062937062,0.765034965034965,0.5431235431235432,0.765034965034965,1.0,0.8172494172494172,1.0,0.14219114219114218,0.2853146853146853,0.46915306915306915,0.7062937062937062,0.5431235431235432,0.765034965034965,1.0,0.8172494172494172,1.0,1.0,1.0,0.3473193473193473,0.5431235431235432,0.765034965034965,0.8172494172494172,1.0,1.0,1.0,0.6149184149184149,0.8172494172494172,1.0,1.0,1.0,0.862937062937063,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],-0.0,-0.0,-0.0,-0.0,0.003663003663003663,0.011072261072261072,0.02097902097902098,0.0,0.008741258741258742,0.021228771228771228,0.036846486846486844,0.053613053613053616,0.039543789543789544,0.06836496836496836,0.09766899766899767,0.11888111888111888,0.15291375291375292,0.1972027972027972,0.35384615384615387,0.013986013986013986,0.039543789543789544,0.06871461871461872,0.09766899766899767,0.11888111888111888,0.10622710622710622,0.15291375291375292,0.1972027972027972,0.2853146853146853,0.35384615384615387,0.2191142191142191,0.2853146853146853,0.35384615384615387,0.47132867132867134,0.7062937062937062,0.060023310023310024,0.10622710622710622,0.15291375291375292,0.1972027972027972,0.2191142191142191,0.2853146853146853,0.35384615384615387,0.47132867132867134,0.3811188811188811,0.47132867132867134,0.7062937062937062,0.583916083916084,0.7062937062937062,0.15243090243090243,0.2191142191142191,0.2853146853146853,0.35384615384615387,0.3811188811188811,0.47132867132867134,0.7062937062937062,0.583916083916084,0.7062937062937062,0.8041958041958042,1.0,0.29603729603729606,0.3811188811188811,0.47132867132867134,0.583916083916084,0.7062937062937062,0.8041958041958042,1.0,0.4825174825174825,0.583916083916084,0.7062937062937062,0.8041958041958042,1.0,0.6888111888111889,0.8041958041958042,1.0,0.8776223776223776,1.0,1.0,1.0
[2. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0.],-0.0,-0.0,-0.004662004662004662,-0.003663003663003663,-0.0,0.003663003663003663,0.004662004662004662,0.008391608391608392,0.010101010101010102,0.014652014652014652,0.018315018315018316,0.01825951825951826,0.040015540015540016,0.04523254523254523,0.04467754467754468,0.031857031857031856,0.08741258741258741,0.07536907536907538,0.11888111888111888,0.031857031857031856,0.042346542346542344,0.047175047175047176,0.04467754467754468,0.031857031857031856,0.08663558663558664,0.08741258741258741,0.07536907536907538,0.14219114219114218,0.11888111888111888,0.14957264957264957,0.14219114219114218,0.11888111888111888,0.21678321678321677,0.3146853146853147,0.07536907536907538,0.08702408702408702,0.08741258741258741,0.07536907536907538,0.14957264957264957,0.14219114219114218,0.11888111888111888,0.21678321678321677,0.2338772338772339,0.21678321678321677,0.3146853146853147,0.34265734265734266,0.3146853146853147,0.14219114219114218,0.14957264957264957,0.14219114219114218,0.11888111888111888,0.2338772338772339,0.21678321678321677,0.3146853146853147,0.34265734265734266,0.3146853146853147,0.47785547785547783,0.6410256410256411,0.2338772338772339,0.2338772338772339,0.21678321678321677,0.34265734265734266,0.3146853146853147,0.47785547785547783,0.6410256410256411,0.3502719502719503,0.34265734265734266,0.3146853146853147,0.47785547785547783,0.6410256410256411,0.48951048951048953,0.47785547785547783,0.6410256410256411,0.6480186480186481,0.6410256410256411,0.8205128205128205,1.0
[2. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0.],-0.0,-0.027972027972027972,-0.021367521367521368,-0.011072261072261072,-0.003663003663003663,-0.0,0.0005827505827505828,-0.027972027972027972,-0.01282051282051282,-0.002442002442002442,0.002913752913752914,0.0034965034965034965,0.009906759906759906,0.013986013986013986,0.012237762237762238,0.004662004662004662,0.03263403263403263,0.016317016317016316,0.02097902097902098,0.02564102564102564,0.024891774891774892,0.019813519813519812,0.012237762237762238,0.004662004662004662,0.047785547785547784,0.03263403263403263,0.016317016317016316,0.04351204351204351,0.02097902097902098,0.07342657342657342,0.04351204351204351,0.02097902097902098,0.055944055944055944,0.06993006993006994,0.06585081585081586,0.050699300699300696,0.03263403263403263,0.016317016317016316,0.07342657342657342,0.04351204351204351,0.02097902097902098,0.055944055944055944,0.0979020979020979,0.055944055944055944,0.06993006993006994,0.1258741258741259,0.06993006993006994,0.10431235431235432,0.07342657342657342,0.04351204351204351,0.02097902097902098,0.0979020979020979,0.055944055944055944,0.06993006993006994,0.1258741258741259,0.06993006993006994,0.15734265734265734,0.19230769230769232,0.14685314685314685,0.0979020979020979,0.055944055944055944,0.1258741258741259,0.06993006993006994,0.15734265734265734,0.19230769230769232,0.1958041958041958,0.1258741258741259,0.06993006993006994,0.15734265734265734,0.19230769230769232,0.2517482517482518,0.15734265734265734,0.19230769230769232,0.3146853146853147,0.19230769230769232,0.38461538461538464,0.46153846153846156
[2. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0.],-0.46153846153846156,-0.19230769230769232,-0.06993006993006994,-0.02097902097902098,-0.004662004662004662,-0.0005827505827505828,-0.0,-0.21678321678321677,-0.08624708624708624,-0.02505827505827506,-0.004079254079254079,0.0,-0.0775058275058275,-0.016317016317016316,0.0,0.0,0.0,0.0,0.0,-0.08624708624708624,-0.02505827505827506,-0.004079254079254079,0.0,0.0,-0.016317016317016316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02505827505827506,-0.004079254079254079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004079254079254079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],-0.0,-0.0,-0.0,-0.0,-0.008391608391608392,0.027972027972027972,0.21678321678321677,-0.0,0.0,0.0,0.03986013986013986,0.19230769230769232,0.0,0.03496503496503497,0.16783216783216784,0.43216783216783217,0.14335664335664336,0.393006993006993,0.7062937062937062,0.0,0.0,0.04195804195804196,0.19230769230769232,0.47132867132867134,0.03496503496503497,0.16783216783216784,0.43216783216783217,0.393006993006993,0.7356643356643356,0.16783216783216784,0.43216783216783217,0.765034965034965,0.7356643356643356,1.0,0.0,0.04195804195804196,0.19230769230769232,0.47132867132867134,0.16783216783216784,0.43216783216783217,0.765034965034965,0.7356643356643356,0.43216783216783217,0.765034965034965,1.0,0.765034965034965,1.0,0.04195804195804196,0.19230769230769232,0.47132867132867134,0.7944055944055944,0.43216783216783217,0.765034965034965,1.0,0.765034965034965,1.0,1.0,1.0,0.19230769230769232,0.47132867132867134,0.7944055944055944,0.765034965034965,1.0,1.0,1.0,0.47132867132867134,0.7944055944055944,1.0,1.0,1.0,0.7944055944055944,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],-0.0,-0.0,-0.0,-0.008741258741258742,-0.010101010101010102,0.01282051282051282,0.08624708624708624,-0.0,-0.0,0.005244755244755245,0.03141025641025641,0.09386169386169387,0.008741258741258742,0.037257187257187255,0.09766899766899767,0.1972027972027972,0.09766899766899767,0.19883449883449883,0.35384615384615387,0.0,0.01048951048951049,0.04386169386169386,0.11235431235431236,0.2233100233100233,0.04467754467754468,0.11425796425796426,0.22657342657342658,0.22657342657342658,0.393006993006993,0.13084693084693086,0.25594405594405595,0.43216783216783217,0.43216783216783217,0.7062937062937062,0.012237762237762238,0.05235042735042735,0.13084693084693086,0.2543123543123543,0.13084693084693086,0.25594405594405595,0.43216783216783217,0.43216783216783217,0.2853146853146853,0.4705128205128205,0.7062937062937062,0.5088578088578088,0.7389277389277389,0.060023310023310024,0.14933954933954935,0.2853146853146853,0.47132867132867134,0.2853146853146853,0.4705128205128205,0.7062937062937062,0.5088578088578088,0.7389277389277389,0.7715617715617715,1.0,0.16783216783216784,0.3163170163170163,0.5088578088578088,0.5088578088578088,0.7389277389277389,0.7715617715617715,1.0,0.3473193473193473,0.5463869463869464,0.7715617715617715,0.7715617715617715,1.0,0.583916083916084,0.8001165501165501,1.0,0.8286713286713286,1.0,1.0,1.0
[3. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],-0.0,-0.0,-0.01554001554001554,-0.021228771228771228,-0.014652014652014652,0.002442002442002442,0.02505827505827506,-0.0,-0.005244755244755245,-0.0,0.015401265401265402,0.03700466200466201,0.010378510378510378,0.02577977577977578,0.0473970473970474,0.0644910644910645,0.05536130536130536,0.07925407925407925,0.11888111888111888,0.004662004662004662,0.013555888555888556,0.031496281496281496,0.05536130536130536,0.07536907536907538,0.038863913863913864,0.06604506604506605,0.09401709401709402,0.10878010878010878,0.14335664335664336,0.08741258741258741,0.12755762755762756,0.16783216783216784,0.19230769230769232,0.3146853146853147,0.02165889665889666,0.04588467088467089,0.07672882672882674,0.10878010878010878,0.08741258741258741,0.12755762755762756,0.16783216783216784,0.19230769230769232,0.16511266511266512,0.22144522144522144,0.3146853146853147,0.27972027972027974,0.3554778554778555,0.060023310023310024,0.10110722610722611,0.14633514633514633,0.19230769230769232,0.16511266511266512,0.22144522144522144,0.3146853146853147,0.27972027972027974,0.3554778554778555,0.4370629370629371,0.6410256410256411,0.1284965034965035,0.18803418803418803,0.2505827505827506,0.27972027972027974,0.3554778554778555,0.4370629370629371,0.6410256410256411,0.2338772338772339,0.3129370629370629,0.3962703962703963,0.4370629370629371,0.6410256410256411,0.3793706293706294,0.479020979020979,0.6410256410256411,0.5629370629370629,0.6858974358974359,0.7756410256410257,1.0
