,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],-0.0,0.0,0.0,0.006993006993006993,0.04695304695304695,0.16683316683316685,0.0,0.006993006993006993,0.04695304695304695,0.16683316683316685,0.04695304695304695,0.16683316683316685,0.4065934065934066,0.4065934065934066,0.006993006993006993,0.04695304695304695,0.16683316683316685,0.4065934065934066,0.16683316683316685,0.4065934065934066,0.7362637362637363,0.4065934065934066,0.7362637362637363,0.04695304695304695,0.16683316683316685,0.4065934065934066,0.4065934065934066,0.7362637362637363,0.7362637362637363,1.0,0.16683316683316685,0.4065934065934066,0.7362637362637363,0.7362637362637363,1.0,0.4065934065934066,0.7362637362637363,1.0,0.7362637362637363,1.0,1.0,1.0
[2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],-0.0,-0.0,0.000777000777000777,0.005661005661005661,0.01898101898101898,0.04695304695304695,0.0010878010878010878,0.006726606726606727,0.022977022977022976,0.05760905760905761,0.026973026973026972,0.06826506826506827,0.14285714285714285,0.16483516483516483,0.007792207792207792,0.026973026973026972,0.06826506826506827,0.14285714285714285,0.07892107892107893,0.16483516483516483,0.34065934065934067,0.18681318681318682,0.34065934065934067,0.030969030969030968,0.07892107892107893,0.16483516483516483,0.18681318681318682,0.34065934065934067,0.3758241758241758,0.6571428571428571,0.08957708957708958,0.18681318681318682,0.34065934065934067,0.3758241758241758,0.6571428571428571,0.2087912087912088,0.3758241758241758,0.6571428571428571,0.41098901098901097,0.6571428571428571,0.6952380952380952,1.0
[2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.000777000777000777,-0.0,0.002331002331002331,0.004662004662004662,0.006993006993006993,0.0009324009324009324,0.0032634032634032634,0.006993006993006993,0.011655011655011656,0.009790209790209791,0.017482517482517484,0.02564102564102564,0.038461538461538464,0.004351204351204351,0.009790209790209791,0.017482517482517484,0.02564102564102564,0.024475524475524476,0.038461538461538464,0.07692307692307693,0.05384615384615385,0.07692307692307693,0.013053613053613054,0.024475524475524476,0.038461538461538464,0.05384615384615385,0.07692307692307693,0.1076923076923077,0.2,0.03263403263403263,0.05384615384615385,0.07692307692307693,0.1076923076923077,0.2,0.07179487179487179,0.1076923076923077,0.2,0.14358974358974358,0.2,0.26666666666666666,0.4666666666666667
[2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.006993006993006993,-0.005661005661005661,-0.002331002331002331,-0.0,0.0,0.0,-0.0012432012432012432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.04695304695304695,-0.01898101898101898,-0.004662004662004662,-0.0,-0.0,0.0,-0.005594405594405594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.16683316683316685,-0.04695304695304695,-0.006993006993006993,-0.0,-0.0,-0.0,-0.018648018648018648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.0010878010878010878,-0.0009324009324009324,0.0012432012432012432,0.005594405594405594,0.018648018648018648,-0.0,0.0010878010878010878,0.0048951048951048955,0.016317016317016316,0.004195804195804196,0.013986013986013986,0.038461538461538464,0.03205128205128205,0.0010878010878010878,0.0048951048951048955,0.016317016317016316,0.04487179487179487,0.013986013986013986,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.09230769230769231,0.0048951048951048955,0.016317016317016316,0.04487179487179487,0.038461538461538464,0.09230769230769231,0.09230769230769231,0.2,0.016317016317016316,0.04487179487179487,0.1076923076923077,0.09230769230769231,0.2,0.04487179487179487,0.1076923076923077,0.2,0.1076923076923077,0.23333333333333334,0.23333333333333334,0.4666666666666667
[3. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.006993006993006993,-0.006726606726606727,-0.0032634032634032634,-0.0,-0.0,-0.0,-0.0010878010878010878,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.04695304695304695,-0.022977022977022976,-0.006993006993006993,-0.0,-0.0,-0.0,-0.0048951048951048955,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.16683316683316685,-0.05760905760905761,-0.011655011655011656,-0.0,-0.0,-0.0,-0.016317016317016316,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
