,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],-0.0,0.0,0.0,0.0,0.02564102564102564,0.14285714285714285,0.0,0.0,0.02564102564102564,0.14285714285714285,0.4065934065934066,0.02564102564102564,0.14285714285714285,0.4065934065934066,0.4065934065934066,0.7582417582417582,0.0,0.02564102564102564,0.14285714285714285,0.4065934065934066,0.14285714285714285,0.4065934065934066,0.7582417582417582,0.7582417582417582,0.4065934065934066,0.7582417582417582,1.0,0.02564102564102564,0.14285714285714285,0.4065934065934066,0.7582417582417582,0.4065934065934066,0.7582417582417582,1.0,0.7582417582417582,1.0,1.0,0.14285714285714285,0.4065934065934066,0.7582417582417582,0.7582417582417582,1.0,1.0,1.0,0.4065934065934066,0.7582417582417582,1.0,1.0,1.0,0.7582417582417582,1.0,1.0,1.0,1.0,1.0,1.0
[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],-0.0,-0.0,0.0,0.0032634032634032634,0.01898101898101898,0.058941058941058944,0.0,0.004195804195804196,0.022977022977022976,0.07092907092907093,0.16683316683316685,0.026973026973026972,0.08291708291708291,0.19080919080919082,0.21478521478521478,0.4065934065934066,0.0048951048951048955,0.026973026973026972,0.08291708291708291,0.19080919080919082,0.09490509490509491,0.21478521478521478,0.4065934065934066,0.43956043956043955,0.23876123876123875,0.43956043956043955,0.7362637362637363,0.030969030969030968,0.09490509490509491,0.21478521478521478,0.4065934065934066,0.23876123876123875,0.43956043956043955,0.7362637362637363,0.4725274725274725,0.7362637362637363,0.7626373626373626,0.1068931068931069,0.23876123876123875,0.43956043956043955,0.4725274725274725,0.7362637362637363,0.7626373626373626,1.0,0.2627372627372627,0.4725274725274725,0.7362637362637363,0.7626373626373626,1.0,0.5054945054945055,0.7626373626373626,1.0,0.789010989010989,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],-0.0,-0.0,-0.0,0.002897102897102897,0.00999000999000999,0.01898101898101898,0.0010878010878010878,0.0051226551226551224,0.01431901431901432,0.02863802863802864,0.04695304695304695,0.01938061938061938,0.03996003996003996,0.06826506826506827,0.0924075924075924,0.14285714285714285,0.006954156954156954,0.01938061938061938,0.03996003996003996,0.06826506826506827,0.052947052947052944,0.0924075924075924,0.14285714285714285,0.18681318681318682,0.11938061938061938,0.18681318681318682,0.34065934065934067,0.025174825174825177,0.052947052947052944,0.0924075924075924,0.14285714285714285,0.11938061938061938,0.18681318681318682,0.34065934065934067,0.23406593406593407,0.34065934065934067,0.41098901098901097,0.0675990675990676,0.11938061938061938,0.18681318681318682,0.23406593406593407,0.34065934065934067,0.41098901098901097,0.6571428571428571,0.14918414918414918,0.23406593406593407,0.34065934065934067,0.41098901098901097,0.6571428571428571,0.2846153846153846,0.41098901098901097,0.6571428571428571,0.48205128205128206,0.6571428571428571,0.7333333333333333,1.0
[2. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.0032634032634032634,-0.002897102897102897,-0.0,0.003108003108003108,0.0034965034965034965,0.0001554001554001554,0.002331002331002331,0.005439005439005439,0.006993006993006993,0.006993006993006993,0.008702408702408702,0.012237762237762238,0.013986013986013986,0.024475524475524476,0.02564102564102564,0.00473970473970474,0.008702408702408702,0.012237762237762238,0.013986013986013986,0.019580419580419582,0.024475524475524476,0.02564102564102564,0.04487179487179487,0.039160839160839164,0.04487179487179487,0.07692307692307693,0.013053613053613054,0.019580419580419582,0.024475524475524476,0.02564102564102564,0.039160839160839164,0.04487179487179487,0.07692307692307693,0.07179487179487179,0.07692307692307693,0.12307692307692308,0.02937062937062937,0.039160839160839164,0.04487179487179487,0.07179487179487179,0.07692307692307693,0.12307692307692308,0.2,0.05874125874125874,0.07179487179487179,0.07692307692307693,0.12307692307692308,0.2,0.1076923076923077,0.12307692307692308,0.2,0.18461538461538463,0.2,0.3,0.4666666666666667
[2. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.02564102564102564,-0.01898101898101898,-0.00999000999000999,-0.003108003108003108,-0.0,0.0,-0.008857808857808859,-0.003108003108003108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012432012432012432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.14285714285714285,-0.058941058941058944,-0.01898101898101898,-0.0034965034965034965,-0.0,-0.0,-0.03496503496503497,-0.007459207459207459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005594405594405594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],-0.0,-0.0,-0.0010878010878010878,-0.0001554001554001554,0.008857808857808859,0.03496503496503497,-0.0,0.0009324009324009324,0.007792207792207792,0.030969030969030968,0.08957708957708958,0.006726606726606727,0.026973026973026972,0.07892107892107893,0.06826506826506827,0.16483516483516483,0.0010878010878010878,0.007792207792207792,0.030969030969030968,0.08957708957708958,0.026973026973026972,0.07892107892107893,0.18681318681318682,0.16483516483516483,0.07892107892107893,0.18681318681318682,0.34065934065934067,0.007792207792207792,0.030969030969030968,0.08957708957708958,0.2087912087912088,0.07892107892107893,0.18681318681318682,0.34065934065934067,0.18681318681318682,0.3758241758241758,0.3758241758241758,0.030969030969030968,0.08957708957708958,0.2087912087912088,0.18681318681318682,0.3758241758241758,0.3758241758241758,0.6571428571428571,0.08957708957708958,0.2087912087912088,0.41098901098901097,0.3758241758241758,0.6571428571428571,0.2087912087912088,0.41098901098901097,0.6571428571428571,0.41098901098901097,0.6952380952380952,0.6952380952380952,1.0
[3. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.004195804195804196,-0.0051226551226551224,-0.002331002331002331,0.003108003108003108,0.007459207459207459,-0.0009324009324009324,-0.0,0.0032634032634032634,0.008158508158508158,0.016317016317016316,0.0032634032634032634,0.008391608391608392,0.017482517482517484,0.017482517482517484,0.03205128205128205,0.0009324009324009324,0.0038073038073038073,0.009790209790209791,0.020396270396270396,0.009790209790209791,0.02097902097902098,0.038461538461538464,0.038461538461538464,0.024475524475524476,0.046153846153846156,0.07692307692307693,0.004351204351204351,0.011421911421911422,0.024475524475524476,0.04487179487179487,0.024475524475524476,0.046153846153846156,0.07692307692307693,0.05384615384615385,0.09230769230769231,0.1076923076923077,0.013053613053613054,0.028554778554778556,0.05384615384615385,0.05384615384615385,0.09230769230769231,0.1076923076923077,0.2,0.03263403263403263,0.06282051282051282,0.1076923076923077,0.1076923076923077,0.2,0.07179487179487179,0.12564102564102564,0.2,0.14358974358974358,0.23333333333333334,0.26666666666666666,0.4666666666666667
[3. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.02564102564102564,-0.022977022977022976,-0.01431901431901432,-0.005439005439005439,-0.0,-0.0,-0.007792207792207792,-0.0032634032634032634,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012432012432012432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.14285714285714285,-0.07092907092907093,-0.02863802863802864,-0.006993006993006993,-0.0,-0.0,-0.030969030969030968,-0.008158508158508158,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005594405594405594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
