,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[12.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],-0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.34065934065934067,0.0,0.0,0.0,0.07692307692307693,0.34065934065934067,0.0,0.07692307692307693,0.34065934065934067,0.7362637362637363,0.34065934065934067,0.7362637362637363,1.0,0.0,0.0,0.07692307692307693,0.34065934065934067,0.7362637362637363,0.07692307692307693,0.34065934065934067,0.7362637362637363,0.7362637362637363,1.0,0.34065934065934067,0.7362637362637363,1.0,1.0,1.0,0.0,0.07692307692307693,0.34065934065934067,0.7362637362637363,0.34065934065934067,0.7362637362637363,1.0,1.0,0.7362637362637363,1.0,1.0,1.0,1.0,0.07692307692307693,0.34065934065934067,0.7362637362637363,1.0,0.7362637362637363,1.0,1.0,1.0,1.0,1.0,1.0,0.34065934065934067,0.7362637362637363,1.0,1.0,1.0,1.0,1.0,0.7362637362637363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],-0.0,-0.0,0.0,0.0,0.008857808857808859,0.04695304695304695,0.14285714285714285,0.0,0.0,0.011655011655011656,0.05760905760905761,0.16683316683316685,0.013986013986013986,0.06826506826506827,0.19080919080919082,0.4065934065934066,0.21478521478521478,0.4385614385614386,0.7582417582417582,0.0,0.013986013986013986,0.06826506826506827,0.19080919080919082,0.4065934065934066,0.07892107892107893,0.21478521478521478,0.4385614385614386,0.47052947052947053,0.7582417582417582,0.23876123876123875,0.47052947052947053,0.7582417582417582,0.7802197802197802,1.0,0.016317016317016316,0.07892107892107893,0.21478521478521478,0.4385614385614386,0.23876123876123875,0.47052947052947053,0.7582417582417582,0.7802197802197802,0.5024975024975025,0.7802197802197802,1.0,0.8021978021978022,1.0,0.08957708957708958,0.23876123876123875,0.47052947052947053,0.7582417582417582,0.5024975024975025,0.7802197802197802,1.0,0.8021978021978022,1.0,1.0,1.0,0.2627372627372627,0.5024975024975025,0.7802197802197802,0.8021978021978022,1.0,1.0,1.0,0.5344655344655345,0.8021978021978022,1.0,1.0,1.0,0.8241758241758241,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],-0.0,-0.0,-0.0,0.0013986013986013986,0.008591408591408592,0.024753024753024752,0.04695304695304695,0.0,0.0032634032634032634,0.014111814111814112,0.036297036297036296,0.07092907092907093,0.01938061938061938,0.049617049617049616,0.09756909756909757,0.16683316683316685,0.12687312687312688,0.21478521478521478,0.4065934065934066,0.004351204351204351,0.01938061938061938,0.049617049617049616,0.09756909756909757,0.16683316683316685,0.06471306471306472,0.12687312687312688,0.21478521478521478,0.2647352647352647,0.4065934065934066,0.15884115884115885,0.2647352647352647,0.4065934065934066,0.4725274725274725,0.7362637362637363,0.025174825174825177,0.06471306471306472,0.12687312687312688,0.21478521478521478,0.15884115884115885,0.2647352647352647,0.4065934065934066,0.4725274725274725,0.3166833166833167,0.4725274725274725,0.7362637362637363,0.536996336996337,0.7362637362637363,0.08158508158508158,0.15884115884115885,0.2647352647352647,0.4065934065934066,0.3166833166833167,0.4725274725274725,0.7362637362637363,0.536996336996337,0.7362637362637363,0.789010989010989,1.0,0.19347319347319347,0.3166833166833167,0.4725274725274725,0.536996336996337,0.7362637362637363,0.789010989010989,1.0,0.3706293706293706,0.536996336996337,0.7362637362637363,0.789010989010989,1.0,0.6,0.789010989010989,1.0,0.8358974358974359,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],-0.0,-0.0,-0.0013986013986013986,-0.0,0.004495504495504496,0.00999000999000999,0.01098901098901099,0.0013986013986013986,0.0043456543456543454,0.01038961038961039,0.017982017982017984,0.022977022977022976,0.017166167166167166,0.028971028971028972,0.03996003996003996,0.04695304695304695,0.06243756243756244,0.07892107892107893,0.14285714285714285,0.007792207792207792,0.017232767232767232,0.028971028971028972,0.03996003996003996,0.04695304695304695,0.043356643356643354,0.06243756243756244,0.07892107892107893,0.11938061938061938,0.14285714285714285,0.09090909090909091,0.11938061938061938,0.14285714285714285,0.2087912087912088,0.34065934065934067,0.025174825174825177,0.043356643356643354,0.06243756243756244,0.07892107892107893,0.09090909090909091,0.11938061938061938,0.14285714285714285,0.2087912087912088,0.16853146853146853,0.2087912087912088,0.34065934065934067,0.2846153846153846,0.34065934065934067,0.06153846153846154,0.09090909090909091,0.11938061938061938,0.14285714285714285,0.16853146853146853,0.2087912087912088,0.34065934065934067,0.2846153846153846,0.34065934065934067,0.4461538461538462,0.6571428571428571,0.1258741258741259,0.16853146853146853,0.2087912087912088,0.2846153846153846,0.34065934065934067,0.4461538461538462,0.6571428571428571,0.22657342657342658,0.2846153846153846,0.34065934065934067,0.4461538461538462,0.6571428571428571,0.36923076923076925,0.4461538461538462,0.6571428571428571,0.5538461538461539,0.6571428571428571,0.7714285714285715,1.0
[2. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.008857808857808859,-0.008591408591408592,-0.004495504495504496,-0.0,0.002331002331002331,0.0013986013986013986,-0.0032634032634032634,-0.0008547008547008547,0.003108003108003108,0.005439005439005439,0.004195804195804196,0.008391608391608392,0.010878010878010878,0.009790209790209791,0.006993006993006993,0.019580419580419582,0.016317016317016316,0.02564102564102564,0.00574980574980575,0.009013209013209013,0.010878010878010878,0.009790209790209791,0.006993006993006993,0.019580419580419582,0.019580419580419582,0.016317016317016316,0.03263403263403263,0.02564102564102564,0.035244755244755246,0.03263403263403263,0.02564102564102564,0.05128205128205128,0.07692307692307693,0.01616161616161616,0.019580419580419582,0.019580419580419582,0.016317016317016316,0.035244755244755246,0.03263403263403263,0.02564102564102564,0.05128205128205128,0.05874125874125874,0.05128205128205128,0.07692307692307693,0.09230769230769231,0.07692307692307693,0.03263403263403263,0.035244755244755246,0.03263403263403263,0.02564102564102564,0.05874125874125874,0.05128205128205128,0.07692307692307693,0.09230769230769231,0.07692307692307693,0.13846153846153847,0.2,0.05874125874125874,0.05874125874125874,0.05128205128205128,0.09230769230769231,0.07692307692307693,0.13846153846153847,0.2,0.0979020979020979,0.09230769230769231,0.07692307692307693,0.13846153846153847,0.2,0.15384615384615385,0.13846153846153847,0.2,0.23076923076923078,0.2,0.3333333333333333,0.4666666666666667
[2. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.07692307692307693,-0.04695304695304695,-0.024753024753024752,-0.00999000999000999,-0.002331002331002331,-0.0,0.0,-0.03496503496503497,-0.015384615384615385,-0.004144004144004144,0.0,0.0,-0.005594405594405594,0.0,0.0,0.0,0.0,0.0,0.0,-0.008857808857808859,-0.0024864024864024864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012432012432012432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.34065934065934067,-0.14285714285714285,-0.04695304695304695,-0.01098901098901099,-0.0013986013986013986,-0.0,-0.0,-0.11888111888111888,-0.03496503496503497,-0.005594405594405594,0.0,0.0,-0.016783216783216783,0.0,0.0,0.0,0.0,0.0,0.0,-0.03496503496503497,-0.005594405594405594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005594405594405594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],-0.0,-0.0,-0.0,-0.0013986013986013986,0.0032634032634032634,0.03496503496503497,0.11888111888111888,-0.0,0.0,0.004662004662004662,0.030969030969030968,0.1068931068931069,0.004195804195804196,0.026973026973026972,0.09490509490509491,0.23876123876123875,0.08291708291708291,0.21478521478521478,0.4065934065934066,0.0,0.0048951048951048955,0.030969030969030968,0.1068931068931069,0.2627372627372627,0.026973026973026972,0.09490509490509491,0.23876123876123875,0.21478521478521478,0.43956043956043955,0.09490509490509491,0.23876123876123875,0.4725274725274725,0.43956043956043955,0.7362637362637363,0.0048951048951048955,0.030969030969030968,0.1068931068931069,0.2627372627372627,0.09490509490509491,0.23876123876123875,0.4725274725274725,0.43956043956043955,0.23876123876123875,0.4725274725274725,0.7362637362637363,0.4725274725274725,0.7626373626373626,0.030969030969030968,0.1068931068931069,0.2627372627372627,0.5054945054945055,0.23876123876123875,0.4725274725274725,0.7362637362637363,0.4725274725274725,0.7626373626373626,0.7626373626373626,1.0,0.1068931068931069,0.2627372627372627,0.5054945054945055,0.4725274725274725,0.7626373626373626,0.7626373626373626,1.0,0.2627372627372627,0.5054945054945055,0.789010989010989,0.7626373626373626,1.0,0.5054945054945055,0.789010989010989,1.0,0.789010989010989,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],-0.0,-0.0,-0.0032634032634032634,-0.0043456543456543454,0.0008547008547008547,0.015384615384615385,0.03496503496503497,-0.0,-0.0,0.00419025419025419,0.016483516483516484,0.038295038295038296,0.0051226551226551224,0.01684981684981685,0.03996003996003996,0.07892107892107893,0.03996003996003996,0.08033633033633034,0.14285714285714285,0.0010878010878010878,0.005960705960705961,0.01938061938061938,0.045621045621045624,0.08957708957708958,0.01938061938061938,0.046453546453546456,0.0924075924075924,0.0924075924075924,0.16483516483516483,0.052947052947052944,0.10589410589410589,0.18681318681318682,0.18681318681318682,0.34065934065934067,0.006954156954156954,0.02227772227772228,0.052947052947052944,0.10447885447885448,0.052947052947052944,0.10589410589410589,0.18681318681318682,0.18681318681318682,0.11938061938061938,0.21043956043956044,0.34065934065934067,0.23406593406593407,0.3758241758241758,0.025174825174825177,0.06027306027306027,0.11938061938061938,0.2087912087912088,0.11938061938061938,0.21043956043956044,0.34065934065934067,0.23406593406593407,0.3758241758241758,0.41098901098901097,0.6571428571428571,0.0675990675990676,0.1342823842823843,0.23406593406593407,0.23406593406593407,0.3758241758241758,0.41098901098901097,0.6571428571428571,0.14918414918414918,0.25934065934065936,0.41098901098901097,0.41098901098901097,0.6571428571428571,0.2846153846153846,0.44652014652014654,0.6571428571428571,0.48205128205128206,0.6952380952380952,0.7333333333333333,1.0
[3. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.011655011655011656,-0.014111814111814112,-0.01038961038961039,-0.003108003108003108,0.004144004144004144,0.005594405594405594,-0.004662004662004662,-0.00419025419025419,-0.0,0.005439005439005439,0.008158508158508158,0.0021756021756021756,0.006526806526806527,0.01048951048951049,0.013986013986013986,0.012237762237762238,0.017482517482517484,0.02564102564102564,0.0001554001554001554,0.002874902874902875,0.007614607614607615,0.012237762237762238,0.016317016317016316,0.008702408702408702,0.014685314685314685,0.02097902097902098,0.024475524475524476,0.03205128205128205,0.019580419580419582,0.02937062937062937,0.038461538461538464,0.04487179487179487,0.07692307692307693,0.00473970473970474,0.010152810152810153,0.017132867132867134,0.024475524475524476,0.019580419580419582,0.02937062937062937,0.038461538461538464,0.04487179487179487,0.039160839160839164,0.05384615384615385,0.07692307692307693,0.07179487179487179,0.09230769230769231,0.013053613053613054,0.022843822843822845,0.03426573426573427,0.04487179487179487,0.039160839160839164,0.05384615384615385,0.07692307692307693,0.07179487179487179,0.09230769230769231,0.12307692307692308,0.2,0.02937062937062937,0.04568764568764569,0.06282051282051282,0.07179487179487179,0.09230769230769231,0.12307692307692308,0.2,0.05874125874125874,0.08376068376068375,0.1076923076923077,0.12307692307692308,0.2,0.1076923076923077,0.14358974358974358,0.2,0.18461538461538463,0.23333333333333334,0.3,0.4666666666666667
