,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],-0.0,0.0,0.0,0.0022624434389140274,0.01753393665158371,0.07207498383968972,0.0,0.0022624434389140274,0.01753393665158371,0.07207498383968972,0.20539754363283774,0.01753393665158371,0.07207498383968972,0.20539754363283774,0.20539754363283774,0.44537815126050423,0.0022624434389140274,0.01753393665158371,0.07207498383968972,0.20539754363283774,0.07207498383968972,0.20539754363283774,0.44537815126050423,0.44537815126050423,0.20539754363283774,0.44537815126050423,0.7573529411764706,0.01753393665158371,0.07207498383968972,0.20539754363283774,0.44537815126050423,0.20539754363283774,0.44537815126050423,0.7573529411764706,0.44537815126050423,0.7573529411764706,0.7573529411764706,0.07207498383968972,0.20539754363283774,0.44537815126050423,0.44537815126050423,0.7573529411764706,0.7573529411764706,1.0,0.20539754363283774,0.44537815126050423,0.7573529411764706,0.7573529411764706,1.0,0.44537815126050423,0.7573529411764706,1.0,0.7573529411764706,1.0,1.0,1.0
[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.0,0.00024681201151789385,0.0020310571781160017,0.00781571369806664,0.02177601809954751,0.00032908268202385847,0.0023549979432332373,0.009204031262854791,0.026018099547511313,0.05995475113122172,0.010592348827642945,0.030260180995475113,0.07013574660633484,0.08031674208144797,0.16176470588235295,0.002678938708350473,0.010592348827642945,0.030260180995475113,0.07013574660633484,0.034502262443438916,0.08031674208144797,0.16176470588235295,0.18161764705882352,0.09049773755656108,0.18161764705882352,0.3602941176470588,0.011980666392431099,0.034502262443438916,0.08031674208144797,0.16176470588235295,0.09049773755656108,0.18161764705882352,0.3602941176470588,0.20147058823529412,0.3602941176470588,0.3911764705882353,0.038744343891402716,0.09049773755656108,0.18161764705882352,0.20147058823529412,0.3602941176470588,0.3911764705882353,0.6691176470588235,0.10067873303167421,0.20147058823529412,0.3602941176470588,0.3911764705882353,0.6691176470588235,0.2213235294117647,0.3911764705882353,0.6691176470588235,0.42205882352941176,0.6691176470588235,0.7022058823529411,1.0
[2. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.00024681201151789385,-0.0,0.0008638420403126285,0.0020567667626491155,0.003770739064856712,0.00028794734677087616,0.0011517893870835046,0.002879473467708762,0.005656108597285068,0.00904977375565611,0.0038392979569450156,0.007918552036199095,0.013574660633484163,0.019004524886877826,0.029411764705882353,0.0014808720691073633,0.0038392979569450156,0.007918552036199095,0.013574660633484163,0.010558069381598794,0.019004524886877826,0.029411764705882353,0.041176470588235294,0.025339366515837104,0.041176470588235294,0.08235294117647059,0.0049362402303578775,0.010558069381598794,0.019004524886877826,0.029411764705882353,0.025339366515837104,0.041176470588235294,0.08235294117647059,0.054901960784313725,0.08235294117647059,0.10980392156862745,0.013574660633484163,0.025339366515837104,0.041176470588235294,0.054901960784313725,0.08235294117647059,0.10980392156862745,0.20588235294117646,0.03257918552036199,0.054901960784313725,0.08235294117647059,0.10980392156862745,0.20588235294117646,0.07058823529411765,0.10980392156862745,0.20588235294117646,0.1411764705882353,0.20588235294117646,0.2647058823529412,0.47058823529411764
[2. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0022624434389140274,-0.0020310571781160017,-0.0008638420403126285,-0.0,0.0,0.0,-0.00037021801727684083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.01753393665158371,-0.00781571369806664,-0.0020567667626491155,-0.0,-0.0,0.0,-0.001851090086384204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.07207498383968972,-0.02177601809954751,-0.003770739064856712,-0.0,-0.0,-0.0,-0.006787330316742082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.00032908268202385847,-0.00028794734677087616,0.00037021801727684083,0.001851090086384204,0.006787330316742082,-0.0,0.00032908268202385847,0.0016454134101192926,0.006033182503770739,0.01809954751131222,0.001439736733854381,0.005279034690799397,0.01583710407239819,0.013574660633484163,0.03529411764705882,0.00032908268202385847,0.0016454134101192926,0.006033182503770739,0.01809954751131222,0.005279034690799397,0.01583710407239819,0.041176470588235294,0.03529411764705882,0.01583710407239819,0.041176470588235294,0.08235294117647059,0.0016454134101192926,0.006033182503770739,0.01809954751131222,0.047058823529411764,0.01583710407239819,0.041176470588235294,0.08235294117647059,0.041176470588235294,0.09607843137254903,0.09607843137254903,0.006033182503770739,0.01809954751131222,0.047058823529411764,0.041176470588235294,0.09607843137254903,0.09607843137254903,0.20588235294117646,0.01809954751131222,0.047058823529411764,0.10980392156862745,0.09607843137254903,0.20588235294117646,0.047058823529411764,0.10980392156862745,0.20588235294117646,0.10980392156862745,0.23529411764705882,0.23529411764705882,0.47058823529411764
[3. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0022624434389140274,-0.0023549979432332373,-0.0011517893870835046,-0.0,-0.0,-0.0,-0.00032908268202385847,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.01753393665158371,-0.009204031262854791,-0.002879473467708762,-0.0,-0.0,-0.0,-0.0016454134101192926,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.07207498383968972,-0.026018099547511313,-0.005656108597285068,-0.0,-0.0,-0.0,-0.006033182503770739,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
