,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[12.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],-0.0,0.0,0.0,0.0,0.00904977375565611,0.05995475113122172,0.20539754363283774,0.0,0.0,0.00904977375565611,0.05995475113122172,0.20539754363283774,0.00904977375565611,0.05995475113122172,0.20539754363283774,0.4720426632191338,0.20539754363283774,0.4720426632191338,0.792016806722689,0.0,0.00904977375565611,0.05995475113122172,0.20539754363283774,0.4720426632191338,0.05995475113122172,0.20539754363283774,0.4720426632191338,0.4720426632191338,0.792016806722689,0.20539754363283774,0.4720426632191338,0.792016806722689,0.792016806722689,1.0,0.00904977375565611,0.05995475113122172,0.20539754363283774,0.4720426632191338,0.20539754363283774,0.4720426632191338,0.792016806722689,0.792016806722689,0.4720426632191338,0.792016806722689,1.0,0.792016806722689,1.0,0.05995475113122172,0.20539754363283774,0.4720426632191338,0.792016806722689,0.4720426632191338,0.792016806722689,1.0,0.792016806722689,1.0,1.0,1.0,0.20539754363283774,0.4720426632191338,0.792016806722689,0.792016806722689,1.0,1.0,1.0,0.4720426632191338,0.792016806722689,1.0,1.0,1.0,0.792016806722689,1.0,1.0,1.0,1.0,1.0,1.0
[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],-0.0,-0.0,0.0,0.0011752952929423518,0.00781571369806664,0.027450490685784805,0.07207498383968972,0.0,0.001439736733854381,0.009204031262854791,0.03240876770288535,0.08419521654815773,0.010592348827642945,0.0373670447199859,0.09631544925662573,0.20539754363283774,0.10843568196509373,0.22721396250808015,0.44537815126050423,0.0016454134101192926,0.010592348827642945,0.0373670447199859,0.09631544925662573,0.20539754363283774,0.04232532173708644,0.10843568196509373,0.22721396250808015,0.24903038138332256,0.44537815126050423,0.12055591467356173,0.24903038138332256,0.44537815126050423,0.4737394957983193,0.7573529411764706,0.011980666392431099,0.04232532173708644,0.10843568196509373,0.22721396250808015,0.12055591467356173,0.24903038138332256,0.44537815126050423,0.4737394957983193,0.27084680025856495,0.4737394957983193,0.7573529411764706,0.5021008403361344,0.7573529411764706,0.04728359875418699,0.12055591467356173,0.24903038138332256,0.44537815126050423,0.27084680025856495,0.4737394957983193,0.7573529411764706,0.5021008403361344,0.7573529411764706,0.7794117647058824,1.0,0.13267614738202974,0.27084680025856495,0.4737394957983193,0.5021008403361344,0.7573529411764706,0.7794117647058824,1.0,0.2926632191338074,0.5021008403361344,0.7573529411764706,0.7794117647058824,1.0,0.5304621848739496,0.7794117647058824,1.0,0.8014705882352942,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.0,-0.0,0.0011483614424790895,0.004422048539695599,0.009838201014671604,0.01753393665158371,0.00032908268202385847,0.0018545180309886193,0.006016042780748663,0.01388317564788153,0.026018099547511313,0.007846565199506376,0.018562320032908267,0.03582202111613876,0.05995475113122172,0.04694570135746606,0.08031674208144797,0.16176470588235295,0.0024178435943141828,0.007846565199506376,0.018562320032908267,0.03582202111613876,0.05995475113122172,0.023875634169751817,0.04694570135746606,0.08031674208144797,0.10282805429864253,0.16176470588235295,0.05938914027149321,0.10282805429864253,0.16176470588235295,0.20147058823529412,0.3602941176470588,0.009913615795968738,0.023875634169751817,0.04694570135746606,0.08031674208144797,0.05938914027149321,0.10282805429864253,0.16176470588235295,0.20147058823529412,0.12748868778280542,0.20147058823529412,0.3602941176470588,0.24362745098039215,0.3602941176470588,0.029823118058412177,0.05938914027149321,0.10282805429864253,0.16176470588235295,0.12748868778280542,0.20147058823529412,0.3602941176470588,0.24362745098039215,0.3602941176470588,0.42205882352941176,0.6691176470588235,0.07315233785822021,0.12748868778280542,0.20147058823529412,0.24362745098039215,0.3602941176470588,0.42205882352941176,0.6691176470588235,0.15429864253393666,0.24362745098039215,0.3602941176470588,0.42205882352941176,0.6691176470588235,0.28823529411764703,0.42205882352941176,0.6691176470588235,0.4843137254901961,0.6691176470588235,0.7352941176470589,1.0
[2. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.0011752952929423518,-0.0011483614424790895,-0.0,0.001439736733854381,0.0020567667626491155,0.0022624434389140274,4.113533525298231e-05,0.0008638420403126285,0.0023035787741670093,0.003599341834635952,0.004524886877828055,0.003455368161250514,0.005758946935417524,0.007918552036199095,0.00904977375565611,0.012669683257918552,0.01583710407239819,0.029411764705882353,0.0016042780748663102,0.003455368161250514,0.005758946935417524,0.007918552036199095,0.00904977375565611,0.008638420403126285,0.012669683257918552,0.01583710407239819,0.025339366515837104,0.029411764705882353,0.019004524886877826,0.025339366515837104,0.029411764705882353,0.047058823529411764,0.08235294117647059,0.0049362402303578775,0.008638420403126285,0.012669683257918552,0.01583710407239819,0.019004524886877826,0.025339366515837104,0.029411764705882353,0.047058823529411764,0.03800904977375565,0.047058823529411764,0.08235294117647059,0.07058823529411765,0.08235294117647059,0.012340600575894693,0.019004524886877826,0.025339366515837104,0.029411764705882353,0.03800904977375565,0.047058823529411764,0.08235294117647059,0.07058823529411765,0.08235294117647059,0.12352941176470589,0.20588235294117646,0.027149321266968326,0.03800904977375565,0.047058823529411764,0.07058823529411765,0.08235294117647059,0.12352941176470589,0.20588235294117646,0.05429864253393665,0.07058823529411765,0.08235294117647059,0.12352941176470589,0.20588235294117646,0.10084033613445378,0.12352941176470589,0.20588235294117646,0.17647058823529413,0.20588235294117646,0.29411764705882354,0.47058823529411764
[2. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.00904977375565611,-0.00781571369806664,-0.004422048539695599,-0.001439736733854381,-0.0,0.0,0.0,-0.0030028794734677086,-0.0011106540518305225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00037021801727684083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.05995475113122172,-0.027450490685784805,-0.009838201014671604,-0.0020567667626491155,-0.0,-0.0,0.0,-0.013368983957219251,-0.0030851501439736733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001851090086384204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.20539754363283774,-0.07207498383968972,-0.01753393665158371,-0.0022624434389140274,-0.0,-0.0,-0.0,-0.042986425339366516,-0.006787330316742082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006787330316742082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.0,-0.00032908268202385847,-4.113533525298231e-05,0.0030028794734677086,0.013368983957219251,0.042986425339366516,-0.0,0.00028794734677087616,0.002678938708350473,0.011980666392431099,0.038744343891402716,0.0023549979432332373,0.010592348827642945,0.034502262443438916,0.09049773755656108,0.030260180995475113,0.08031674208144797,0.16176470588235295,0.00032908268202385847,0.002678938708350473,0.011980666392431099,0.038744343891402716,0.10067873303167421,0.010592348827642945,0.034502262443438916,0.09049773755656108,0.08031674208144797,0.18161764705882352,0.034502262443438916,0.09049773755656108,0.20147058823529412,0.18161764705882352,0.3602941176470588,0.002678938708350473,0.011980666392431099,0.038744343891402716,0.10067873303167421,0.034502262443438916,0.09049773755656108,0.20147058823529412,0.18161764705882352,0.09049773755656108,0.20147058823529412,0.3602941176470588,0.20147058823529412,0.3911764705882353,0.011980666392431099,0.038744343891402716,0.10067873303167421,0.2213235294117647,0.09049773755656108,0.20147058823529412,0.3602941176470588,0.20147058823529412,0.3911764705882353,0.3911764705882353,0.6691176470588235,0.038744343891402716,0.10067873303167421,0.2213235294117647,0.20147058823529412,0.3911764705882353,0.3911764705882353,0.6691176470588235,0.10067873303167421,0.2213235294117647,0.42205882352941176,0.3911764705882353,0.6691176470588235,0.2213235294117647,0.42205882352941176,0.6691176470588235,0.42205882352941176,0.7022058823529411,0.7022058823529411,1.0
[3. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.001439736733854381,-0.0018545180309886193,-0.0008638420403126285,0.0011106540518305225,0.0030851501439736733,0.006787330316742082,-0.00028794734677087616,-0.0,0.0011517893870835046,0.003290826820238585,0.007541478129713424,0.0011517893870835046,0.0033593857123268888,0.007918552036199095,0.01583710407239819,0.007918552036199095,0.016289592760180997,0.029411764705882353,0.00028794734677087616,0.0013163307280954339,0.0038392979569450156,0.00904977375565611,0.01809954751131222,0.0038392979569450156,0.009238310708898944,0.019004524886877826,0.019004524886877826,0.03529411764705882,0.010558069381598794,0.022171945701357467,0.041176470588235294,0.041176470588235294,0.08235294117647059,0.0014808720691073633,0.0043877690936514465,0.010558069381598794,0.02171945701357466,0.010558069381598794,0.022171945701357467,0.041176470588235294,0.041176470588235294,0.025339366515837104,0.04803921568627451,0.08235294117647059,0.054901960784313725,0.09607843137254903,0.0049362402303578775,0.012066365007541479,0.025339366515837104,0.047058823529411764,0.025339366515837104,0.04803921568627451,0.08235294117647059,0.054901960784313725,0.09607843137254903,0.10980392156862745,0.20588235294117646,0.013574660633484163,0.02895927601809955,0.054901960784313725,0.054901960784313725,0.09607843137254903,0.10980392156862745,0.20588235294117646,0.03257918552036199,0.06274509803921569,0.10980392156862745,0.10980392156862745,0.20588235294117646,0.07058823529411765,0.12549019607843137,0.20588235294117646,0.1411764705882353,0.23529411764705882,0.2647058823529412,0.47058823529411764
[3. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.00904977375565611,-0.009204031262854791,-0.006016042780748663,-0.0023035787741670093,-0.0,-0.0,-0.0,-0.002678938708350473,-0.0011517893870835046,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00037021801727684083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
