,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[10.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]","[10.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]","[11.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]","[12.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]"
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.0,0.0,0.0,0.0007144558228149559,0.006271334444709058,0.029193458760022228,0.09468524251805986,0.0,0.0007144558228149559,0.006271334444709058,0.029193458760022228,0.09468524251805986,0.006271334444709058,0.029193458760022228,0.09468524251805986,0.23658410732714139,0.09468524251805986,0.23658410732714139,0.47497420020639836,0.0007144558228149559,0.006271334444709058,0.029193458760022228,0.09468524251805986,0.23658410732714139,0.029193458760022228,0.09468524251805986,0.23658410732714139,0.23658410732714139,0.47497420020639836,0.09468524251805986,0.23658410732714139,0.47497420020639836,0.47497420020639836,0.7729618163054696,0.006271334444709058,0.029193458760022228,0.09468524251805986,0.23658410732714139,0.09468524251805986,0.23658410732714139,0.47497420020639836,0.47497420020639836,0.23658410732714139,0.47497420020639836,0.7729618163054696,0.47497420020639836,0.7729618163054696,0.029193458760022228,0.09468524251805986,0.23658410732714139,0.47497420020639836,0.23658410732714139,0.47497420020639836,0.7729618163054696,0.47497420020639836,0.7729618163054696,0.7729618163054696,1.0,0.09468524251805986,0.23658410732714139,0.47497420020639836,0.47497420020639836,0.7729618163054696,0.7729618163054696,1.0,0.23658410732714139,0.47497420020639836,0.7729618163054696,0.7729618163054696,1.0,0.47497420020639836,0.7729618163054696,1.0,0.7729618163054696,1.0,1.0,1.0
[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.0,7.57756175712832e-05,0.0006964140091075075,0.0030298219152708316,0.009446693657219974,0.023735810113519093,9.742579402022126e-05,0.0007926370155472322,0.003492895133762007,0.01103437326347543,0.02803577571379429,0.003955968352253182,0.012622052869730888,0.03233574131406949,0.07103543171654626,0.03663570691434469,0.0806673546611627,0.17698658410732715,0.000888860021986957,0.003955968352253182,0.012622052869730888,0.03233574131406949,0.07103543171654626,0.014209732475986347,0.03663570691434469,0.0806673546611627,0.09029927760577916,0.17698658410732715,0.04093567251461988,0.09029927760577916,0.17698658410732715,0.19504643962848298,0.37564499484004127,0.0044190415707443574,0.014209732475986347,0.03663570691434469,0.0806673546611627,0.04093567251461988,0.09029927760577916,0.17698658410732715,0.19504643962848298,0.0999312005503956,0.19504643962848298,0.37564499484004127,0.2131062951496388,0.37564499484004127,0.015797412082241804,0.04093567251461988,0.09029927760577916,0.17698658410732715,0.0999312005503956,0.19504643962848298,0.37564499484004127,0.2131062951496388,0.37564499484004127,0.40316477468180256,0.6783625730994152,0.04523563811489508,0.0999312005503956,0.19504643962848298,0.2131062951496388,0.37564499484004127,0.40316477468180256,0.6783625730994152,0.10956312349501204,0.2131062951496388,0.37564499484004127,0.40316477468180256,0.6783625730994152,0.23116615067079463,0.40316477468180256,0.6783625730994152,0.4306845545235638,0.6783625730994152,0.7076023391812866,1.0
[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0,-7.57756175712832e-05,-0.0,0.0003031024702851328,0.0008335317932841152,0.00178613955703739,0.0030959752321981426,8.660070579575224e-05,0.00038970317608088504,0.0011113757243788203,0.0025005953798523457,0.0046439628482972135,0.0014289116456299119,0.003334127173136461,0.006501547987616099,0.010835913312693499,0.0086687306501548,0.015170278637770897,0.032507739938080496,0.0004871289701011063,0.0014289116456299119,0.003334127173136461,0.006501547987616099,0.010835913312693499,0.0042867349368897354,0.0086687306501548,0.015170278637770897,0.02022703818369453,0.032507739938080496,0.011145510835913313,0.02022703818369453,0.032507739938080496,0.043343653250773995,0.08668730650154799,0.00178613955703739,0.0042867349368897354,0.0086687306501548,0.015170278637770897,0.011145510835913313,0.02022703818369453,0.032507739938080496,0.043343653250773995,0.026006191950464396,0.043343653250773995,0.08668730650154799,0.05572755417956656,0.08668730650154799,0.0053584186711121695,0.011145510835913313,0.02022703818369453,0.032507739938080496,0.026006191950464396,0.043343653250773995,0.08668730650154799,0.05572755417956656,0.08668730650154799,0.11145510835913312,0.21052631578947367,0.01393188854489164,0.026006191950464396,0.043343653250773995,0.05572755417956656,0.08668730650154799,0.11145510835913312,0.21052631578947367,0.032507739938080496,0.05572755417956656,0.08668730650154799,0.11145510835913312,0.21052631578947367,0.0696594427244582,0.11145510835913312,0.21052631578947367,0.1393188854489164,0.21052631578947367,0.2631578947368421,0.47368421052631576
[2. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0007144558228149559,-0.0006964140091075075,-0.0003031024702851328,-0.0,0.0,0.0,0.0,-0.0001082508822446903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.006271334444709058,-0.0030298219152708316,-0.0008335317932841152,-0.0,-0.0,0.0,0.0,-0.0005953798523457966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.029193458760022228,-0.009446693657219974,-0.00178613955703739,-0.0,-0.0,-0.0,0.0,-0.0023815194093831865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.09468524251805986,-0.023735810113519093,-0.0030959752321981426,-0.0,-0.0,-0.0,-0.0,-0.007739938080495356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0,-9.742579402022126e-05,-8.660070579575224e-05,0.0001082508822446903,0.0005953798523457966,0.0023815194093831865,0.007739938080495356,-0.0,9.742579402022126e-05,0.0005358418671112169,0.0021433674684448677,0.00696594427244582,0.0004763038818766373,0.0019052155275065491,0.006191950464396285,0.0173374613003096,0.005417956656346749,0.015170278637770897,0.032507739938080496,9.742579402022126e-05,0.0005358418671112169,0.0021433674684448677,0.00696594427244582,0.019504643962848296,0.0019052155275065491,0.006191950464396285,0.0173374613003096,0.015170278637770897,0.037925696594427245,0.006191950464396285,0.0173374613003096,0.043343653250773995,0.037925696594427245,0.08668730650154799,0.0005358418671112169,0.0021433674684448677,0.00696594427244582,0.019504643962848296,0.006191950464396285,0.0173374613003096,0.043343653250773995,0.037925696594427245,0.0173374613003096,0.043343653250773995,0.08668730650154799,0.043343653250773995,0.09907120743034056,0.0021433674684448677,0.00696594427244582,0.019504643962848296,0.048761609907120744,0.0173374613003096,0.043343653250773995,0.08668730650154799,0.043343653250773995,0.09907120743034056,0.09907120743034056,0.21052631578947367,0.00696594427244582,0.019504643962848296,0.048761609907120744,0.043343653250773995,0.09907120743034056,0.09907120743034056,0.21052631578947367,0.019504643962848296,0.048761609907120744,0.11145510835913312,0.09907120743034056,0.21052631578947367,0.048761609907120744,0.11145510835913312,0.21052631578947367,0.11145510835913312,0.23684210526315788,0.23684210526315788,0.47368421052631576
[3. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0007144558228149559,-0.0007926370155472322,-0.00038970317608088504,-0.0,-0.0,-0.0,-0.0,-9.742579402022126e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.006271334444709058,-0.003492895133762007,-0.0011113757243788203,-0.0,-0.0,-0.0,-0.0,-0.0005358418671112169,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
