,[2. 1. 1. 1. 1. 1. 1. 1. 1.],[2. 2. 1. 1. 1. 1. 1. 1. 0.],[2. 2. 2. 1. 1. 1. 1. 0. 0.],[2. 2. 2. 2. 1. 1. 0. 0. 0.],[2. 2. 2. 2. 2. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 0.],[3. 2. 1. 1. 1. 1. 1. 0. 0.],[3. 2. 2. 1. 1. 1. 0. 0. 0.],[3. 2. 2. 2. 1. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 0. 0. 0.],[3. 3. 2. 1. 1. 0. 0. 0. 0.],[3. 3. 2. 2. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 0. 0.],[4. 2. 1. 1. 1. 1. 0. 0. 0.],[4. 2. 2. 1. 1. 0. 0. 0. 0.],[4. 2. 2. 2. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 0. 0. 0. 0.],[4. 3. 2. 1. 0. 0. 0. 0. 0.],[4. 3. 3. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 0. 0. 0. 0. 0.],[4. 4. 2. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 0. 0. 0.],[5. 2. 1. 1. 1. 0. 0. 0. 0.],[5. 2. 2. 1. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 0. 0. 0. 0. 0.],[5. 3. 2. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 0. 0. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 0. 0. 0. 0.],[6. 2. 1. 1. 0. 0. 0. 0. 0.],[6. 2. 2. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 0. 0. 0. 0. 0. 0.],[6. 4. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 0. 0. 0. 0. 0.],[7. 2. 1. 0. 0. 0. 0. 0. 0.],[7. 3. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 0. 0. 0. 0. 0. 0.],[8. 2. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 0. 0. 0. 0. 0. 0. 0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.]
[2. 1. 1. 1. 1. 1. 1. 1. 1.],-0.0,0.0,0.0,0.0,-0.4444444444444444,0.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,1.0,1.0,0.0,0.0,0.2222222222222222,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 1. 1. 0.],-0.0,-0.0,0.0,-0.031746031746031744,-0.16666666666666666,0.0,0.0,0.047619047619047616,0.07142857142857142,0.09523809523809523,0.2261904761904762,0.4444444444444444,0.5833333333333334,0.0,0.09523809523809523,0.2261904761904762,0.4444444444444444,0.34523809523809523,0.5833333333333334,1.0,0.7023809523809523,1.0,0.15873015873015872,0.34523809523809523,0.5833333333333334,0.7023809523809523,1.0,1.0,1.0,0.46825396825396826,0.7023809523809523,1.0,1.0,1.0,0.8015873015873016,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 1. 0. 0.],-0.0,-0.0,-0.0,-0.016666666666666666,-0.047619047619047616,0.0,0.047619047619047616,0.05,0.031746031746031744,0.1523809523809524,0.1626984126984127,0.16666666666666666,0.34523809523809523,0.09523809523809523,0.1523809523809524,0.17063492063492064,0.16666666666666666,0.3142857142857143,0.34523809523809523,0.5833333333333334,0.5238095238095238,0.5833333333333334,0.2619047619047619,0.3142857142857143,0.34523809523809523,0.5238095238095238,0.5833333333333334,0.7619047619047619,1.0,0.4714285714285714,0.5238095238095238,0.5833333333333334,0.7619047619047619,1.0,0.6904761904761905,0.7619047619047619,1.0,0.8809523809523809,1.0,1.0,1.0
[2. 2. 2. 2. 1. 1. 0. 0. 0.],-0.0,0.031746031746031744,0.016666666666666666,-0.0,-0.007936507936507936,0.1111111111111111,0.06746031746031746,0.03333333333333333,0.007936507936507936,0.13095238095238096,0.08015873015873017,0.047619047619047616,0.16666666666666666,0.2261904761904762,0.1626984126984127,0.10396825396825397,0.047619047619047616,0.25,0.16666666666666666,0.2261904761904762,0.35714285714285715,0.2261904761904762,0.34523809523809523,0.25793650793650796,0.16666666666666666,0.35714285714285715,0.2261904761904762,0.4642857142857143,0.5833333333333334,0.46825396825396826,0.35714285714285715,0.2261904761904762,0.4642857142857143,0.5833333333333334,0.5952380952380952,0.4642857142857143,0.5833333333333334,0.7261904761904762,0.5833333333333334,0.8611111111111112,1.0
[2. 2. 2. 2. 2. 0. 0. 0. 0.],0.4444444444444444,0.16666666666666666,0.047619047619047616,0.007936507936507936,-0.0,0.16666666666666666,0.047619047619047616,0.007936507936507936,0.0,0.0,0.0,0.007936507936507936,0.047619047619047616,0.3253968253968254,0.12698412698412698,0.03968253968253968,0.007936507936507936,0.11904761904761904,0.047619047619047616,0.047619047619047616,0.16666666666666666,0.047619047619047616,0.40476190476190477,0.15873015873015872,0.047619047619047616,0.16666666666666666,0.047619047619047616,0.16666666666666666,0.16666666666666666,0.4365079365079365,0.16666666666666666,0.047619047619047616,0.16666666666666666,0.16666666666666666,0.4444444444444444,0.16666666666666666,0.16666666666666666,0.4444444444444444,0.16666666666666666,0.4444444444444444,0.4444444444444444
[3. 1. 1. 1. 1. 1. 1. 1. 0.],-0.0,-0.0,-0.0,-0.1111111111111111,-0.16666666666666666,-0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.5833333333333334,0.5138888888888888,0.0,0.0,0.2222222222222222,0.6527777777777778,0.16666666666666666,0.5833333333333334,1.0,0.5833333333333334,1.0,0.0,0.2222222222222222,0.6527777777777778,0.5833333333333334,1.0,1.0,1.0,0.2222222222222222,0.6527777777777778,1.0,1.0,1.0,0.6527777777777778,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 1. 0. 0.],-0.0,-0.0,-0.047619047619047616,-0.06746031746031746,-0.047619047619047616,-0.0,-0.0,0.015873015873015872,0.07341269841269842,0.047619047619047616,0.12962962962962962,0.2857142857142857,0.2857142857142857,0.0,0.06349206349206349,0.16534391534391535,0.34523809523809523,0.17857142857142858,0.34523809523809523,0.5833333333333334,0.40476190476190477,0.6428571428571429,0.07936507936507936,0.22023809523809523,0.40476190476190477,0.40476190476190477,0.6428571428571429,0.7023809523809523,1.0,0.2619047619047619,0.4642857142857143,0.7023809523809523,0.7023809523809523,1.0,0.5238095238095238,0.751984126984127,1.0,0.8015873015873016,1.0,1.0,1.0
[3. 2. 2. 1. 1. 1. 0. 0. 0.],-0.0,-0.047619047619047616,-0.05,-0.03333333333333333,-0.007936507936507936,-0.0,-0.015873015873015872,-0.0,0.02619047619047619,0.04206349206349207,0.06825396825396825,0.10714285714285714,0.13690476190476192,0.047619047619047616,0.07103174603174603,0.10238095238095238,0.13690476190476192,0.14246031746031745,0.17857142857142858,0.2261904761904762,0.2619047619047619,0.2857142857142857,0.13690476190476192,0.18293650793650792,0.22023809523809523,0.2619047619047619,0.2857142857142857,0.40476190476190477,0.5833333333333334,0.2619047619047619,0.3134920634920635,0.34523809523809523,0.40476190476190477,0.5833333333333334,0.4166666666666667,0.46825396825396826,0.5833333333333334,0.5952380952380952,0.6527777777777778,0.7916666666666666,1.0
[3. 2. 2. 2. 1. 0. 0. 0. 0.],-0.1111111111111111,-0.07142857142857142,-0.031746031746031744,-0.007936507936507936,-0.0,-0.16666666666666666,-0.07341269841269842,-0.02619047619047619,-0.0,-0.044444444444444446,0.0,0.023809523809523808,0.03968253968253968,-0.007936507936507936,0.03015873015873016,0.03968253968253968,0.031746031746031744,0.05555555555555555,0.05952380952380952,0.047619047619047616,0.11904761904761904,0.07142857142857142,0.12698412698412698,0.1111111111111111,0.07936507936507936,0.11904761904761904,0.07142857142857142,0.14285714285714285,0.16666666666666666,0.21428571428571427,0.15873015873015872,0.09523809523809523,0.14285714285714285,0.16666666666666666,0.2777777777777778,0.19047619047619047,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3888888888888889,0.4444444444444444
[3. 3. 1. 1. 1. 1. 0. 0. 0.],-0.0,-0.09523809523809523,-0.1523809523809524,-0.13095238095238096,-0.0,-0.0,-0.047619047619047616,-0.04206349206349207,0.044444444444444446,-0.0,0.05,0.17857142857142858,0.10714285714285714,0.0,0.0,0.0761904761904762,0.2619047619047619,0.06587301587301587,0.17857142857142858,0.2261904761904762,0.17857142857142858,0.34523809523809523,0.031746031746031744,0.10793650793650794,0.2619047619047619,0.17857142857142858,0.34523809523809523,0.34523809523809523,0.5833333333333334,0.11587301587301588,0.2619047619047619,0.46825396825396826,0.34523809523809523,0.5833333333333334,0.2619047619047619,0.46825396825396826,0.5833333333333334,0.46825396825396826,0.7222222222222222,0.7222222222222222,1.0
[3. 3. 2. 1. 1. 0. 0. 0. 0.],-0.2222222222222222,-0.2261904761904762,-0.1626984126984127,-0.08015873015873017,-0.0,-0.16666666666666666,-0.12962962962962962,-0.06825396825396825,-0.0,-0.05,-0.0,0.047619047619047616,0.031746031746031744,-0.10317460317460317,-0.050793650793650794,0.015873015873015872,0.07936507936507936,0.015873015873015872,0.06349206349206349,0.047619047619047616,0.07936507936507936,0.09523809523809523,0.007936507936507936,0.05555555555555555,0.10582010582010581,0.07936507936507936,0.09523809523809523,0.11904761904761904,0.16666666666666666,0.0873015873015873,0.13227513227513227,0.15873015873015872,0.11904761904761904,0.16666666666666666,0.15873015873015872,0.1984126984126984,0.16666666666666666,0.23809523809523808,0.2777777777777778,0.3333333333333333,0.4444444444444444
[3. 3. 2. 2. 0. 0. 0. 0. 0.],-1.0,-0.4444444444444444,-0.16666666666666666,-0.047619047619047616,-0.007936507936507936,-0.5833333333333334,-0.2857142857142857,-0.10714285714285714,-0.023809523809523808,-0.17857142857142858,-0.047619047619047616,-0.0,0.0,-0.40476190476190477,-0.16666666666666666,-0.03968253968253968,0.0,-0.07936507936507936,0.0,0.0,0.0,0.0,-0.16666666666666666,-0.03968253968253968,0.0,0.0,0.0,0.0,0.0,-0.03968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 3. 3. 1. 0. 0. 0. 0. 0.],-1.0,-0.5833333333333334,-0.34523809523809523,-0.16666666666666666,-0.047619047619047616,-0.5138888888888888,-0.2857142857142857,-0.13690476190476192,-0.03968253968253968,-0.10714285714285714,-0.031746031746031744,-0.0,-0.0,-0.40476190476190477,-0.21428571428571427,-0.07936507936507936,0.0,-0.05952380952380952,0.0,0.0,0.0,0.0,-0.16666666666666666,-0.05952380952380952,0.0,0.0,0.0,0.0,0.0,-0.03968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
