,[2. 2. 2. 2. 2. 1. 1. 1. 1.],[2. 2. 2. 2. 2. 2. 1. 1. 0.],[2. 2. 2. 2. 2. 2. 2. 0. 0.],[3. 2. 2. 2. 1. 1. 1. 1. 1.],[3. 2. 2. 2. 2. 1. 1. 1. 0.],[3. 2. 2. 2. 2. 2. 1. 0. 0.],[3. 3. 2. 1. 1. 1. 1. 1. 1.],[3. 3. 2. 2. 1. 1. 1. 1. 0.],[3. 3. 2. 2. 2. 1. 1. 0. 0.],[3. 3. 2. 2. 2. 2. 0. 0. 0.],[3. 3. 3. 1. 1. 1. 1. 1. 0.],[3. 3. 3. 2. 1. 1. 1. 0. 0.],[3. 3. 3. 2. 2. 1. 0. 0. 0.],[3. 3. 3. 3. 1. 1. 0. 0. 0.],[3. 3. 3. 3. 2. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 1. 1. 1. 1.],[4. 2. 2. 2. 1. 1. 1. 1. 0.],[4. 2. 2. 2. 2. 1. 1. 0. 0.],[4. 2. 2. 2. 2. 2. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 1. 1. 1.],[4. 3. 2. 1. 1. 1. 1. 1. 0.],[4. 3. 2. 2. 1. 1. 1. 0. 0.],[4. 3. 2. 2. 2. 1. 0. 0. 0.],[4. 3. 3. 1. 1. 1. 1. 0. 0.],[4. 3. 3. 2. 1. 1. 0. 0. 0.],[4. 3. 3. 2. 2. 0. 0. 0. 0.],[4. 3. 3. 3. 1. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 1. 1. 1. 0.],[4. 4. 2. 1. 1. 1. 1. 0. 0.],[4. 4. 2. 2. 1. 1. 0. 0. 0.],[4. 4. 2. 2. 2. 0. 0. 0. 0.],[4. 4. 3. 1. 1. 1. 0. 0. 0.],[4. 4. 3. 2. 1. 0. 0. 0. 0.],[4. 4. 3. 3. 0. 0. 0. 0. 0.],[4. 4. 4. 1. 1. 0. 0. 0. 0.],[4. 4. 4. 2. 0. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 1. 1. 1. 1.],[5. 2. 2. 1. 1. 1. 1. 1. 0.],[5. 2. 2. 2. 1. 1. 1. 0. 0.],[5. 2. 2. 2. 2. 1. 0. 0. 0.],[5. 3. 1. 1. 1. 1. 1. 1. 0.],[5. 3. 2. 1. 1. 1. 1. 0. 0.],[5. 3. 2. 2. 1. 1. 0. 0. 0.],[5. 3. 2. 2. 2. 0. 0. 0. 0.],[5. 3. 3. 1. 1. 1. 0. 0. 0.],[5. 3. 3. 2. 1. 0. 0. 0. 0.],[5. 3. 3. 3. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 1. 1. 1. 0. 0.],[5. 4. 2. 1. 1. 1. 0. 0. 0.],[5. 4. 2. 2. 1. 0. 0. 0. 0.],[5. 4. 3. 1. 1. 0. 0. 0. 0.],[5. 4. 3. 2. 0. 0. 0. 0. 0.],[5. 4. 4. 1. 0. 0. 0. 0. 0.],[5. 5. 1. 1. 1. 1. 0. 0. 0.],[5. 5. 2. 1. 1. 0. 0. 0. 0.],[5. 5. 2. 2. 0. 0. 0. 0. 0.],[5. 5. 3. 1. 0. 0. 0. 0. 0.],[5. 5. 4. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 1. 1. 1.],[6. 2. 1. 1. 1. 1. 1. 1. 0.],[6. 2. 2. 1. 1. 1. 1. 0. 0.],[6. 2. 2. 2. 1. 1. 0. 0. 0.],[6. 2. 2. 2. 2. 0. 0. 0. 0.],[6. 3. 1. 1. 1. 1. 1. 0. 0.],[6. 3. 2. 1. 1. 1. 0. 0. 0.],[6. 3. 2. 2. 1. 0. 0. 0. 0.],[6. 3. 3. 1. 1. 0. 0. 0. 0.],[6. 3. 3. 2. 0. 0. 0. 0. 0.],[6. 4. 1. 1. 1. 1. 0. 0. 0.],[6. 4. 2. 1. 1. 0. 0. 0. 0.],[6. 4. 2. 2. 0. 0. 0. 0. 0.],[6. 4. 3. 1. 0. 0. 0. 0. 0.],[6. 4. 4. 0. 0. 0. 0. 0. 0.],[6. 5. 1. 1. 1. 0. 0. 0. 0.],[6. 5. 2. 1. 0. 0. 0. 0. 0.],[6. 5. 3. 0. 0. 0. 0. 0. 0.],[6. 6. 1. 1. 0. 0. 0. 0. 0.],[6. 6. 2. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1. 1. 1. 0.],[7. 2. 1. 1. 1. 1. 1. 0. 0.],[7. 2. 2. 1. 1. 1. 0. 0. 0.],[7. 2. 2. 2. 1. 0. 0. 0. 0.],[7. 3. 1. 1. 1. 1. 0. 0. 0.],[7. 3. 2. 1. 1. 0. 0. 0. 0.],[7. 3. 2. 2. 0. 0. 0. 0. 0.],[7. 3. 3. 1. 0. 0. 0. 0. 0.],[7. 4. 1. 1. 1. 0. 0. 0. 0.],[7. 4. 2. 1. 0. 0. 0. 0. 0.],[7. 4. 3. 0. 0. 0. 0. 0. 0.],[7. 5. 1. 1. 0. 0. 0. 0. 0.],[7. 5. 2. 0. 0. 0. 0. 0. 0.],[7. 6. 1. 0. 0. 0. 0. 0. 0.],[7. 7. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 1. 1. 0. 0.],[8. 2. 1. 1. 1. 1. 0. 0. 0.],[8. 2. 2. 1. 1. 0. 0. 0. 0.],[8. 2. 2. 2. 0. 0. 0. 0. 0.],[8. 3. 1. 1. 1. 0. 0. 0. 0.],[8. 3. 2. 1. 0. 0. 0. 0. 0.],[8. 3. 3. 0. 0. 0. 0. 0. 0.],[8. 4. 1. 1. 0. 0. 0. 0. 0.],[8. 4. 2. 0. 0. 0. 0. 0. 0.],[8. 5. 1. 0. 0. 0. 0. 0. 0.],[8. 6. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 1. 1. 0. 0. 0.],[9. 2. 1. 1. 1. 0. 0. 0. 0.],[9. 2. 2. 1. 0. 0. 0. 0. 0.],[9. 3. 1. 1. 0. 0. 0. 0. 0.],[9. 3. 2. 0. 0. 0. 0. 0. 0.],[9. 4. 1. 0. 0. 0. 0. 0. 0.],[9. 5. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  1.  1.  1.  0.  0.  0.  0.],[10.  2.  1.  1.  0.  0.  0.  0.  0.],[10.  2.  2.  0.  0.  0.  0.  0.  0.],[10.  3.  1.  0.  0.  0.  0.  0.  0.],[10.  4.  0.  0.  0.  0.  0.  0.  0.],[11.  1.  1.  1.  0.  0.  0.  0.  0.],[11.  2.  1.  0.  0.  0.  0.  0.  0.],[11.  3.  0.  0.  0.  0.  0.  0.  0.],[12.  1.  1.  0.  0.  0.  0.  0.  0.],[12.  2.  0.  0.  0.  0.  0.  0.  0.],[13.  1.  0.  0.  0.  0.  0.  0.  0.],[14.  0.  0.  0.  0.  0.  0.  0.  0.]
[2. 2. 2. 2. 2. 1. 1. 1. 1.],-0.0,0.0,0.0,0.007936507936507936,-0.007936507936507936,-0.03968253968253968,0.047619047619047616,0.03968253968253968,-0.047619047619047616,-0.16666666666666666,0.16666666666666666,0.11904761904761904,-0.16666666666666666,0.2777777777777778,-0.4444444444444444,0.047619047619047616,0.03968253968253968,-0.007936507936507936,-0.03968253968253968,0.16666666666666666,0.16666666666666666,0.11904761904761904,-0.047619047619047616,0.35714285714285715,0.2777777777777778,-0.16666666666666666,0.5555555555555556,0.40476190476190477,0.35714285714285715,0.2777777777777778,-0.047619047619047616,0.5952380952380952,0.5555555555555556,1.0,0.8333333333333334,1.0,0.16666666666666666,0.16666666666666666,0.11904761904761904,-0.007936507936507936,0.40476190476190477,0.35714285714285715,0.2777777777777778,-0.047619047619047616,0.5952380952380952,0.5555555555555556,1.0,0.6428571428571429,0.5952380952380952,0.5555555555555556,0.8333333333333334,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.4444444444444444,0.40476190476190477,0.35714285714285715,0.2777777777777778,-0.007936507936507936,0.6428571428571429,0.5952380952380952,0.5555555555555556,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.9523809523809523,1.0,1.0,1.0,1.0,0.7222222222222222,0.6428571428571429,0.5952380952380952,0.5555555555555556,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,1.0,0.8809523809523809,0.8333333333333334,0.8333333333333334,1.0,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,1.0,0.9603174603174603,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,0.9920634920634921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 2. 1. 1. 0.],-0.0,-0.0,0.0,0.047619047619047616,0.0,0.0,0.15476190476190477,0.07936507936507936,-0.03571428571428571,-0.047619047619047616,0.34523809523809523,0.07539682539682539,-0.13095238095238096,0.015873015873015872,-0.3333333333333333,0.15476190476190477,0.09523809523809523,0.0,0.0,0.2222222222222222,0.34523809523809523,0.14682539682539683,-0.023809523809523808,0.46825396825396826,0.18253968253968253,-0.08333333333333333,0.2222222222222222,0.7023809523809523,0.46825396825396826,0.23015873015873015,-0.011904761904761904,0.5952380952380952,0.3055555555555556,0.4444444444444444,0.7261904761904762,0.4444444444444444,0.2222222222222222,0.34523809523809523,0.15873015873015872,0.0,0.7023809523809523,0.46825396825396826,0.23015873015873015,-0.011904761904761904,0.5952380952380952,0.3055555555555556,0.4444444444444444,0.8015873015873016,0.5952380952380952,0.32936507936507936,0.7261904761904762,0.4444444444444444,0.8611111111111112,0.8809523809523809,0.7261904761904762,0.4444444444444444,0.8611111111111112,1.0,0.1111111111111111,0.7023809523809523,0.46825396825396826,0.23809523809523808,0.0,0.8015873015873016,0.5952380952380952,0.32936507936507936,0.7261904761904762,0.4444444444444444,0.8809523809523809,0.7261904761904762,0.4444444444444444,0.8611111111111112,1.0,0.9404761904761905,0.8611111111111112,1.0,0.9801587301587301,1.0,1.0,0.8015873015873016,0.5952380952380952,0.3333333333333333,0.8809523809523809,0.7261904761904762,0.4444444444444444,0.8611111111111112,0.9404761904761905,0.8611111111111112,1.0,0.9801587301587301,1.0,1.0,1.0,1.0,0.8809523809523809,0.7261904761904762,0.4444444444444444,0.9404761904761905,0.8611111111111112,1.0,0.9801587301587301,1.0,1.0,1.0,1.0,0.9404761904761905,0.8611111111111112,0.9801587301587301,1.0,1.0,1.0,1.0,0.9801587301587301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 2. 2. 0. 0.],-0.0,-0.0,-0.0,0.16666666666666666,0.0,0.0,0.5833333333333334,0.16666666666666666,0.0,0.0,0.3055555555555556,0.0,-0.08333333333333333,-0.25,-0.2222222222222222,0.5833333333333334,0.16666666666666666,0.0,0.0,1.0,0.5833333333333334,0.16666666666666666,0.0,0.4166666666666667,0.08333333333333333,-0.027777777777777776,-0.05555555555555555,1.0,0.5833333333333334,0.16666666666666666,0.0,0.5,0.1388888888888889,0.16666666666666666,0.5555555555555556,0.16666666666666666,1.0,0.5833333333333334,0.16666666666666666,0.0,1.0,0.5833333333333334,0.16666666666666666,0.0,0.5,0.1388888888888889,0.16666666666666666,1.0,0.5833333333333334,0.16666666666666666,0.5555555555555556,0.16666666666666666,0.5833333333333334,1.0,0.5833333333333334,0.16666666666666666,0.5833333333333334,0.5833333333333334,1.0,1.0,0.5833333333333334,0.16666666666666666,0.0,1.0,0.5833333333333334,0.16666666666666666,0.5555555555555556,0.16666666666666666,1.0,0.5833333333333334,0.16666666666666666,0.5833333333333334,0.5833333333333334,1.0,0.5833333333333334,0.5833333333333334,1.0,0.5833333333333334,1.0,1.0,0.5833333333333334,0.16666666666666666,1.0,0.5833333333333334,0.16666666666666666,0.5833333333333334,1.0,0.5833333333333334,0.5833333333333334,1.0,0.5833333333333334,1.0,1.0,1.0,1.0,0.5833333333333334,0.16666666666666666,1.0,0.5833333333333334,0.5833333333333334,1.0,0.5833333333333334,1.0,1.0,1.0,1.0,0.5833333333333334,1.0,0.5833333333333334,1.0,1.0,1.0,1.0,0.5833333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 1. 1. 1. 1. 1.],-0.007936507936507936,-0.047619047619047616,-0.16666666666666666,-0.0,-0.023809523809523808,-0.13690476190476192,0.0,0.023809523809523808,-0.04365079365079365,-0.2619047619047619,0.03968253968253968,0.07738095238095238,-0.07539682539682539,0.16666666666666666,-0.16666666666666666,0.0,0.031746031746031744,0.007936507936507936,-0.16666666666666666,0.0,0.05952380952380952,0.10714285714285714,0.025793650793650792,0.16666666666666666,0.2261904761904762,0.023809523809523808,0.4444444444444444,0.11904761904761904,0.21428571428571427,0.2857142857142857,0.21428571428571427,0.40476190476190477,0.5138888888888888,1.0,0.7222222222222222,1.0,0.0,0.07936507936507936,0.13690476190476192,0.12698412698412698,0.11904761904761904,0.21428571428571427,0.2857142857142857,0.23412698412698413,0.40476190476190477,0.5138888888888888,1.0,0.35714285714285715,0.4642857142857143,0.5833333333333334,0.7222222222222222,1.0,1.0,0.6428571428571429,0.7619047619047619,1.0,1.0,1.0,0.0,0.15873015873015872,0.2619047619047619,0.34523809523809523,0.40476190476190477,0.35714285714285715,0.4642857142857143,0.5833333333333334,0.7222222222222222,1.0,0.6428571428571429,0.7619047619047619,1.0,1.0,1.0,0.8809523809523809,1.0,1.0,1.0,1.0,0.2777777777777778,0.4166666666666667,0.5238095238095238,0.6527777777777778,0.6428571428571429,0.7619047619047619,1.0,1.0,0.8809523809523809,1.0,1.0,1.0,1.0,1.0,1.0,0.5952380952380952,0.6904761904761905,0.8015873015873016,1.0,0.8809523809523809,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.9007936507936508,1.0,1.0,1.0,1.0,1.0,0.9603174603174603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 1. 1. 1. 0.],0.007936507936507936,-0.0,-0.0,0.023809523809523808,-0.0,-0.047619047619047616,0.047619047619047616,0.04206349206349207,-0.02619047619047619,-0.11587301587301588,0.13690476190476192,0.044444444444444446,-0.07341269841269842,0.047619047619047616,-0.16666666666666666,0.05952380952380952,0.0869047619047619,0.03968253968253968,-0.03968253968253968,0.08333333333333333,0.17857142857142858,0.12261904761904761,0.03015873015873016,0.2619047619047619,0.15079365079365079,-0.007936507936507936,0.20833333333333334,0.34523809523809523,0.3142857142857143,0.23809523809523808,0.11904761904761904,0.4166666666666667,0.3055555555555556,0.4444444444444444,0.5952380952380952,0.5138888888888888,0.09722222222222222,0.22023809523809523,0.18293650793650792,0.1111111111111111,0.34523809523809523,0.3142857142857143,0.24206349206349206,0.12698412698412698,0.4166666666666667,0.3115079365079365,0.4444444444444444,0.5238095238095238,0.4714285714285714,0.39285714285714285,0.5952380952380952,0.5138888888888888,0.7916666666666666,0.6904761904761905,0.6428571428571429,0.5833333333333334,0.7916666666666666,1.0,0.1111111111111111,0.40674603174603174,0.36666666666666664,0.30952380952380953,0.21428571428571427,0.5238095238095238,0.4714285714285714,0.3948412698412698,0.5952380952380952,0.5138888888888888,0.6904761904761905,0.6428571428571429,0.5833333333333334,0.7916666666666666,1.0,0.8333333333333334,0.8214285714285714,1.0,0.9404761904761905,1.0,0.6527777777777778,0.5793650793650794,0.5261904761904762,0.4662698412698413,0.6904761904761905,0.6428571428571429,0.5833333333333334,0.7916666666666666,0.8333333333333334,0.8214285714285714,1.0,0.9404761904761905,1.0,1.0,1.0,0.8015873015873016,0.7325396825396825,0.6904761904761905,0.6527777777777778,0.8333333333333334,0.8214285714285714,1.0,0.9404761904761905,1.0,1.0,1.0,0.9007936507936508,0.8587301587301587,0.8511904761904762,0.9404761904761905,1.0,1.0,1.0,0.9603174603174603,0.9503968253968254,1.0,1.0,1.0,0.9900793650793651,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 2. 1. 0. 0.],0.03968253968253968,-0.0,-0.0,0.13690476190476192,0.047619047619047616,-0.0,0.04365079365079365,0.08994708994708994,0.0,-0.031746031746031744,0.12698412698412698,0.0,-0.06746031746031746,-0.10714285714285714,-0.14285714285714285,0.08333333333333333,0.17857142857142858,0.06349206349206349,0.0,0.027777777777777776,0.31216931216931215,0.1388888888888889,0.02976190476190476,0.2261904761904762,0.07142857142857142,-0.011904761904761904,0.003968253968253968,0.6428571428571429,0.38095238095238093,0.19047619047619047,0.05952380952380952,0.3333333333333333,0.1488095238095238,0.16666666666666666,0.4365079365079365,0.2261904761904762,0.027777777777777776,0.40476190476190477,0.22023809523809523,0.07936507936507936,0.6428571428571429,0.38492063492063494,0.19444444444444445,0.061507936507936505,0.34523809523809523,0.15674603174603174,0.16666666666666666,0.7023809523809523,0.4523809523809524,0.24206349206349206,0.44047619047619047,0.2261904761904762,0.5238095238095238,0.7619047619047619,0.5198412698412699,0.2857142857142857,0.5238095238095238,0.5833333333333334,0.0,0.7023809523809523,0.4642857142857143,0.2619047619047619,0.09523809523809523,0.7023809523809523,0.45436507936507936,0.24338624338624337,0.4444444444444444,0.2261904761904762,0.7619047619047619,0.5198412698412699,0.2857142857142857,0.5238095238095238,0.5833333333333334,0.8214285714285714,0.5833333333333334,0.5833333333333334,0.8809523809523809,0.6428571428571429,1.0,0.751984126984127,0.5238095238095238,0.30357142857142855,0.7619047619047619,0.5205026455026455,0.2857142857142857,0.5238095238095238,0.8214285714285714,0.5833333333333334,0.5833333333333334,0.8809523809523809,0.6428571428571429,0.9404761904761905,1.0,1.0,0.8015873015873016,0.5833333333333334,0.34523809523809523,0.8214285714285714,0.5833333333333334,0.5833333333333334,0.8809523809523809,0.6428571428571429,0.9404761904761905,1.0,1.0,0.8511904761904762,0.6428571428571429,0.8809523809523809,0.6428571428571429,0.9404761904761905,1.0,1.0,0.9007936507936508,0.7023809523809523,0.9404761904761905,1.0,1.0,0.9503968253968254,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 1. 1. 1. 1. 1. 1.],-0.047619047619047616,-0.15476190476190477,-0.5833333333333334,-0.0,-0.047619047619047616,-0.04365079365079365,-0.0,0.0,-0.047619047619047616,-0.17857142857142858,0.0,0.03571428571428571,0.011904761904761904,0.08333333333333333,0.07936507936507936,0.0,0.0,-0.03968253968253968,-0.12698412698412698,0.0,0.0,0.07142857142857142,0.06746031746031746,0.047619047619047616,0.17857142857142858,0.21825396825396826,0.3333333333333333,0.0,0.09523809523809523,0.2857142857142857,0.34523809523809523,0.2261904761904762,0.5,1.0,0.5833333333333334,1.0,0.0,0.0,0.11904761904761904,0.2222222222222222,0.0,0.09523809523809523,0.2857142857142857,0.4246031746031746,0.2261904761904762,0.5,1.0,0.11904761904761904,0.34523809523809523,0.6428571428571429,0.5833333333333334,1.0,1.0,0.40476190476190477,0.7023809523809523,1.0,1.0,1.0,0.0,0.0,0.15873015873015872,0.40476190476190477,0.6031746031746031,0.11904761904761904,0.34523809523809523,0.6428571428571429,0.5833333333333334,1.0,0.40476190476190477,0.7023809523809523,1.0,1.0,1.0,0.7619047619047619,1.0,1.0,1.0,1.0,0.0,0.1984126984126984,0.46825396825396826,0.7619047619047619,0.40476190476190477,0.7023809523809523,1.0,1.0,0.7619047619047619,1.0,1.0,1.0,1.0,1.0,1.0,0.23809523809523808,0.5317460317460317,0.8015873015873016,1.0,0.7619047619047619,1.0,1.0,1.0,1.0,1.0,1.0,0.5952380952380952,0.8412698412698413,1.0,1.0,1.0,1.0,1.0,0.8809523809523809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 1. 1. 1. 1. 0.],-0.03968253968253968,-0.07936507936507936,-0.16666666666666666,-0.023809523809523808,-0.04206349206349207,-0.08994708994708994,-0.0,-0.0,-0.02619047619047619,-0.08333333333333333,0.031746031746031744,0.02619047619047619,-0.00873015873015873,0.047619047619047616,-0.007936507936507936,0.0,0.031746031746031744,0.025396825396825397,-0.007936507936507936,0.0,0.06349206349206349,0.07857142857142857,0.0626984126984127,0.11587301587301588,0.12566137566137567,0.09391534391534391,0.18253968253968253,0.09523809523809523,0.18888888888888888,0.22142857142857142,0.2261904761904762,0.2619047619047619,0.3055555555555556,0.4444444444444444,0.46825396825396826,0.5833333333333334,0.0,0.10582010582010581,0.16507936507936508,0.19682539682539682,0.09523809523809523,0.18888888888888888,0.2373015873015873,0.26587301587301587,0.2619047619047619,0.3187830687830688,0.4444444444444444,0.2619047619047619,0.36666666666666664,0.44047619047619047,0.46825396825396826,0.5833333333333334,0.7222222222222222,0.4714285714285714,0.5793650793650794,0.7023809523809523,0.7222222222222222,1.0,0.0,0.15873015873015872,0.27195767195767195,0.35079365079365077,0.42857142857142855,0.2619047619047619,0.36666666666666664,0.44841269841269843,0.46825396825396826,0.5833333333333334,0.4714285714285714,0.5793650793650794,0.7023809523809523,0.7222222222222222,1.0,0.6904761904761905,0.8015873015873016,1.0,0.8809523809523809,1.0,0.2222222222222222,0.36507936507936506,0.473015873015873,0.5714285714285714,0.4714285714285714,0.5793650793650794,0.7023809523809523,0.7222222222222222,0.6904761904761905,0.8015873015873016,1.0,0.8809523809523809,1.0,1.0,1.0,0.46825396825396826,0.580952380952381,0.6814814814814815,0.8015873015873016,0.6904761904761905,0.8015873015873016,1.0,0.8809523809523809,1.0,1.0,1.0,0.6904761904761905,0.7746031746031746,0.8677248677248677,0.8809523809523809,1.0,1.0,1.0,0.8587301587301587,0.9206349206349206,1.0,1.0,1.0,0.9603174603174603,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 2. 1. 1. 0. 0.],0.047619047619047616,0.03571428571428571,-0.0,0.04365079365079365,0.02619047619047619,-0.0,0.047619047619047616,0.02619047619047619,-0.0,-0.02619047619047619,0.027777777777777776,0.0,-0.02619047619047619,-0.027777777777777776,-0.047619047619047616,0.01984126984126984,0.1126984126984127,0.07857142857142857,0.03968253968253968,0.027777777777777776,0.12566137566137567,0.0880952380952381,0.05238095238095238,0.0992063492063492,0.06190476190476191,0.027777777777777776,0.03968253968253968,0.2857142857142857,0.22142857142857142,0.1738095238095238,0.13095238095238096,0.20238095238095238,0.15476190476190477,0.16666666666666666,0.32936507936507936,0.2857142857142857,0.027777777777777776,0.24867724867724866,0.20952380952380953,0.16507936507936508,0.2857142857142857,0.2373015873015873,0.19285714285714287,0.14682539682539683,0.2222222222222222,0.1746031746031746,0.16666666666666666,0.40476190476190477,0.34285714285714286,0.2904761904761905,0.3373015873015873,0.2857142857142857,0.4642857142857143,0.5238095238095238,0.4634920634920635,0.40476190476190477,0.4642857142857143,0.5833333333333334,0.0,0.40476190476190477,0.35873015873015873,0.3103174603174603,0.25396825396825395,0.40476190476190477,0.35079365079365077,0.2984126984126984,0.3439153439153439,0.2857142857142857,0.5238095238095238,0.4634920634920635,0.40476190476190477,0.4642857142857143,0.5833333333333334,0.6428571428571429,0.5833333333333334,0.5833333333333334,0.7619047619047619,0.7023809523809523,0.5833333333333334,0.5238095238095238,0.46904761904761905,0.4150793650793651,0.5238095238095238,0.46613756613756613,0.40476190476190477,0.4642857142857143,0.6428571428571429,0.5833333333333334,0.5833333333333334,0.7619047619047619,0.7023809523809523,0.8809523809523809,1.0,0.7023809523809523,0.6349206349206349,0.5796296296296296,0.5238095238095238,0.6428571428571429,0.5833333333333334,0.5833333333333334,0.7619047619047619,0.7023809523809523,0.8809523809523809,1.0,0.8015873015873016,0.7380952380952381,0.6904761904761905,0.7619047619047619,0.7023809523809523,0.8809523809523809,1.0,0.8809523809523809,0.8333333333333334,0.8015873015873016,0.8809523809523809,1.0,0.9404761904761905,0.9206349206349206,1.0,0.9801587301587301,1.0,1.0,1.0
[3. 3. 2. 2. 2. 2. 0. 0. 0.],0.16666666666666666,0.047619047619047616,-0.0,0.2619047619047619,0.11587301587301588,0.031746031746031744,0.17857142857142858,0.08333333333333333,0.02619047619047619,-0.0,-0.03571428571428571,-0.04523809523809524,-0.03333333333333333,-0.13095238095238096,-0.05555555555555555,0.46825396825396826,0.2619047619047619,0.11587301587301588,0.031746031746031744,0.3055555555555556,0.1865079365079365,0.0992063492063492,0.04206349206349207,0.0007936507936507937,-0.00873015873015873,0.0007936507936507937,-0.07142857142857142,0.34523809523809523,0.2261904761904762,0.13095238095238096,0.06190476190476191,0.05952380952380952,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.10714285714285714,0.7222222222222222,0.46825396825396826,0.2619047619047619,0.11587301587301588,0.4246031746031746,0.26587301587301587,0.14682539682539683,0.06587301587301587,0.11031746031746031,0.06746031746031746,0.047619047619047616,0.4642857142857143,0.2976190476190476,0.16666666666666666,0.16666666666666666,0.10714285714285714,0.2261904761904762,0.5357142857142857,0.3333333333333333,0.17857142857142858,0.2261904761904762,0.2261904761904762,1.0,0.7222222222222222,0.46825396825396826,0.2619047619047619,0.11587301587301588,0.503968253968254,0.3134920634920635,0.17063492063492064,0.1865079365079365,0.10714285714285714,0.5357142857142857,0.3333333333333333,0.17857142857142858,0.2261904761904762,0.2261904761904762,0.5714285714285714,0.34523809523809523,0.2261904761904762,0.5833333333333334,0.34523809523809523,1.0,0.7222222222222222,0.46825396825396826,0.2619047619047619,0.5515873015873016,0.3373015873015873,0.17857142857142858,0.2261904761904762,0.5714285714285714,0.34523809523809523,0.2261904761904762,0.5833333333333334,0.34523809523809523,0.5833333333333334,0.5833333333333334,1.0,0.7222222222222222,0.46825396825396826,0.2619047619047619,0.5753968253968254,0.34523809523809523,0.2261904761904762,0.5833333333333334,0.34523809523809523,0.5833333333333334,0.5833333333333334,1.0,0.7222222222222222,0.46825396825396826,0.5833333333333334,0.34523809523809523,0.5833333333333334,0.5833333333333334,1.0,0.7222222222222222,0.46825396825396826,0.5833333333333334,0.5833333333333334,1.0,0.7222222222222222,0.5833333333333334,1.0,0.7222222222222222,1.0,1.0
