,10,100,1000,10000,100000,1000000
1/2^1,0.13040302319761699,0.004288865696635871,0.0028302378547004816,0.0028302378547004816,0.0028302378547004816,0.0028302378547004816
1/2^2,0.22938069663682098,0.006335477693194064,0.0011803921509992397,5.465930475130609e-05,0.00013148212259019547,1.1581717044434336e-06
1/2^3,0.24817834532210847,0.007272968926553772,0.001281090805843349,0.00023168977935679105,2.532300928361815e-05,4.885049042341327e-05
1/2^4,0.25832735206523605,0.0735190816783744,0.0029224663021385072,0.00015206571335570177,9.474451147531426e-06,2.6563622815556354e-06
1/2^5,0.27962411695834655,0.1930194988137019,0.004993053557548551,0.00016633154918050536,1.6055100518647394e-06,1.6055100518647394e-06
1/2^6,0.2899717475368989,0.23839918511699895,0.006155613490591703,0.0005906713751928083,8.169968839262271e-06,1.0759612566746402e-06
1/2^7,0.29503057449954206,0.24396397125951097,0.039583203441220405,0.0019630723082205565,1.1103291207122057e-05,5.945639513227352e-07
1/2^8,0.29752700483095307,0.2721753936334006,0.1611265731944436,0.004329561481890169,5.472180594000395e-05,3.5211370574775856e-07
1/2^9,0.2987664960852613,0.28624369184501314,0.2297635021827121,0.005768994788533852,0.00034237366619538356,2.6833709400394445e-07
1/2^10,0.29938400427221823,0.293173295480194,0.24088790013700223,0.013987588666318593,0.001300910037778635,3.235732984179114e-06
