,10,100,1000,10000
1/2^1,0.06062008799568013,0.0006389612533443495,1.6956598248495424e-25,1.359378288393462e-232
1/2^2,0.14265325057349493,0.007736451576849587,5.94057831684014e-07,3.550413001485147e-114
1/2^3,0.2623548055286702,0.026918229092178197,3.6223111191739156e-06,3.446569795808762e-48
1/2^4,0.35853170198984746,0.05516943135347962,0.00021213536795337514,1.0057462368423718e-16
1/2^5,0.4073350660304635,0.11964533897972332,0.005294170229064062,4.843553834698815e-11
1/2^6,0.43055267792842317,0.21953815312947284,0.02090212237263568,1.2870436833405772e-07
1/2^7,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0
