,10,100,1000,10000,100000,1000000
1/2^1,0.09999999999999999,0.009999999999999998,0.001,9.999999999999999e-05,9.999999999999999e-06,1e-06
1/2^2,0.16666666666666666,0.016666666666666666,0.0016666666666666666,0.00016666666666666666,1.6666666666666667e-05,1.6666666666666667e-06
1/2^3,0.0,0.0,0.0,0.0,0.0,0.0
1/2^4,0.0,0.0,0.0,0.0,0.0,0.0
1/2^5,0.0,0.0,0.0,0.0,0.0,0.0
1/2^6,0.0,0.0,0.0,0.0,0.0,0.0
1/2^7,0.0,0.0,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0,0.0,0.0
