,10,100,1000,10000
1/2^1,0.10333333333333333,0.004333333333333327,0.007766666666666664,0.00936
1/2^2,0.31,0.016,0.001300000000000002,0.0014600000000000001
1/2^3,0.5133333333333333,0.047333333333333345,0.002333333333333328,0.0004733333333333285
1/2^4,0.7133333333333334,0.10366666666666668,0.007866666666666666,0.00028333333333332164
1/2^5,1.0,0.25433333333333336,0.018533333333333332,0.0009733333333333256
1/2^6,0.0,0.0,0.0,0.0
1/2^7,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0
