,10,100,1000,10000,100000,1000000
1/2^1,0.002660512924194336,0.004933357238769531,0.027982473373413086,0.27097439765930176,2.7373549938201904,27.281920433044434
1/2^2,0.003000020980834961,0.0051844120025634766,0.02787470817565918,0.2743349075317383,2.7769036293029785,27.362491607666016
1/2^3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
