,10,100,1000,10000
1/2^1,0.0039103031158447266,0.0062754154205322266,0.030291080474853516,0.3153097629547119
1/2^2,0.004307270050048828,0.006160736083984375,0.030123233795166016,0.32288384437561035
1/2^3,0.004075527191162109,0.006278514862060547,0.03036952018737793,0.2930920124053955
1/2^4,0.004075050354003906,0.0063021183013916016,0.03023386001586914,0.2690706253051758
1/2^5,0.004126310348510742,0.006360530853271484,0.029864072799682617,0.2661130428314209
1/2^6,0.004038572311401367,0.0061414241790771484,0.03025341033935547,0.2659742832183838
1/2^7,-1.0,-1.0,-1.0,-1.0
1/2^8,-1.0,-1.0,-1.0,-1.0
1/2^9,-1.0,-1.0,-1.0,-1.0
1/2^10,-1.0,-1.0,-1.0,-1.0
